PI,[M-H]-,[M-Inositol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Inositol]-,[M-T2RCH=C=O-Inositol]-,[M-T1RCOOH-Inositol]-,[M-T2RCOOH-Inositol]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PI]-,[PI-H2O]-,[PI-2H2O]-,[Glycerophosphoinositol-H2O]-,[Glycerophosphoinositol-2H2O]-
PI(15:0_26:0),935.65952,773.60668,711.44545,557.27335,693.43489,539.26279,549.39261,395.22051,531.38205,377.20995,241.21735,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_15:1),777.45602,615.40318,555.25765,555.25765,537.24709,537.24709,393.20481,393.20481,375.19425,375.19425,239.20165,239.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_16:0),793.48732,631.43448,571.28895,555.25765,553.27839,537.24709,409.23611,393.20481,391.22555,375.19425,239.20165,255.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_16:1),791.47172,629.41888,569.27335,555.25765,551.26279,537.24709,407.22051,393.20481,389.20995,375.19425,239.20165,253.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_17:0),807.50302,645.45018,585.30465,555.25765,567.29409,537.24709,423.25181,393.20481,405.24125,375.19425,239.20165,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_17:1),805.48732,643.43448,583.28895,555.25765,565.27839,537.24709,421.23611,393.20481,403.22555,375.19425,239.20165,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_17:2),803.47172,641.41888,581.27335,555.25765,563.26279,537.24709,419.22051,393.20481,401.20995,375.19425,239.20165,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_18:0),821.51862,659.46578,599.32025,555.25765,581.30969,537.24709,437.26741,393.20481,419.25685,375.19425,239.20165,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_18:1),819.50302,657.45018,597.30465,555.25765,579.29409,537.24709,435.25181,393.20481,417.24125,375.19425,239.20165,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_18:2),817.48732,655.43448,595.28895,555.25765,577.27839,537.24709,433.23611,393.20481,415.22555,375.19425,239.20165,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_18:3),815.47172,653.41888,593.27335,555.25765,575.26279,537.24709,431.22051,393.20481,413.20995,375.19425,239.20165,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_18:4),813.45602,651.40318,591.25765,555.25765,573.24709,537.24709,429.20481,393.20481,411.19425,375.19425,239.20165,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_19:0),835.53432,673.48148,613.33595,555.25765,595.32539,537.24709,451.28311,393.20481,433.27255,375.19425,239.20165,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_20:0),849.54992,687.49708,627.35155,555.25765,609.34099,537.24709,465.29871,393.20481,447.28815,375.19425,239.20165,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_20:1),847.53432,685.48148,625.33595,555.25765,607.32539,537.24709,463.28311,393.20481,445.27255,375.19425,239.20165,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_20:2),845.51862,683.46578,623.32025,555.25765,605.30969,537.24709,461.26741,393.20481,443.25685,375.19425,239.20165,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_20:3),843.50302,681.45018,621.30465,555.25765,603.29409,537.24709,459.25181,393.20481,441.24125,375.19425,239.20165,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_20:4),841.48732,679.43448,619.28895,555.25765,601.27839,537.24709,457.23611,393.20481,439.22555,375.19425,239.20165,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_20:5),839.47172,677.41888,617.27335,555.25765,599.26279,537.24709,455.22051,393.20481,437.20995,375.19425,239.20165,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_21:0),863.56562,701.51278,641.36725,555.25765,623.35669,537.24709,479.31441,393.20481,461.30385,375.19425,239.20165,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_22:0),877.58122,715.52838,655.38285,555.25765,637.37229,537.24709,493.33001,393.20481,475.31945,375.19425,239.20165,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_22:1),875.56562,713.51278,653.36725,555.25765,635.35669,537.24709,491.31441,393.20481,473.30385,375.19425,239.20165,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_22:2),873.54992,711.49708,651.35155,555.25765,633.34099,537.24709,489.29871,393.20481,471.28815,375.19425,239.20165,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_22:3),871.53432,709.48148,649.33595,555.25765,631.32539,537.24709,487.28311,393.20481,469.27255,375.19425,239.20165,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_22:4),869.51862,707.46578,647.32025,555.25765,629.30969,537.24709,485.26741,393.20481,467.25685,375.19425,239.20165,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_22:5),867.50302,705.45018,645.30465,555.25765,627.29409,537.24709,483.25181,393.20481,465.24125,375.19425,239.20165,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_22:6),865.48732,703.43448,643.28895,555.25765,625.27839,537.24709,481.23611,393.20481,463.22555,375.19425,239.20165,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_23:0),891.59692,729.54408,669.39855,555.25765,651.38799,537.24709,507.34571,393.20481,489.33515,375.19425,239.20165,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_24:0),905.61252,743.55968,683.41415,555.25765,665.40359,537.24709,521.36131,393.20481,503.35075,375.19425,239.20165,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_24:1),903.59692,741.54408,681.39855,555.25765,663.38799,537.24709,519.34571,393.20481,501.33515,375.19425,239.20165,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_25:0),919.62822,757.57538,697.42985,555.25765,679.41929,537.24709,535.37701,393.20481,517.36645,375.19425,239.20165,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:1_26:0),933.64382,771.59098,711.44545,555.25765,693.43489,537.24709,549.39261,393.20481,531.38205,375.19425,239.20165,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_16:0),809.51862,647.46578,571.28895,571.28895,553.27839,553.27839,409.23611,409.23611,391.22555,391.22555,255.23295,255.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_16:1),807.50302,645.45018,569.27335,571.28895,551.26279,553.27839,407.22051,409.23611,389.20995,391.22555,255.23295,253.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_17:0),823.53432,661.48148,585.30465,571.28895,567.29409,553.27839,423.25181,409.23611,405.24125,391.22555,255.23295,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_17:1),821.51862,659.46578,583.28895,571.28895,565.27839,553.27839,421.23611,409.23611,403.22555,391.22555,255.23295,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_17:2),819.50302,657.45018,581.27335,571.28895,563.26279,553.27839,419.22051,409.23611,401.20995,391.22555,255.23295,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_18:0),837.54992,675.49708,599.32025,571.28895,581.30969,553.27839,437.26741,409.23611,419.25685,391.22555,255.23295,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_18:1),835.53432,673.48148,597.30465,571.28895,579.29409,553.27839,435.25181,409.23611,417.24125,391.22555,255.23295,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_18:2),833.51862,671.46578,595.28895,571.28895,577.27839,553.27839,433.23611,409.23611,415.22555,391.22555,255.23295,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_18:3),831.50302,669.45018,593.27335,571.28895,575.26279,553.27839,431.22051,409.23611,413.20995,391.22555,255.23295,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_18:4),829.48732,667.43448,591.25765,571.28895,573.24709,553.27839,429.20481,409.23611,411.19425,391.22555,255.23295,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_19:0),851.56562,689.51278,613.33595,571.28895,595.32539,553.27839,451.28311,409.23611,433.27255,391.22555,255.23295,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_20:0),865.58122,703.52838,627.35155,571.28895,609.34099,553.27839,465.29871,409.23611,447.28815,391.22555,255.23295,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_20:1),863.56562,701.51278,625.33595,571.28895,607.32539,553.27839,463.28311,409.23611,445.27255,391.22555,255.23295,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_20:2),861.54992,699.49708,623.32025,571.28895,605.30969,553.27839,461.26741,409.23611,443.25685,391.22555,255.23295,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_20:3),859.53432,697.48148,621.30465,571.28895,603.29409,553.27839,459.25181,409.23611,441.24125,391.22555,255.23295,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_20:4),857.51862,695.46578,619.28895,571.28895,601.27839,553.27839,457.23611,409.23611,439.22555,391.22555,255.23295,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_20:5),855.50302,693.45018,617.27335,571.28895,599.26279,553.27839,455.22051,409.23611,437.20995,391.22555,255.23295,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_21:0),879.59692,717.54408,641.36725,571.28895,623.35669,553.27839,479.31441,409.23611,461.30385,391.22555,255.23295,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_22:0),893.61252,731.55968,655.38285,571.28895,637.37229,553.27839,493.33001,409.23611,475.31945,391.22555,255.23295,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_22:1),891.59692,729.54408,653.36725,571.28895,635.35669,553.27839,491.31441,409.23611,473.30385,391.22555,255.23295,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_22:2),889.58122,727.52838,651.35155,571.28895,633.34099,553.27839,489.29871,409.23611,471.28815,391.22555,255.23295,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_22:3),887.56562,725.51278,649.33595,571.28895,631.32539,553.27839,487.28311,409.23611,469.27255,391.22555,255.23295,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_22:4),885.54992,723.49708,647.32025,571.28895,629.30969,553.27839,485.26741,409.23611,467.25685,391.22555,255.23295,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_22:5),883.53432,721.48148,645.30465,571.28895,627.29409,553.27839,483.25181,409.23611,465.24125,391.22555,255.23295,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_22:6),881.51862,719.46578,643.28895,571.28895,625.27839,553.27839,481.23611,409.23611,463.22555,391.22555,255.23295,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_23:0),907.62822,745.57538,669.39855,571.28895,651.38799,553.27839,507.34571,409.23611,489.33515,391.22555,255.23295,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_24:0),921.64382,759.59098,683.41415,571.28895,665.40359,553.27839,521.36131,409.23611,503.35075,391.22555,255.23295,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_24:1),919.62822,757.57538,681.39855,571.28895,663.38799,553.27839,519.34571,409.23611,501.33515,391.22555,255.23295,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_25:0),935.65952,773.60668,697.42985,571.28895,679.41929,553.27839,535.37701,409.23611,517.36645,391.22555,255.23295,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:0_26:0),949.67512,787.62228,711.44545,571.28895,693.43489,553.27839,549.39261,409.23611,531.38205,391.22555,255.23295,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_16:1),805.48742,643.43458,569.27335,569.27335,551.26279,551.26279,407.22051,407.22051,389.20995,389.20995,253.21735,253.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_17:0),821.51872,659.46588,585.30465,569.27335,567.29409,551.26279,423.25181,407.22051,405.24125,389.20995,253.21735,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_17:1),819.50302,657.45018,583.28895,569.27335,565.27839,551.26279,421.23611,407.22051,403.22555,389.20995,253.21735,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_17:2),817.48742,655.43458,581.27335,569.27335,563.26279,551.26279,419.22051,407.22051,401.20995,389.20995,253.21735,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_18:0),835.53432,673.48148,599.32025,569.27335,581.30969,551.26279,437.26741,407.22051,419.25685,389.20995,253.21735,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_18:1),833.51872,671.46588,597.30465,569.27335,579.29409,551.26279,435.25181,407.22051,417.24125,389.20995,253.21735,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_18:2),831.50302,669.45018,595.28895,569.27335,577.27839,551.26279,433.23611,407.22051,415.22555,389.20995,253.21735,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_18:3),829.48742,667.43458,593.27335,569.27335,575.26279,551.26279,431.22051,407.22051,413.20995,389.20995,253.21735,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_18:4),827.47172,665.41888,591.25765,569.27335,573.24709,551.26279,429.20481,407.22051,411.19425,389.20995,253.21735,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_19:0),849.55002,687.49718,613.33595,569.27335,595.32539,551.26279,451.28311,407.22051,433.27255,389.20995,253.21735,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_20:0),863.56562,701.51278,627.35155,569.27335,609.34099,551.26279,465.29871,407.22051,447.28815,389.20995,253.21735,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_20:1),861.55002,699.49718,625.33595,569.27335,607.32539,551.26279,463.28311,407.22051,445.27255,389.20995,253.21735,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_20:2),859.53432,697.48148,623.32025,569.27335,605.30969,551.26279,461.26741,407.22051,443.25685,389.20995,253.21735,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_20:3),857.51872,695.46588,621.30465,569.27335,603.29409,551.26279,459.25181,407.22051,441.24125,389.20995,253.21735,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_20:4),855.50302,693.45018,619.28895,569.27335,601.27839,551.26279,457.23611,407.22051,439.22555,389.20995,253.21735,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_20:5),853.48742,691.43458,617.27335,569.27335,599.26279,551.26279,455.22051,407.22051,437.20995,389.20995,253.21735,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_21:0),877.58132,715.52848,641.36725,569.27335,623.35669,551.26279,479.31441,407.22051,461.30385,389.20995,253.21735,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_22:0),891.59692,729.54408,655.38285,569.27335,637.37229,551.26279,493.33001,407.22051,475.31945,389.20995,253.21735,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_22:1),889.58132,727.52848,653.36725,569.27335,635.35669,551.26279,491.31441,407.22051,473.30385,389.20995,253.21735,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_22:2),887.56562,725.51278,651.35155,569.27335,633.34099,551.26279,489.29871,407.22051,471.28815,389.20995,253.21735,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_22:3),885.55002,723.49718,649.33595,569.27335,631.32539,551.26279,487.28311,407.22051,469.27255,389.20995,253.21735,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_22:4),883.53432,721.48148,647.32025,569.27335,629.30969,551.26279,485.26741,407.22051,467.25685,389.20995,253.21735,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_22:5),881.51872,719.46588,645.30465,569.27335,627.29409,551.26279,483.25181,407.22051,465.24125,389.20995,253.21735,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_22:6),879.50302,717.45018,643.28895,569.27335,625.27839,551.26279,481.23611,407.22051,463.22555,389.20995,253.21735,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_23:0),905.61262,743.55978,669.39855,569.27335,651.38799,551.26279,507.34571,407.22051,489.33515,389.20995,253.21735,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_24:0),919.62822,757.57538,683.41415,569.27335,665.40359,551.26279,521.36131,407.22051,503.35075,389.20995,253.21735,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_24:1),917.61262,755.55978,681.39855,569.27335,663.38799,551.26279,519.34571,407.22051,501.33515,389.20995,253.21735,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_25:0),933.64392,771.59108,697.42985,569.27335,679.41929,551.26279,535.37701,407.22051,517.36645,389.20995,253.21735,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(16:1_26:0),947.65952,785.60668,711.44545,569.27335,693.43489,551.26279,549.39261,407.22051,531.38205,389.20995,253.21735,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_17:0),837.55002,675.49718,585.30465,585.30465,567.29409,567.29409,423.25181,423.25181,405.24125,405.24125,269.24865,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_17:1),835.53432,673.48148,583.28895,585.30465,565.27839,567.29409,421.23611,423.25181,403.22555,405.24125,269.24865,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_17:2),833.51872,671.46588,581.27335,585.30465,563.26279,567.29409,419.22051,423.25181,401.20995,405.24125,269.24865,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_18:0),851.56562,689.51278,599.32025,585.30465,581.30969,567.29409,437.26741,423.25181,419.25685,405.24125,269.24865,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_18:1),849.55002,687.49718,597.30465,585.30465,579.29409,567.29409,435.25181,423.25181,417.24125,405.24125,269.24865,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_18:2),847.53432,685.48148,595.28895,585.30465,577.27839,567.29409,433.23611,423.25181,415.22555,405.24125,269.24865,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_18:3),845.51872,683.46588,593.27335,585.30465,575.26279,567.29409,431.22051,423.25181,413.20995,405.24125,269.24865,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_18:4),843.50302,681.45018,591.25765,585.30465,573.24709,567.29409,429.20481,423.25181,411.19425,405.24125,269.24865,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_19:0),865.58132,703.52848,613.33595,585.30465,595.32539,567.29409,451.28311,423.25181,433.27255,405.24125,269.24865,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_20:0),879.59692,717.54408,627.35155,585.30465,609.34099,567.29409,465.29871,423.25181,447.28815,405.24125,269.24865,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_20:1),877.58132,715.52848,625.33595,585.30465,607.32539,567.29409,463.28311,423.25181,445.27255,405.24125,269.24865,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_20:2),875.56562,713.51278,623.32025,585.30465,605.30969,567.29409,461.26741,423.25181,443.25685,405.24125,269.24865,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_20:3),873.55002,711.49718,621.30465,585.30465,603.29409,567.29409,459.25181,423.25181,441.24125,405.24125,269.24865,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_20:4),871.53432,709.48148,619.28895,585.30465,601.27839,567.29409,457.23611,423.25181,439.22555,405.24125,269.24865,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_20:5),869.51872,707.46588,617.27335,585.30465,599.26279,567.29409,455.22051,423.25181,437.20995,405.24125,269.24865,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_21:0),893.61262,731.55978,641.36725,585.30465,623.35669,567.29409,479.31441,423.25181,461.30385,405.24125,269.24865,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_22:0),907.62822,745.57538,655.38285,585.30465,637.37229,567.29409,493.33001,423.25181,475.31945,405.24125,269.24865,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_22:1),905.61262,743.55978,653.36725,585.30465,635.35669,567.29409,491.31441,423.25181,473.30385,405.24125,269.24865,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_22:2),903.59692,741.54408,651.35155,585.30465,633.34099,567.29409,489.29871,423.25181,471.28815,405.24125,269.24865,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_22:3),901.58132,739.52848,649.33595,585.30465,631.32539,567.29409,487.28311,423.25181,469.27255,405.24125,269.24865,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_22:4),899.56562,737.51278,647.32025,585.30465,629.30969,567.29409,485.26741,423.25181,467.25685,405.24125,269.24865,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_22:5),897.55002,735.49718,645.30465,585.30465,627.29409,567.29409,483.25181,423.25181,465.24125,405.24125,269.24865,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_22:6),895.53432,733.48148,643.28895,585.30465,625.27839,567.29409,481.23611,423.25181,463.22555,405.24125,269.24865,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_23:0),921.64392,759.59108,669.39855,585.30465,651.38799,567.29409,507.34571,423.25181,489.33515,405.24125,269.24865,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_24:0),935.65952,773.60668,683.41415,585.30465,665.40359,567.29409,521.36131,423.25181,503.35075,405.24125,269.24865,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_24:1),933.64392,771.59108,681.39855,585.30465,663.38799,567.29409,519.34571,423.25181,501.33515,405.24125,269.24865,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_25:0),949.67522,787.62238,697.42985,585.30465,679.41929,567.29409,535.37701,423.25181,517.36645,405.24125,269.24865,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:0_26:0),963.69082,801.63798,711.44545,585.30465,693.43489,567.29409,549.39261,423.25181,531.38205,405.24125,269.24865,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:1_17:1),833.51862,671.46578,583.28895,583.28895,565.27839,565.27839,421.23611,421.23611,403.22555,403.22555,267.23295,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:1_17:2),831.50302,669.45018,581.27335,583.28895,563.26279,565.27839,419.22051,421.23611,401.20995,403.22555,267.23295,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:1_18:0),849.54992,687.49708,599.32025,583.28895,581.30969,565.27839,437.26741,421.23611,419.25685,403.22555,267.23295,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(17:1_18:1),847.53432,685.48148,597.30465,583.28895,579.29409,565.27839,435.25181,421.23611,417.24125,403.22555,267.23295,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
