Cer,[M+Cl]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d13:0/22:0),588.512688,552.53601,522.5255,364.3585,195.1752,338.3428
Cer(d13:0/22:1),586.497088,550.52041,520.5099,362.3429,195.1752,336.3272
Cer(d13:0/22:2),584.481388,548.50471,518.4942,360.3272,195.1752,334.3115
Cer(d13:0/22:3),582.465788,546.48911,516.4786,358.3116,195.1752,332.2959
Cer(d13:0/22:4),580.450088,544.47341,514.4629,356.2959,195.1752,330.2802
Cer(d13:0/22:5),578.434488,542.45781,512.4473,354.2803,195.1752,328.2646
Cer(d13:0/22:6),576.418788,540.44211,510.4316,352.2646,195.1752,326.2489
Cer(d13:0/23:0),602.528388,566.55171,536.5412,378.3742,195.1752,352.3585
Cer(d13:0/24:0),616.543988,580.56731,550.5568,392.3898,195.1752,366.3741
Cer(d13:0/24:1),614.528388,578.55171,548.5412,390.3742,195.1752,364.3585
Cer(d13:0/25:0),630.559688,594.58301,564.5725,406.4055,195.1752,380.3898
Cer(d13:0/26:0),644.575288,608.59861,578.5881,420.4211,195.1752,394.4054
Cer(d13:0/8:0),392.293588,356.31691,326.3064,168.1394,195.1752,142.1237
Cer(d14:0/10:0),434.340488,398.36381,368.3533,196.1707,209.1908,170.155
Cer(d14:0/12:0),462.371788,426.39511,396.3846,224.202,209.1908,198.1863
Cer(d14:0/13:0),476.387488,440.41081,410.4003,238.2177,209.1908,212.202
Cer(d14:0/14:0),490.403088,454.42641,424.4159,252.2333,209.1908,226.2176
Cer(d14:0/14:1),488.387488,452.41081,422.4003,250.2177,209.1908,224.202
Cer(d14:0/15:0),504.418788,468.44211,438.4316,266.249,209.1908,240.2333
Cer(d14:0/15:1),502.403088,466.42641,436.4159,264.2333,209.1908,238.2176
Cer(d14:0/16:0),518.434388,482.45771,452.4472,280.2646,209.1908,254.2489
Cer(d14:0/16:1),516.418788,480.44211,450.4316,278.249,209.1908,252.2333
Cer(d14:0/17:0),532.450088,496.47341,466.4629,294.2803,209.1908,268.2646
Cer(d14:0/17:1),530.434388,494.45771,464.4472,292.2646,209.1908,266.2489
Cer(d14:0/17:2),528.418788,492.44211,462.4316,290.249,209.1908,264.2333
Cer(d14:0/18:0),546.465688,510.48901,480.4785,308.2959,209.1908,282.2802
Cer(d14:0/18:1),544.450088,508.47341,478.4629,306.2803,209.1908,280.2646
Cer(d14:0/18:2),542.434388,506.45771,476.4472,304.2646,209.1908,278.2489
Cer(d14:0/18:3),540.418788,504.44211,474.4316,302.249,209.1908,276.2333
Cer(d14:0/18:4),538.403088,502.42641,472.4159,300.2333,209.1908,274.2176
Cer(d14:0/19:0),560.481388,524.50471,494.4942,322.3116,209.1908,296.2959
Cer(d14:0/20:0),574.496988,538.52031,508.5098,336.3272,209.1908,310.3115
Cer(d14:0/20:1),572.481388,536.50471,506.4942,334.3116,209.1908,308.2959
Cer(d14:0/20:2),570.465688,534.48901,504.4785,332.2959,209.1908,306.2802
Cer(d14:0/20:3),568.450088,532.47341,502.4629,330.2803,209.1908,304.2646
Cer(d14:0/20:4),566.434388,530.45771,500.4472,328.2646,209.1908,302.2489
Cer(d14:0/20:5),564.418788,528.44211,498.4316,326.249,209.1908,300.2333
Cer(d14:0/21:0),588.512688,552.53601,522.5255,350.3429,209.1908,324.3272
Cer(d14:0/22:0),602.528288,566.55161,536.5411,364.3585,209.1908,338.3428
Cer(d14:0/22:1),600.512688,564.53601,534.5255,362.3429,209.1908,336.3272
Cer(d14:0/22:2),598.496988,562.52031,532.5098,360.3272,209.1908,334.3115
Cer(d14:0/22:3),596.481388,560.50471,530.4942,358.3116,209.1908,332.2959
Cer(d14:0/22:4),594.465688,558.48901,528.4785,356.2959,209.1908,330.2802
Cer(d14:0/22:5),592.450088,556.47341,526.4629,354.2803,209.1908,328.2646
Cer(d14:0/22:6),590.434388,554.45771,524.4472,352.2646,209.1908,326.2489
Cer(d14:0/23:0),616.543988,580.56731,550.5568,378.3742,209.1908,352.3585
Cer(d14:0/24:0),630.559588,594.58291,564.5724,392.3898,209.1908,366.3741
Cer(d14:0/24:1),628.543988,592.56731,562.5568,390.3742,209.1908,364.3585
Cer(d14:0/25:0),644.575288,608.59861,578.5881,406.4055,209.1908,380.3898
Cer(d14:0/26:0),658.590888,622.61421,592.6037,420.4211,209.1908,394.4054
Cer(d14:0/8:0),406.309188,370.33251,340.322,168.1394,209.1908,142.1237
Cer(d14:1/10:0),432.324888,396.34821,366.3377,196.1707,207.1752,170.155
Cer(d14:1/12:0),460.356188,424.37951,394.369,224.202,207.1752,198.1863
