Cer,[M+H2PO4]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d14:1/10:0),494.325106,396.34821,366.3377,196.1707,207.1752,170.155
Cer(d14:1/12:0),522.356406,424.37951,394.369,224.202,207.1752,198.1863
Cer(d14:1/13:0),536.372106,438.39521,408.3847,238.2177,207.1752,212.202
Cer(d14:1/14:0),550.387706,452.41081,422.4003,252.2333,207.1752,226.2176
Cer(d14:1/14:1),548.372106,450.39521,420.3847,250.2177,207.1752,224.202
Cer(d14:1/15:0),564.403406,466.42651,436.416,266.249,207.1752,240.2333
Cer(d14:1/15:1),562.387706,464.41081,434.4003,264.2333,207.1752,238.2176
Cer(d14:1/16:0),578.419006,480.44211,450.4316,280.2646,207.1752,254.2489
Cer(d14:1/16:1),576.403406,478.42651,448.416,278.249,207.1752,252.2333
Cer(d14:1/17:0),592.434706,494.45781,464.4473,294.2803,207.1752,268.2646
Cer(d14:1/17:1),590.419006,492.44211,462.4316,292.2646,207.1752,266.2489
Cer(d14:1/17:2),588.403406,490.42651,460.416,290.249,207.1752,264.2333
Cer(d14:1/18:0),606.450306,508.47341,478.4629,308.2959,207.1752,282.2802
Cer(d14:1/18:1),604.434706,506.45781,476.4473,306.2803,207.1752,280.2646
Cer(d14:1/18:2),602.419006,504.44211,474.4316,304.2646,207.1752,278.2489
Cer(d14:1/18:3),600.403406,502.42651,472.416,302.249,207.1752,276.2333
Cer(d14:1/18:4),598.387706,500.41081,470.4003,300.2333,207.1752,274.2176
Cer(d14:1/19:0),620.466006,522.48911,492.4786,322.3116,207.1752,296.2959
Cer(d14:1/20:0),634.481606,536.50471,506.4942,336.3272,207.1752,310.3115
Cer(d14:1/20:1),632.466006,534.48911,504.4786,334.3116,207.1752,308.2959
Cer(d14:1/20:2),630.450306,532.47341,502.4629,332.2959,207.1752,306.2802
Cer(d14:1/20:3),628.434706,530.45781,500.4473,330.2803,207.1752,304.2646
Cer(d14:1/20:4),626.419006,528.44211,498.4316,328.2646,207.1752,302.2489
Cer(d14:1/20:5),624.403406,526.42651,496.416,326.249,207.1752,300.2333
