PG,[M-H]-,[M-Glycerol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Glycerol]-,[M-T2RCH=C=O-Glycerol]-,[M-T1RCOOH-Glycerol]-,[M-T2RCOOH-Glycerol]-,[T1_RCOO]-,[T2_RCOO]-, [Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[Glycerophosphoglycerol]-,[Glycerophosphoglycerol-H2O]-,[Glycerophosphoglycerol-2H2O]-
PG(8:0_26:0),749.53386,675.49708,623.42939,371.14769,605.41883,353.13713,549.39261,297.11091,531.38205,279.10035,143.10775,395.38945,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_10:0),553.31476,479.27798,399.17899,399.17899,381.16843,381.16843,325.14221,325.14221,307.13165,307.13165,171.13905,171.13905,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_12:0),581.34606,507.30928,427.21029,399.17899,409.19973,381.16843,353.17351,325.14221,335.16295,307.13165,171.13905,199.17035,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_13:0),595.36176,521.32498,441.22599,399.17899,423.21543,381.16843,367.18921,325.14221,349.17865,307.13165,171.13905,213.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_14:0),609.37736,535.34058,455.24159,399.17899,437.23103,381.16843,381.20481,325.14221,363.19425,307.13165,171.13905,227.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_14:1),607.36176,533.32498,453.22599,399.17899,435.21543,381.16843,379.18921,325.14221,361.17865,307.13165,171.13905,225.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_15:0),623.39306,549.35628,469.25729,399.17899,451.24673,381.16843,395.22051,325.14221,377.20995,307.13165,171.13905,241.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_15:1),621.37736,547.34058,467.24159,399.17899,449.23103,381.16843,393.20481,325.14221,375.19425,307.13165,171.13905,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_16:0),637.40866,563.37188,483.27289,399.17899,465.26233,381.16843,409.23611,325.14221,391.22555,307.13165,171.13905,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_16:1),635.39306,561.35628,481.25729,399.17899,463.24673,381.16843,407.22051,325.14221,389.20995,307.13165,171.13905,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_17:0),651.42436,577.38758,497.28859,399.17899,479.27803,381.16843,423.25181,325.14221,405.24125,307.13165,171.13905,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_17:1),649.40866,575.37188,495.27289,399.17899,477.26233,381.16843,421.23611,325.14221,403.22555,307.13165,171.13905,267.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_17:2),647.39306,573.35628,493.25729,399.17899,475.24673,381.16843,419.22051,325.14221,401.20995,307.13165,171.13905,265.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
