Cer,[M+CH3COO]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2]-,[R2+amide]-
Cer(d14:0/14:1),512.431937,452.41081,422.4003,250.2177,209.1908,224.202
Cer(d14:0/15:0),528.463237,468.44211,438.4316,266.249,209.1908,240.2333
Cer(d14:0/15:1),526.447537,466.42641,436.4159,264.2333,209.1908,238.2176
Cer(d14:0/16:0),542.478837,482.45771,452.4472,280.2646,209.1908,254.2489
Cer(d14:0/16:1),540.463237,480.44211,450.4316,278.249,209.1908,252.2333
Cer(d14:0/17:0),556.494537,496.47341,466.4629,294.2803,209.1908,268.2646
Cer(d14:0/17:1),554.478837,494.45771,464.4472,292.2646,209.1908,266.2489
Cer(d14:0/17:2),552.463237,492.44211,462.4316,290.249,209.1908,264.2333
Cer(d14:0/18:0),570.510137,510.48901,480.4785,308.2959,209.1908,282.2802
Cer(d14:0/18:1),568.494537,508.47341,478.4629,306.2803,209.1908,280.2646
Cer(d14:0/18:2),566.478837,506.45771,476.4472,304.2646,209.1908,278.2489
Cer(d14:0/18:3),564.463237,504.44211,474.4316,302.249,209.1908,276.2333
Cer(d14:0/18:4),562.447537,502.42641,472.4159,300.2333,209.1908,274.2176
Cer(d14:0/19:0),584.525837,524.50471,494.4942,322.3116,209.1908,296.2959
Cer(d14:0/20:0),598.541437,538.52031,508.5098,336.3272,209.1908,310.3115
Cer(d14:0/20:1),596.525837,536.50471,506.4942,334.3116,209.1908,308.2959
Cer(d14:0/20:2),594.510137,534.48901,504.4785,332.2959,209.1908,306.2802
Cer(d14:0/20:3),592.494537,532.47341,502.4629,330.2803,209.1908,304.2646
Cer(d14:0/20:4),590.478837,530.45771,500.4472,328.2646,209.1908,302.2489
Cer(d14:0/20:5),588.463237,528.44211,498.4316,326.249,209.1908,300.2333
Cer(d14:0/21:0),612.557137,552.53601,522.5255,350.3429,209.1908,324.3272
Cer(d14:0/22:0),626.572737,566.55161,536.5411,364.3585,209.1908,338.3428
Cer(d14:0/22:1),624.557137,564.53601,534.5255,362.3429,209.1908,336.3272
Cer(d14:0/22:2),622.541437,562.52031,532.5098,360.3272,209.1908,334.3115
Cer(d14:0/22:3),620.525837,560.50471,530.4942,358.3116,209.1908,332.2959
Cer(d14:0/22:4),618.510137,558.48901,528.4785,356.2959,209.1908,330.2802
Cer(d14:0/22:5),616.494537,556.47341,526.4629,354.2803,209.1908,328.2646
Cer(d14:0/22:6),614.478837,554.45771,524.4472,352.2646,209.1908,326.2489
Cer(d14:0/23:0),640.588437,580.56731,550.5568,378.3742,209.1908,352.3585
Cer(d14:0/24:0),654.604037,594.58291,564.5724,392.3898,209.1908,366.3741
Cer(d14:0/24:1),652.588437,592.56731,562.5568,390.3742,209.1908,364.3585
Cer(d14:0/25:0),668.619737,608.59861,578.5881,406.4055,209.1908,380.3898
Cer(d14:0/26:0),682.635337,622.61421,592.6037,420.4211,209.1908,394.4054
Cer(d14:0/8:0),430.353637,370.33251,340.322,168.1394,209.1908,142.1237
Cer(d14:1/10:0),456.369337,396.34821,366.3377,196.1707,207.1752,170.155
Cer(d14:1/12:0),484.400637,424.37951,394.369,224.202,207.1752,198.1863
Cer(d14:1/13:0),498.416337,438.39521,408.3847,238.2177,207.1752,212.202
Cer(d14:1/14:0),512.431937,452.41081,422.4003,252.2333,207.1752,226.2176
Cer(d14:1/14:1),510.416337,450.39521,420.3847,250.2177,207.1752,224.202
Cer(d14:1/15:0),526.447637,466.42651,436.416,266.249,207.1752,240.2333
Cer(d14:1/15:1),524.431937,464.41081,434.4003,264.2333,207.1752,238.2176
Cer(d14:1/16:0),540.463237,480.44211,450.4316,280.2646,207.1752,254.2489
Cer(d14:1/16:1),538.447637,478.42651,448.416,278.249,207.1752,252.2333
Cer(d14:1/17:0),554.478937,494.45781,464.4473,294.2803,207.1752,268.2646
Cer(d14:1/17:1),552.463237,492.44211,462.4316,292.2646,207.1752,266.2489
Cer(d14:1/17:2),550.447637,490.42651,460.416,290.249,207.1752,264.2333
Cer(d14:1/18:0),568.494537,508.47341,478.4629,308.2959,207.1752,282.2802
Cer(d14:1/18:1),566.478937,506.45781,476.4473,306.2803,207.1752,280.2646
Cer(d14:1/18:2),564.463237,504.44211,474.4316,304.2646,207.1752,278.2489
Cer(d14:1/18:3),562.447637,502.42651,472.416,302.249,207.1752,276.2333
Cer(d14:1/18:4),560.431937,500.41081,470.4003,300.2333,207.1752,274.2176
Cer(d14:1/19:0),582.510237,522.48911,492.4786,322.3116,207.1752,296.2959
Cer(d14:1/20:0),596.525837,536.50471,506.4942,336.3272,207.1752,310.3115
Cer(d14:1/20:1),594.510237,534.48911,504.4786,334.3116,207.1752,308.2959
Cer(d14:1/20:2),592.494537,532.47341,502.4629,332.2959,207.1752,306.2802
Cer(d14:1/20:3),590.478937,530.45781,500.4473,330.2803,207.1752,304.2646
Cer(d14:1/20:4),588.463237,528.44211,498.4316,328.2646,207.1752,302.2489
Cer(d14:1/20:5),586.447637,526.42651,496.416,326.249,207.1752,300.2333
Cer(d14:1/21:0),610.541537,550.52041,520.5099,350.3429,207.1752,324.3272
Cer(d14:1/22:0),624.557137,564.53601,534.5255,364.3585,207.1752,338.3428
Cer(d14:1/22:1),622.541537,562.52041,532.5099,362.3429,207.1752,336.3272
Cer(d14:1/22:2),620.525837,560.50471,530.4942,360.3272,207.1752,334.3115
Cer(d14:1/22:3),618.510237,558.48911,528.4786,358.3116,207.1752,332.2959
Cer(d14:1/22:4),616.494537,556.47341,526.4629,356.2959,207.1752,330.2802
Cer(d14:1/22:5),614.478937,554.45781,524.4473,354.2803,207.1752,328.2646
Cer(d14:1/22:6),612.463237,552.44211,522.4316,352.2646,207.1752,326.2489
Cer(d14:1/23:0),638.572837,578.55171,548.5412,378.3742,207.1752,352.3585
Cer(d14:1/24:0),652.588437,592.56731,562.5568,392.3898,207.1752,366.3741
Cer(d14:1/24:1),650.572837,590.55171,560.5412,390.3742,207.1752,364.3585
Cer(d14:1/25:0),666.604137,606.58301,576.5725,406.4055,207.1752,380.3898
Cer(d14:1/26:0),680.619737,620.59861,590.5881,420.4211,207.1752,394.4054
Cer(d14:1/8:0),428.338037,368.31691,338.3064,168.1394,207.1752,142.1237
Cer(d15:0/10:0),472.400637,412.37951,382.369,196.1707,223.2065,170.155
Cer(d15:0/12:0),500.431937,440.41081,410.4003,224.202,223.2065,198.1863
Cer(d15:0/13:0),514.447637,454.42651,424.416,238.2177,223.2065,212.202
Cer(d15:0/14:0),528.463237,468.44211,438.4316,252.2333,223.2065,226.2176
Cer(d15:0/14:1),526.447637,466.42651,436.416,250.2177,223.2065,224.202
Cer(d15:0/15:0),542.478937,482.45781,452.4473,266.249,223.2065,240.2333
Cer(d15:0/15:1),540.463237,480.44211,450.4316,264.2333,223.2065,238.2176
Cer(d15:0/16:0),556.494537,496.47341,466.4629,280.2646,223.2065,254.2489
Cer(d15:0/16:1),554.478937,494.45781,464.4473,278.249,223.2065,252.2333
Cer(d15:0/17:0),570.510237,510.48911,480.4786,294.2803,223.2065,268.2646
Cer(d15:0/17:1),568.494537,508.47341,478.4629,292.2646,223.2065,266.2489
Cer(d15:0/17:2),566.478937,506.45781,476.4473,290.249,223.2065,264.2333
Cer(d15:0/18:0),584.525837,524.50471,494.4942,308.2959,223.2065,282.2802
Cer(d15:0/18:1),582.510237,522.48911,492.4786,306.2803,223.2065,280.2646
Cer(d15:0/18:2),580.494537,520.47341,490.4629,304.2646,223.2065,278.2489
Cer(d15:0/18:3),578.478937,518.45781,488.4473,302.249,223.2065,276.2333
Cer(d15:0/18:4),576.463237,516.44211,486.4316,300.2333,223.2065,274.2176
Cer(d15:0/19:0),598.541537,538.52041,508.5099,322.3116,223.2065,296.2959
Cer(d15:0/20:0),612.557137,552.53601,522.5255,336.3272,223.2065,310.3115
Cer(d15:0/20:1),610.541537,550.52041,520.5099,334.3116,223.2065,308.2959
Cer(d15:0/20:2),608.525837,548.50471,518.4942,332.2959,223.2065,306.2802
Cer(d15:0/20:3),606.510237,546.48911,516.4786,330.2803,223.2065,304.2646
Cer(d15:0/20:4),604.494537,544.47341,514.4629,328.2646,223.2065,302.2489
Cer(d15:0/20:5),602.478937,542.45781,512.4473,326.249,223.2065,300.2333
Cer(d15:0/21:0),626.572837,566.55171,536.5412,350.3429,223.2065,324.3272
Cer(d15:0/22:0),640.588437,580.56731,550.5568,364.3585,223.2065,338.3428
Cer(d15:0/22:1),638.572837,578.55171,548.5412,362.3429,223.2065,336.3272
Cer(d15:0/22:2),636.557137,576.53601,546.5255,360.3272,223.2065,334.3115
Cer(d15:0/22:3),634.541537,574.52041,544.5099,358.3116,223.2065,332.2959
Cer(d15:0/22:4),632.525837,572.50471,542.4942,356.2959,223.2065,330.2802
Cer(d15:0/22:5),630.510237,570.48911,540.4786,354.2803,223.2065,328.2646
Cer(d15:0/22:6),628.494537,568.47341,538.4629,352.2646,223.2065,326.2489
Cer(d15:0/23:0),654.604137,594.58301,564.5725,378.3742,223.2065,352.3585
Cer(d15:0/24:0),668.619737,608.59861,578.5881,392.3898,223.2065,366.3741
Cer(d15:0/24:1),666.604137,606.58301,576.5725,390.3742,223.2065,364.3585
Cer(d15:0/25:0),682.635437,622.61431,592.6038,406.4055,223.2065,380.3898
Cer(d15:0/26:0),696.651037,636.62991,606.6194,420.4211,223.2065,394.4054
Cer(d15:0/8:0),444.369337,384.34821,354.3377,168.1394,223.2065,142.1237
Cer(d15:1/10:0),470.384937,410.36381,380.3533,196.1707,221.1908,170.155
Cer(d15:1/12:0),498.416237,438.39511,408.3846,224.202,221.1908,198.1863
Cer(d15:1/13:0),512.431937,452.41081,422.4003,238.2177,221.1908,212.202
Cer(d15:1/14:0),526.447537,466.42641,436.4159,252.2333,221.1908,226.2176
Cer(d15:1/14:1),524.431937,464.41081,434.4003,250.2177,221.1908,224.202
