SM,[M+H2PO4]-,[M-CH3]-,[T2-H]-,[PC-CH3-H]-
SM(d12:0/12:0)+H2PO4,661.396317,549.3991,199.1703,168.0431
SM(d12:0/13:0)+H2PO4,675.412017,563.4148,213.186,168.0431
SM(d12:0/14:0)+H2PO4,689.427617,577.4304,227.2016,168.0431
SM(d12:0/14:1)+H2PO4,687.412017,575.4148,225.186,168.0431
SM(d12:0/15:0)+H2PO4,703.443317,591.4461,241.2173,168.0431
SM(d12:0/15:1)+H2PO4,701.427617,589.4304,239.2016,168.0431
SM(d12:0/16:0)+H2PO4,717.458917,605.4617,255.2329,168.0431
SM(d12:0/16:1)+H2PO4,715.443317,603.4461,253.2173,168.0431
SM(d12:0/17:0)+H2PO4,731.474617,619.4774,269.2486,168.0431
SM(d12:0/17:1)+H2PO4,729.458917,617.4617,267.2329,168.0431
SM(d12:0/17:2)+H2PO4,727.443317,615.4461,265.2173,168.0431
SM(d12:0/18:0)+H2PO4,745.490217,633.493,283.2642,168.0431
SM(d12:0/18:1)+H2PO4,743.474617,631.4774,281.2486,168.0431
SM(d12:0/18:2)+H2PO4,741.458917,629.4617,279.2329,168.0431
SM(d12:0/18:3)+H2PO4,739.443317,627.4461,277.2173,168.0431
SM(d12:0/18:4)+H2PO4,737.427617,625.4304,275.2016,168.0431
SM(d12:0/19:0)+H2PO4,759.505917,647.5087,297.2799,168.0431
SM(d12:0/20:0)+H2PO4,773.521517,661.5243,311.2955,168.0431
SM(d12:0/20:1)+H2PO4,771.505917,659.5087,309.2799,168.0431
SM(d12:0/20:2)+H2PO4,769.490217,657.493,307.2642,168.0431
SM(d12:0/20:3)+H2PO4,767.474617,655.4774,305.2486,168.0431
SM(d12:0/20:4)+H2PO4,765.458917,653.4617,303.2329,168.0431
SM(d12:0/20:5)+H2PO4,763.443317,651.4461,301.2173,168.0431
SM(d12:0/21:0)+H2PO4,787.537217,675.54,325.3112,168.0431
SM(d12:0/22:0)+H2PO4,801.552817,689.5556,339.3268,168.0431
SM(d12:0/22:1)+H2PO4,799.537217,687.54,337.3112,168.0431
SM(d12:0/22:2)+H2PO4,797.521517,685.5243,335.2955,168.0431
SM(d12:0/22:3)+H2PO4,795.505917,683.5087,333.2799,168.0431
SM(d12:0/22:4)+H2PO4,793.490217,681.493,331.2642,168.0431
SM(d12:0/22:5)+H2PO4,791.474617,679.4774,329.2486,168.0431
SM(d12:0/22:6)+H2PO4,789.458917,677.4617,327.2329,168.0431
SM(d12:0/23:0)+H2PO4,815.568517,703.5713,353.3425,168.0431
SM(d12:0/24:0)+H2PO4,829.584117,717.5869,367.3581,168.0431
SM(d12:0/24:1)+H2PO4,827.568517,715.5713,365.3425,168.0431
SM(d12:0/25:0)+H2PO4,843.599817,731.6026,381.3738,168.0431
SM(d12:0/26:0)+H2PO4,857.615417,745.6182,395.3894,168.0431
SM(d12:0/8:0)+H2PO4,605.333717,493.3365,143.1077,168.0431
SM(d13:0/10:0)+H2PO4,647.380717,535.3835,171.139,168.0431
SM(d13:0/12:0)+H2PO4,675.412017,563.4148,199.1703,168.0431
SM(d13:0/13:0)+H2PO4,689.427717,577.4305,213.186,168.0431
SM(d13:0/14:0)+H2PO4,703.443317,591.4461,227.2016,168.0431
SM(d13:0/14:1)+H2PO4,701.427717,589.4305,225.186,168.0431
SM(d13:0/15:0)+H2PO4,717.459017,605.4618,241.2173,168.0431
SM(d13:0/15:1)+H2PO4,715.443317,603.4461,239.2016,168.0431
SM(d13:0/16:0)+H2PO4,731.474617,619.4774,255.2329,168.0431
SM(d13:0/16:1)+H2PO4,729.459017,617.4618,253.2173,168.0431
SM(d13:0/17:0)+H2PO4,745.490317,633.4931,269.2486,168.0431
SM(d13:0/17:1)+H2PO4,743.474617,631.4774,267.2329,168.0431
SM(d13:0/17:2)+H2PO4,741.459017,629.4618,265.2173,168.0431
SM(d13:0/18:0)+H2PO4,759.505917,647.5087,283.2642,168.0431
SM(d13:0/18:1)+H2PO4,757.490317,645.4931,281.2486,168.0431
SM(d13:0/18:2)+H2PO4,755.474617,643.4774,279.2329,168.0431
SM(d13:0/18:3)+H2PO4,753.459017,641.4618,277.2173,168.0431
SM(d13:0/18:4)+H2PO4,751.443317,639.4461,275.2016,168.0431
SM(d13:0/19:0)+H2PO4,773.521617,661.5244,297.2799,168.0431
SM(d13:0/20:0)+H2PO4,787.537217,675.54,311.2955,168.0431
SM(d13:0/20:1)+H2PO4,785.521617,673.5244,309.2799,168.0431
SM(d13:0/20:2)+H2PO4,783.505917,671.5087,307.2642,168.0431
SM(d13:0/20:3)+H2PO4,781.490317,669.4931,305.2486,168.0431
SM(d13:0/20:4)+H2PO4,779.474617,667.4774,303.2329,168.0431
SM(d13:0/20:5)+H2PO4,777.459017,665.4618,301.2173,168.0431
SM(d13:0/21:0)+H2PO4,801.552917,689.5557,325.3112,168.0431
SM(d13:0/22:0)+H2PO4,815.568517,703.5713,339.3268,168.0431
SM(d13:0/22:1)+H2PO4,813.552917,701.5557,337.3112,168.0431
SM(d13:0/22:2)+H2PO4,811.537217,699.54,335.2955,168.0431
SM(d13:0/22:3)+H2PO4,809.521617,697.5244,333.2799,168.0431
SM(d13:0/22:4)+H2PO4,807.505917,695.5087,331.2642,168.0431
SM(d13:0/22:5)+H2PO4,805.490317,693.4931,329.2486,168.0431
SM(d13:0/22:6)+H2PO4,803.474617,691.4774,327.2329,168.0431
SM(d13:0/23:0)+H2PO4,829.584217,717.587,353.3425,168.0431
SM(d13:0/24:0)+H2PO4,843.599817,731.6026,367.3581,168.0431
SM(d13:0/24:1)+H2PO4,841.584217,729.587,365.3425,168.0431
SM(d13:0/25:0)+H2PO4,857.615517,745.6183,381.3738,168.0431
SM(d13:0/26:0)+H2PO4,871.631117,759.6339,395.3894,168.0431
SM(d13:0/8:0)+H2PO4,619.349417,507.3522,143.1077,168.0431
SM(d14:0/10:0)+H2PO4,661.396317,549.3991,171.139,168.0431
SM(d14:0/12:0)+H2PO4,689.427617,577.4304,199.1703,168.0431
SM(d14:0/13:0)+H2PO4,703.443317,591.4461,213.186,168.0431
