PA,[M-H]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPA-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PA(10:0_17:1),575.37186,421.23609,325.14219,403.22553,307.13163,224.06881,171.13905,267.23295,171.00644,152.99586,96.96964,78.95852
PA(10:0_17:2),573.35626,419.22049,325.14219,401.20993,307.13163,224.06881,171.13905,265.21735,171.00644,152.99586,96.96964,78.95852
PA(10:0_18:0),591.40316,437.26739,325.14219,419.25683,307.13163,224.06881,171.13905,283.26425,171.00644,152.99586,96.96964,78.95852
PA(10:0_18:1),589.38756,435.25179,325.14219,417.24123,307.13163,224.06881,171.13905,281.24865,171.00644,152.99586,96.96964,78.95852
PA(10:0_18:2),587.37186,433.23609,325.14219,415.22553,307.13163,224.06881,171.13905,279.23295,171.00644,152.99586,96.96964,78.95852
PA(10:0_18:3),585.35626,431.22049,325.14219,413.20993,307.13163,224.06881,171.13905,277.21735,171.00644,152.99586,96.96964,78.95852
PA(10:0_18:4),583.34056,429.20479,325.14219,411.19423,307.13163,224.06881,171.13905,275.20165,171.00644,152.99586,96.96964,78.95852
PA(10:0_19:0),605.41886,451.28309,325.14219,433.27253,307.13163,224.06881,171.13905,297.27995,171.00644,152.99586,96.96964,78.95852
PA(10:0_20:0),619.43446,465.29869,325.14219,447.28813,307.13163,224.06881,171.13905,311.29555,171.00644,152.99586,96.96964,78.95852
PA(10:0_20:1),617.41886,463.28309,325.14219,445.27253,307.13163,224.06881,171.13905,309.27995,171.00644,152.99586,96.96964,78.95852
PA(10:0_20:2),615.40316,461.26739,325.14219,443.25683,307.13163,224.06881,171.13905,307.26425,171.00644,152.99586,96.96964,78.95852
PA(10:0_20:3),613.38756,459.25179,325.14219,441.24123,307.13163,224.06881,171.13905,305.24865,171.00644,152.99586,96.96964,78.95852
PA(10:0_20:4),611.37186,457.23609,325.14219,439.22553,307.13163,224.06881,171.13905,303.23295,171.00644,152.99586,96.96964,78.95852
PA(10:0_20:5),609.35626,455.22049,325.14219,437.20993,307.13163,224.06881,171.13905,301.21735,171.00644,152.99586,96.96964,78.95852
PA(10:0_21:0),633.45016,479.31439,325.14219,461.30383,307.13163,224.06881,171.13905,325.31125,171.00644,152.99586,96.96964,78.95852
PA(10:0_22:0),647.46576,493.32999,325.14219,475.31943,307.13163,224.06881,171.13905,339.32685,171.00644,152.99586,96.96964,78.95852
PA(10:0_22:1),645.45016,491.31439,325.14219,473.30383,307.13163,224.06881,171.13905,337.31125,171.00644,152.99586,96.96964,78.95852
PA(10:0_22:2),643.43446,489.29869,325.14219,471.28813,307.13163,224.06881,171.13905,335.29555,171.00644,152.99586,96.96964,78.95852
PA(10:0_22:3),641.41886,487.28309,325.14219,469.27253,307.13163,224.06881,171.13905,333.27995,171.00644,152.99586,96.96964,78.95852
PA(10:0_22:4),639.40316,485.26739,325.14219,467.25683,307.13163,224.06881,171.13905,331.26425,171.00644,152.99586,96.96964,78.95852
PA(10:0_22:5),637.38756,483.25179,325.14219,465.24123,307.13163,224.06881,171.13905,329.24865,171.00644,152.99586,96.96964,78.95852
PA(10:0_22:6),635.37186,481.23609,325.14219,463.22553,307.13163,224.06881,171.13905,327.23295,171.00644,152.99586,96.96964,78.95852
PA(10:0_23:0),661.48146,507.34569,325.14219,489.33513,307.13163,224.06881,171.13905,353.34255,171.00644,152.99586,96.96964,78.95852
PA(10:0_24:0),675.49706,521.36129,325.14219,503.35073,307.13163,224.06881,171.13905,367.35815,171.00644,152.99586,96.96964,78.95852
PA(10:0_24:1),673.48146,519.34569,325.14219,501.33513,307.13163,224.06881,171.13905,365.34255,171.00644,152.99586,96.96964,78.95852
PA(10:0_25:0),689.51276,535.37699,325.14219,517.36643,307.13163,224.06881,171.13905,381.37385,171.00644,152.99586,96.96964,78.95852
PA(10:0_26:0),703.52836,549.39259,325.14219,531.38203,307.13163,224.06881,171.13905,395.38945,171.00644,152.99586,96.96964,78.95852
PA(12:0_12:0),535.34056,353.17349,353.17349,335.16293,335.16293,224.06881,199.17035,199.17035,171.00644,152.99586,96.96964,78.95852
PA(12:0_13:0),549.35626,367.18919,353.17349,349.17863,335.16293,224.06881,199.17035,213.18605,171.00644,152.99586,96.96964,78.95852
PA(12:0_14:0),563.37186,381.20479,353.17349,363.19423,335.16293,224.06881,199.17035,227.20165,171.00644,152.99586,96.96964,78.95852
PA(12:0_14:1),561.35626,379.18919,353.17349,361.17863,335.16293,224.06881,199.17035,225.18605,171.00644,152.99586,96.96964,78.95852
PA(12:0_15:0),577.38756,395.22049,353.17349,377.20993,335.16293,224.06881,199.17035,241.21735,171.00644,152.99586,96.96964,78.95852
PA(12:0_15:1),575.37186,393.20479,353.17349,375.19423,335.16293,224.06881,199.17035,239.20165,171.00644,152.99586,96.96964,78.95852
PA(12:0_16:0),591.40316,409.23609,353.17349,391.22553,335.16293,224.06881,199.17035,255.23295,171.00644,152.99586,96.96964,78.95852
PA(12:0_16:1),589.38756,407.22049,353.17349,389.20993,335.16293,224.06881,199.17035,253.21735,171.00644,152.99586,96.96964,78.95852
PA(12:0_17:0),605.41886,423.25179,353.17349,405.24123,335.16293,224.06881,199.17035,269.24865,171.00644,152.99586,96.96964,78.95852
PA(12:0_17:1),603.40316,421.23609,353.17349,403.22553,335.16293,224.06881,199.17035,267.23295,171.00644,152.99586,96.96964,78.95852
PA(12:0_17:2),601.38756,419.22049,353.17349,401.20993,335.16293,224.06881,199.17035,265.21735,171.00644,152.99586,96.96964,78.95852
PA(12:0_18:0),619.43446,437.26739,353.17349,419.25683,335.16293,224.06881,199.17035,283.26425,171.00644,152.99586,96.96964,78.95852
PA(12:0_18:1),617.41886,435.25179,353.17349,417.24123,335.16293,224.06881,199.17035,281.24865,171.00644,152.99586,96.96964,78.95852
PA(12:0_18:2),615.40316,433.23609,353.17349,415.22553,335.16293,224.06881,199.17035,279.23295,171.00644,152.99586,96.96964,78.95852
PA(12:0_18:3),613.38756,431.22049,353.17349,413.20993,335.16293,224.06881,199.17035,277.21735,171.00644,152.99586,96.96964,78.95852
PA(12:0_18:4),611.37186,429.20479,353.17349,411.19423,335.16293,224.06881,199.17035,275.20165,171.00644,152.99586,96.96964,78.95852
PA(12:0_19:0),633.45016,451.28309,353.17349,433.27253,335.16293,224.06881,199.17035,297.27995,171.00644,152.99586,96.96964,78.95852
PA(12:0_20:0),647.46576,465.29869,353.17349,447.28813,335.16293,224.06881,199.17035,311.29555,171.00644,152.99586,96.96964,78.95852
PA(12:0_20:1),645.45016,463.28309,353.17349,445.27253,335.16293,224.06881,199.17035,309.27995,171.00644,152.99586,96.96964,78.95852
PA(12:0_20:2),643.43446,461.26739,353.17349,443.25683,335.16293,224.06881,199.17035,307.26425,171.00644,152.99586,96.96964,78.95852
PA(12:0_20:3),641.41886,459.25179,353.17349,441.24123,335.16293,224.06881,199.17035,305.24865,171.00644,152.99586,96.96964,78.95852
