PS,[M-H]-,[M-Serine]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPC-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PS(10:0_23:0),748.5135,661.48148,507.34571,325.14221,489.33515,307.13165,224.06881,171.13905,353.34255,152.99586,96.96964,78.95852
PS(10:0_24:0),762.5291,675.49708,521.36131,325.14221,503.35075,307.13165,224.06881,171.13905,367.35815,152.99586,96.96964,78.95852
PS(10:0_24:1),760.5135,673.48148,519.34571,325.14221,501.33515,307.13165,224.06881,171.13905,365.34255,152.99586,96.96964,78.95852
PS(10:0_25:0),776.5448,689.51278,535.37701,325.14221,517.36645,307.13165,224.06881,171.13905,381.37385,152.99586,96.96964,78.95852
PS(10:0_26:0),790.5604,703.52838,549.39261,325.14221,531.38205,307.13165,224.06881,171.13905,395.38945,152.99586,96.96964,78.95852
PS(12:0_12:0),622.3726,535.34058,353.17351,353.17351,335.16295,335.16295,224.06881,199.17035,199.17035,152.99586,96.96964,78.95852
PS(12:0_13:0),636.3883,549.35628,367.18921,353.17351,349.17865,335.16295,224.06881,199.17035,213.18605,152.99586,96.96964,78.95852
PS(12:0_14:0),650.4039,563.37188,381.20481,353.17351,363.19425,335.16295,224.06881,199.17035,227.20165,152.99586,96.96964,78.95852
PS(12:0_14:1),648.3883,561.35628,379.18921,353.17351,361.17865,335.16295,224.06881,199.17035,225.18605,152.99586,96.96964,78.95852
PS(12:0_15:0),664.4196,577.38758,395.22051,353.17351,377.20995,335.16295,224.06881,199.17035,241.21735,152.99586,96.96964,78.95852
PS(12:0_15:1),662.4039,575.37188,393.20481,353.17351,375.19425,335.16295,224.06881,199.17035,239.20165,152.99586,96.96964,78.95852
PS(12:0_16:0),678.4352,591.40318,409.23611,353.17351,391.22555,335.16295,224.06881,199.17035,255.23295,152.99586,96.96964,78.95852
