Plasmenyl-PE,[M-H]-,[M-T2Ketene]-,[M-T2RCOOH]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PE]-,[PE-H2O]-
Plasmenyl-PE(P-16:1/24:1),782.60705,434.26778,416.25722,365.34255,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/25:0),798.63835,434.26778,416.25722,381.37385,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/26:0),812.65395,434.26778,416.25722,395.38945,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/8:0),560.37225,434.26778,416.25722,143.10775,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/10:0),618.45045,464.31468,446.30412,171.13905,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/12:0),646.48175,464.31468,446.30412,199.17035,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/13:0),660.49745,464.31468,446.30412,213.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/14:0),674.51305,464.31468,446.30412,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/14:1),672.49745,464.31468,446.30412,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/15:0),688.52875,464.31468,446.30412,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/15:1),686.51305,464.31468,446.30412,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/16:0),702.54435,464.31468,446.30412,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/16:1),700.52875,464.31468,446.30412,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/17:0),716.56005,464.31468,446.30412,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/17:1),714.54435,464.31468,446.30412,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/17:2),712.52875,464.31468,446.30412,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/18:0),730.57565,464.31468,446.30412,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/18:1),728.56005,464.31468,446.30412,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/18:2),726.54435,464.31468,446.30412,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/18:3),724.52875,464.31468,446.30412,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/18:4),722.51305,464.31468,446.30412,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/19:0),744.59135,464.31468,446.30412,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/20:0),758.60695,464.31468,446.30412,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/20:1),756.59135,464.31468,446.30412,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/20:2),754.57565,464.31468,446.30412,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/20:3),752.56005,464.31468,446.30412,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/20:4),750.54435,464.31468,446.30412,303.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/20:5),748.52875,464.31468,446.30412,301.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/21:0),772.62265,464.31468,446.30412,325.31125,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/22:0),786.63825,464.31468,446.30412,339.32685,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/22:1),784.62265,464.31468,446.30412,337.31125,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/22:2),782.60695,464.31468,446.30412,335.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/22:3),780.59135,464.31468,446.30412,333.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/22:4),778.57565,464.31468,446.30412,331.26425,152.99586,96.96964,78.95852,140.01128,122.0007
