HexCer,[M+K]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d14:2/32:0),904.70078,848.73434,686.6815,668.6709,224.2009,206.1903
HexCer(d14:2/32:1),902.68508,846.71864,684.6658,666.6553,224.2009,206.1903
HexCer(d14:2/32:2),900.66948,844.70304,682.6502,664.6396,224.2009,206.1903
HexCer(d14:2/33:0),918.71648,862.75004,700.6971,682.6866,224.2009,206.1903
HexCer(d14:2/33:1),916.70078,860.73434,698.6815,680.6709,224.2009,206.1903
HexCer(d14:2/34:0),932.73208,876.76564,714.7128,696.7022,224.2009,206.1903
HexCer(d14:2/34:1),930.71648,874.75004,712.6971,694.6866,224.2009,206.1903
HexCer(d14:2/34:2),928.70078,872.73434,710.6815,692.6709,224.2009,206.1903
HexCer(d14:2/35:0),946.74778,890.78134,728.7285,710.7179,224.2009,206.1903
HexCer(d14:2/35:1),944.73208,888.76564,726.7128,708.7022,224.2009,206.1903
HexCer(d14:2/36:0),960.76338,904.79694,742.7441,724.7335,224.2009,206.1903
HexCer(d14:2/36:1),958.74778,902.78134,740.7285,722.7179,224.2009,206.1903
HexCer(d14:2/36:2),956.73208,900.76564,738.7128,720.7022,224.2009,206.1903
HexCer(d14:2/38:0),988.79468,932.82824,770.7754,752.7648,224.2009,206.1903
HexCer(d14:2/38:1),986.77898,930.81254,768.7598,750.7491,224.2009,206.1903
HexCer(d14:2/38:2),984.76338,928.79694,766.7441,748.7335,224.2009,206.1903
HexCer(d14:2/40:0),1016.82598,960.85954,798.8067,780.7961,224.2009,206.1903
HexCer(d14:2/40:1),1014.81028,958.84384,796.791,778.7805,224.2009,206.1903
HexCer(d14:2/40:2),1012.79468,956.82824,794.7754,776.7648,224.2009,206.1903
HexCer(d14:2/42:0),1044.85688,988.89044,826.838,808.8274,224.2009,206.1903
HexCer(d14:2/42:1),1042.84188,986.87544,824.8223,806.8118,224.2009,206.1903
HexCer(d14:2/42:2),1040.82588,984.85944,822.8067,804.7961,224.2009,206.1903
HexCer(d14:3/12:0),622.37218,566.40574,404.3528,386.3423,222.1853,204.1747
HexCer(d14:3/12:1),620.35648,564.39004,402.3372,384.3266,222.1853,204.1747
HexCer(d14:3/13:0),636.38778,580.42134,418.3685,400.3579,222.1853,204.1747
HexCer(d14:3/13:1),634.37218,578.40574,416.3528,398.3423,222.1853,204.1747
HexCer(d14:3/14:0),650.40338,594.43694,432.3841,414.3736,222.1853,204.1747
HexCer(d14:3/14:1),648.38778,592.42134,430.3685,412.3579,222.1853,204.1747
HexCer(d14:3/15:0),664.41908,608.45264,446.3998,428.3892,222.1853,204.1747
HexCer(d14:3/15:1),662.40338,606.43694,444.3841,426.3736,222.1853,204.1747
HexCer(d14:3/16:0),678.43468,622.46824,460.4154,442.4049,222.1853,204.1747
HexCer(d14:3/16:1),676.41908,620.45264,458.3998,440.3892,222.1853,204.1747
HexCer(d14:3/16:2),674.40338,618.43694,456.3841,438.3736,222.1853,204.1747
HexCer(d14:3/17:0),692.45038,636.48394,474.4311,456.4205,222.1853,204.1747
HexCer(d14:3/18:0),706.46598,650.49954,488.4467,470.4362,222.1853,204.1747
HexCer(d14:3/18:1),704.45038,648.48394,486.4311,468.4205,222.1853,204.1747
HexCer(d14:3/18:2),702.43468,646.46824,484.4154,466.4049,222.1853,204.1747
HexCer(d14:3/19:0),720.48168,664.51524,502.4624,484.4518,222.1853,204.1747
HexCer(d14:3/19:1),718.46598,662.49954,500.4467,482.4362,222.1853,204.1747
HexCer(d14:3/20:0),734.49728,678.53084,516.478,498.4675,222.1853,204.1747
HexCer(d14:3/20:1),732.48168,676.51524,514.4624,496.4518,222.1853,204.1747
HexCer(d14:3/20:2),730.46598,674.49954,512.4467,494.4362,222.1853,204.1747
HexCer(d14:3/21:0),748.51298,692.54654,530.4937,512.4831,222.1853,204.1747
HexCer(d14:3/21:1),746.49728,690.53084,528.478,510.4675,222.1853,204.1747
HexCer(d14:3/22:0),762.52868,706.56224,544.5093,526.4988,222.1853,204.1747
HexCer(d14:3/22:1),760.51298,704.54654,542.4937,524.4831,222.1853,204.1747
HexCer(d14:3/22:2),758.49728,702.53084,540.478,522.4675,222.1853,204.1747
HexCer(d14:3/23:0),776.54428,720.57784,558.525,540.5144,222.1853,204.1747
