"TG","[M+K]+","[M+K-acyl-sn1-H2O]+","[M+K-acyl-sn2-H2O]+","[M+K-acyl-sn3-H2O]+"
"TG(47:2) TG(19:0_20:2_8:0)",827.6526,529.365506,519.381206,683.537706
"TG(47:2) TG(15:0_16:1_16:1)",827.6527,585.428206,573.428206,573.428206
"TG(47:2) TG(14:1_14:1_19:0)",827.6527,601.459506,601.459506,529.365606
"TG(47:2) TG(14:1_15:0_18:1)",827.6527,601.459506,585.428206,545.396906
"TG(47:2) TG(14:1_16:1_17:0)",827.6527,601.459506,573.428206,557.396906
"TG(47:2) TG(13:0_14:1_20:1)",827.6527,613.459506,601.459506,517.365606
"TG(47:2) TG(13:0_16:1_18:1)",827.6527,613.459506,573.428206,545.396906
"TG(48:8) TG(12:0_18:4_18:4)",829.5743,629.396806,553.365506,553.365506
"TG(48:8) TG(10:0_18:4_20:4)",829.5743,657.428106,553.365506,525.334206
"TG(48:8) TG(18:4_22:4_8:0)",829.5743,553.365506,497.302906,685.459406
"TG(48:8) TG(18:2_22:6_8:0)",829.5743,549.334206,501.334206,685.459406
"TG(48:8) TG(20:4_20:4_8:0)",829.5743,525.334206,525.334206,685.459406
"TG(48:8) TG(10:0_18:3_20:5)",829.5744,657.428206,551.349906,527.349906
"TG(48:8) TG(18:3_22:5_8:0)",829.5744,551.349906,499.318606,685.459506
"TG(48:8) TG(20:3_20:5_8:0)",829.5744,523.318606,527.349906,685.459506
"TG(47:1) TG(15:0_16:0_16:1)",829.6683,587.443806,573.428206,575.443806
"TG(47:1) TG(14:0_15:0_18:1)",829.6683,601.459506,587.443806,547.412506
"TG(47:1) TG(14:0_14:1_19:0)",829.6683,601.459506,603.475106,531.381206
"TG(47:1) TG(14:0_16:1_17:0)",829.6683,601.459506,575.443806,559.412506
"TG(47:1) TG(14:1_15:0_18:0)",829.6683,603.475106,587.443806,545.396906
"TG(47:1) TG(14:1_16:0_17:0)",829.6683,603.475106,573.428206,559.412506
"TG(47:1) TG(13:0_14:1_20:0)",829.6683,615.475106,603.475106,517.365606
"TG(47:1) TG(13:0_14:0_20:1)",829.6683,615.475106,601.459506,519.381206
"TG(47:1) TG(13:0_16:1_18:0)",829.6683,615.475106,575.443806,545.396906
"TG(47:1) TG(13:0_16:0_18:1)",829.6683,615.475106,573.428206,547.412506
"TG(47:1) TG(12:0_13:0_22:1)",829.6683,629.490806,615.475106,491.349906
"TG(47:1) TG(12:0_14:1_21:0)",829.6683,629.490806,603.475106,503.349906
"TG(47:1) TG(12:0_15:0_20:1)",829.6683,629.490806,587.443806,519.381206
"TG(47:1) TG(12:0_16:1_19:0)",829.6683,629.490806,575.443806,531.381206
"TG(47:1) TG(12:0_17:0_18:1)",829.6683,629.490806,559.412506,547.412506
"TG(47:1) TG(10:0_13:0_24:1)",829.6683,657.522106,615.475106,463.318606
"TG(47:1) TG(10:0_14:1_23:0)",829.6683,657.522106,603.475106,475.318606
"TG(47:1) TG(10:0_15:0_22:1)",829.6683,657.522106,587.443806,491.349906
"TG(47:1) TG(10:0_16:1_21:0)",829.6683,657.522106,575.443806,503.349906
"TG(47:1) TG(10:0_17:0_20:1)",829.6683,657.522106,559.412506,519.381206
"TG(47:1) TG(10:0_18:1_19:0)",829.6683,657.522106,547.412506,531.381206
"TG(47:1) TG(15:0_24:1_8:0)",829.6683,587.443806,463.318606,685.553406
"TG(47:1) TG(16:1_23:0_8:0)",829.6683,575.443806,475.318606,685.553406
"TG(47:1) TG(17:0_22:1_8:0)",829.6683,559.412506,491.349906,685.553406
"TG(47:1) TG(18:1_21:0_8:0)",829.6683,547.412506,503.349906,685.553406
"TG(47:1) TG(19:0_20:1_8:0)",829.6683,531.381206,519.381206,685.553406
"TG(48:7) TG(12:0_14:1_22:6)",831.59,631.412506,605.396806,503.349906
"TG(48:7) TG(12:0_18:3_18:4)",831.59,631.412506,553.365506,555.381206
"TG(48:7) TG(10:0_16:1_22:6)",831.59,659.443806,577.365506,503.349906
"TG(48:7) TG(10:0_18:4_20:3)",831.59,659.443806,555.381206,525.334206
"TG(48:7) TG(10:0_18:3_20:4)",831.59,659.443806,553.365506,527.349906
"TG(48:7) TG(10:0_18:2_20:5)",831.59,659.443806,551.349906,529.365506
"TG(48:7) TG(18:3_22:4_8:0)",831.59,553.365506,499.318606,687.475106
"TG(48:7) TG(18:2_22:5_8:0)",831.59,551.349906,501.334206,687.475106
"TG(48:7) TG(18:1_22:6_8:0)",831.59,549.334206,503.349906,687.475106
"TG(48:7) TG(20:2_20:5_8:0)",831.59,523.318606,529.365506,687.475106
"TG(48:7) TG(20:3_20:4_8:0)",831.59,525.334206,527.349906,687.475106
"TG(48:7) TG(14:1_14:1_20:5)",831.5901,605.396906,605.396906,529.365606
"TG(47:0) TG(15:0_16:0_16:0)",831.6839,589.459406,575.443806,575.443806
"TG(47:0) TG(14:0_14:0_19:0)",831.6839,603.475106,603.475106,533.396806
"TG(47:0) TG(14:0_15:0_18:0)",831.6839,603.475106,589.459406,547.412506
"TG(47:0) TG(14:0_16:0_17:0)",831.6839,603.475106,575.443806,561.428106
"TG(47:0) TG(13:0_14:0_20:0)",831.6839,617.490706,603.475106,519.381206
"TG(47:0) TG(13:0_16:0_18:0)",831.6839,617.490706,575.443806,547.412506
"TG(47:0) TG(12:0_12:0_23:0)",831.6839,631.506406,631.506406,477.334206
"TG(47:0) TG(12:0_13:0_22:0)",831.6839,631.506406,617.490706,491.349906
"TG(47:0) TG(12:0_14:0_21:0)",831.6839,631.506406,603.475106,505.365506
"TG(47:0) TG(12:0_15:0_20:0)",831.6839,631.506406,589.459406,519.381206
"TG(47:0) TG(12:0_16:0_19:0)",831.6839,631.506406,575.443806,533.396806
"TG(47:0) TG(12:0_17:0_18:0)",831.6839,631.506406,561.428106,547.412506
"TG(47:0) TG(10:0_13:0_24:0)",831.6839,659.537706,617.490706,463.318606
"TG(47:0) TG(10:0_14:0_23:0)",831.6839,659.537706,603.475106,477.334206
"TG(47:0) TG(10:0_15:0_22:0)",831.6839,659.537706,589.459406,491.349906
"TG(47:0) TG(10:0_16:0_21:0)",831.6839,659.537706,575.443806,505.365506
"TG(47:0) TG(10:0_17:0_20:0)",831.6839,659.537706,561.428106,519.381206
"TG(47:0) TG(10:0_18:0_19:0)",831.6839,659.537706,547.412506,533.396806
"TG(47:0) TG(15:0_24:0_8:0)",831.6839,589.459406,463.318606,687.569006
"TG(47:0) TG(16:0_23:0_8:0)",831.6839,575.443806,477.334206,687.569006
"TG(47:0) TG(17:0_22:0_8:0)",831.6839,561.428106,491.349906,687.569006
"TG(47:0) TG(18:0_21:0_8:0)",831.6839,547.412506,505.365506,687.569006
"TG(47:0) TG(19:0_20:0_8:0)",831.6839,533.396806,519.381206,687.569006
"TG(47:0) TG(15:0_15:0_17:0)",831.684,589.459506,589.459506,561.428206
"TG(47:0) TG(13:0_13:0_21:0)",831.684,617.490806,617.490806,505.365606
"TG(47:0) TG(13:0_15:0_19:0)",831.684,617.490806,589.459506,533.396906
"TG(47:0) TG(13:0_17:0_17:0)",831.684,617.490806,561.428206,561.428206
"TG(48:6) TG(12:0_14:0_22:6)",833.6056,633.428106,605.396806,505.365506
"TG(48:6) TG(12:0_18:2_18:4)",833.6056,633.428106,553.365506,557.396806
"TG(48:6) TG(10:0_16:0_22:6)",833.6056,661.459406,577.365506,505.365506
"TG(48:6) TG(10:0_18:4_20:2)",833.6056,661.459406,557.396806,525.334206
"TG(48:6) TG(10:0_18:2_20:4)",833.6056,661.459406,553.365506,529.365506
"TG(48:6) TG(18:4_22:2_8:0)",833.6056,557.396806,497.302906,689.490706
"TG(48:6) TG(18:2_22:4_8:0)",833.6056,553.365506,501.334206,689.490706
"TG(48:6) TG(18:0_22:6_8:0)",833.6056,549.334206,505.365506,689.490706
"TG(48:6) TG(20:2_20:4_8:0)",833.6056,525.334206,529.365506,689.490706
"TG(48:6) TG(14:1_14:1_20:4)",833.6057,607.412506,607.412506,529.365606
"TG(48:6) TG(14:0_14:1_20:5)",833.6057,605.396906,607.412506,531.381206
"TG(48:6) TG(14:1_16:1_18:4)",833.6057,607.412506,579.381206,557.396906
"TG(48:6) TG(13:0_13:0_22:6)",833.6057,619.412506,619.412506,505.365606
"TG(48:6) TG(12:0_14:1_22:5)",833.6057,633.428206,607.412506,503.349906
"TG(48:6) TG(12:0_16:1_20:5)",833.6057,633.428206,579.381206,531.381206
"TG(48:6) TG(12:0_18:3_18:3)",833.6057,633.428206,555.381206,555.381206
"TG(48:6) TG(10:0_16:1_22:5)",833.6057,661.459506,579.381206,503.349906
"TG(48:6) TG(10:0_18:3_20:3)",833.6057,661.459506,555.381206,527.349906
"TG(48:6) TG(10:0_18:1_20:5)",833.6057,661.459506,551.349906,531.381206
"TG(48:6) TG(18:1_22:5_8:0)",833.6057,551.349906,503.349906,689.490806
"TG(48:6) TG(20:1_20:5_8:0)",833.6057,523.318606,531.381206,689.490806
"TG(48:6) TG(20:3_20:3_8:0)",833.6057,527.349906,527.349906,689.490806
"TG(48:5) TG(14:0_14:0_20:5)",835.6213,607.412506,607.412506,533.396806
"TG(48:5) TG(14:0_14:1_20:4)",835.6213,607.412506,609.428106,531.381206
"TG(48:5) TG(14:0_16:1_18:4)",835.6213,607.412506,581.396806,559.412506
"TG(48:5) TG(14:1_16:0_18:4)",835.6213,609.428106,579.381206,559.412506
"TG(48:5) TG(12:0_14:1_22:4)",835.6213,635.443806,609.428106,503.349906
"TG(48:5) TG(12:0_14:0_22:5)",835.6213,635.443806,607.412506,505.365506
"TG(48:5) TG(12:0_16:1_20:4)",835.6213,635.443806,581.396806,531.381206
"TG(48:5) TG(12:0_16:0_20:5)",835.6213,635.443806,579.381206,533.396806
"TG(48:5) TG(12:0_18:1_18:4)",835.6213,635.443806,553.365506,559.412506
"TG(48:5) TG(12:0_18:2_18:3)",835.6213,635.443806,555.381206,557.396806
"TG(48:5) TG(10:0_16:1_22:4)",835.6213,663.475106,581.396806,503.349906
"TG(48:5) TG(10:0_16:0_22:5)",835.6213,663.475106,579.381206,505.365506
"TG(48:5) TG(10:0_18:4_20:1)",835.6213,663.475106,559.412506,525.334206
"TG(48:5) TG(10:0_18:3_20:2)",835.6213,663.475106,557.396806,527.349906
"TG(48:5) TG(10:0_18:2_20:3)",835.6213,663.475106,555.381206,529.365506
"TG(48:5) TG(10:0_18:1_20:4)",835.6213,663.475106,553.365506,531.381206
"TG(48:5) TG(10:0_18:0_20:5)",835.6213,663.475106,551.349906,533.396806
"TG(48:5) TG(18:4_22:1_8:0)",835.6213,559.412506,497.302906,691.506406
"TG(48:5) TG(18:3_22:2_8:0)",835.6213,557.396806,499.318606,691.506406
"TG(48:5) TG(18:1_22:4_8:0)",835.6213,553.365506,503.349906,691.506406
"TG(48:5) TG(18:0_22:5_8:0)",835.6213,551.349906,505.365506,691.506406
"TG(48:5) TG(20:0_20:5_8:0)",835.6213,523.318606,533.396806,691.506406
"TG(48:5) TG(20:1_20:4_8:0)",835.6213,525.334206,531.381206,691.506406
"TG(48:5) TG(20:2_20:3_8:0)",835.6213,527.349906,529.365506,691.506406
"TG(48:5) TG(14:1_14:1_20:3)",835.6214,609.428206,609.428206,529.365606
"TG(48:5) TG(14:1_16:1_18:3)",835.6214,609.428206,581.396906,557.396906
"TG(48:5) TG(13:0_13:0_22:5)",835.6214,621.428206,621.428206,505.365606
"TG(48:5) TG(13:0_15:0_20:5)",835.6214,621.428206,593.396906,533.396906
"TG(48:4) TG(14:0_14:0_20:4)",837.6369,609.428106,609.428106,533.396806
"TG(48:4) TG(14:0_16:0_18:4)",837.6369,609.428106,581.396806,561.428106
"TG(48:4) TG(12:0_14:0_22:4)",837.6369,637.459406,609.428106,505.365506
"TG(48:4) TG(12:0_16:0_20:4)",837.6369,637.459406,581.396806,533.396806
"TG(48:4) TG(12:0_18:0_18:4)",837.6369,637.459406,553.365506,561.428106
"TG(48:4) TG(12:0_18:2_18:2)",837.6369,637.459406,557.396806,557.396806
"TG(48:4) TG(10:0_16:0_22:4)",837.6369,665.490706,581.396806,505.365506
"TG(48:4) TG(10:0_18:4_20:0)",837.6369,665.490706,561.428106,525.334206
"TG(48:4) TG(10:0_18:2_20:2)",837.6369,665.490706,557.396806,529.365506
"TG(48:4) TG(10:0_18:0_20:4)",837.6369,665.490706,553.365506,533.396806
"TG(48:4) TG(18:4_22:0_8:0)",837.6369,561.428106,497.302906,693.522006
"TG(48:4) TG(18:2_22:2_8:0)",837.6369,557.396806,501.334206,693.522006
"TG(48:4) TG(18:0_22:4_8:0)",837.6369,553.365506,505.365506,693.522006
"TG(48:4) TG(20:0_20:4_8:0)",837.6369,525.334206,533.396806,693.522006
"TG(48:4) TG(20:2_20:2_8:0)",837.6369,529.365506,529.365506,693.522006
"TG(48:4) TG(15:0_15:0_18:4)",837.637,595.412506,595.412506,561.428206
"TG(48:4) TG(14:1_14:1_20:2)",837.637,611.443806,611.443806,529.365606
"TG(48:4) TG(14:0_14:1_20:3)",837.637,609.428206,611.443806,531.381206
"TG(48:4) TG(14:0_16:1_18:3)",837.637,609.428206,583.412506,559.412506
"TG(48:4) TG(14:1_16:1_18:2)",837.637,611.443806,583.412506,557.396906
"TG(48:4) TG(14:1_16:0_18:3)",837.637,611.443806,581.396906,559.412506
"TG(48:4) TG(13:0_13:0_22:4)",837.637,623.443806,623.443806,505.365606
"TG(48:4) TG(13:0_15:0_20:4)",837.637,623.443806,595.412506,533.396906
"TG(48:4) TG(13:0_17:0_18:4)",837.637,623.443806,567.381206,561.428206
"TG(48:4) TG(12:0_16:1_20:3)",837.637,637.459506,583.412506,531.381206
"TG(48:4) TG(12:0_18:1_18:3)",837.637,637.459506,555.381206,559.412506
"TG(48:4) TG(10:0_18:3_20:1)",837.637,665.490806,559.412506,527.349906
"TG(48:4) TG(10:0_18:1_20:3)",837.637,665.490806,555.381206,531.381206
"TG(48:4) TG(18:3_22:1_8:0)",837.637,559.412506,499.318606,693.522106
"TG(48:4) TG(20:1_20:3_8:0)",837.637,527.349906,531.381206,693.522106
"TG(48:3) TG(14:0_14:0_20:3)",839.6526,611.443806,611.443806,533.396806
"TG(48:3) TG(14:0_14:1_20:2)",839.6526,611.443806,613.459406,531.381206
"TG(48:3) TG(14:0_16:1_18:2)",839.6526,611.443806,585.428106,559.412506
"TG(48:3) TG(14:0_16:0_18:3)",839.6526,611.443806,583.412506,561.428106
"TG(48:3) TG(14:1_16:0_18:2)",839.6526,613.459406,583.412506,559.412506
"TG(48:3) TG(12:0_14:1_22:2)",839.6526,639.475106,613.459406,503.349906
"TG(48:3) TG(12:0_16:1_20:2)",839.6526,639.475106,585.428106,531.381206
"TG(48:3) TG(12:0_16:0_20:3)",839.6526,639.475106,583.412506,533.396806
"TG(48:3) TG(12:0_18:0_18:3)",839.6526,639.475106,555.381206,561.428106
"TG(48:3) TG(12:0_18:1_18:2)",839.6526,639.475106,557.396806,559.412506
"TG(48:3) TG(10:0_16:1_22:2)",839.6526,667.506406,585.428106,503.349906
"TG(48:3) TG(10:0_18:3_20:0)",839.6526,667.506406,561.428106,527.349906
"TG(48:3) TG(10:0_18:2_20:1)",839.6526,667.506406,559.412506,529.365506
"TG(48:3) TG(10:0_18:1_20:2)",839.6526,667.506406,557.396806,531.381206
"TG(48:3) TG(10:0_18:0_20:3)",839.6526,667.506406,555.381206,533.396806
"TG(48:3) TG(18:3_22:0_8:0)",839.6526,561.428106,499.318606,695.537706
"TG(48:3) TG(18:2_22:1_8:0)",839.6526,559.412506,501.334206,695.537706
"TG(48:3) TG(18:1_22:2_8:0)",839.6526,557.396806,503.349906,695.537706
"TG(48:3) TG(20:0_20:3_8:0)",839.6526,527.349906,533.396806,695.537706
"TG(48:3) TG(20:1_20:2_8:0)",839.6526,529.365506,531.381206,695.537706
"TG(48:3) TG(16:1_16:1_16:1)",839.6527,585.428206,585.428206,585.428206
"TG(48:3) TG(15:0_15:0_18:3)",839.6527,597.428206,597.428206,561.428206
"TG(48:3) TG(14:1_14:1_20:1)",839.6527,613.459506,613.459506,529.365606
"TG(48:3) TG(14:1_16:1_18:1)",839.6527,613.459506,585.428206,557.396906
"TG(48:3) TG(13:0_15:0_20:3)",839.6527,625.459506,597.428206,533.396906
"TG(48:3) TG(13:0_17:0_18:3)",839.6527,625.459506,569.396906,561.428206
"TG(48:2) TG(14:0_14:0_20:2)",841.6682,613.459406,613.459406,533.396806
"TG(48:2) TG(14:0_16:0_18:2)",841.6682,613.459406,585.428106,561.428106
"TG(48:2) TG(12:0_14:0_22:2)",841.6682,641.490706,613.459406,505.365506
"TG(48:2) TG(12:0_16:0_20:2)",841.6682,641.490706,585.428106,533.396806
"TG(48:2) TG(12:0_18:0_18:2)",841.6682,641.490706,557.396806,561.428106
"TG(48:2) TG(10:0_16:0_22:2)",841.6682,669.522006,585.428106,505.365506
"TG(48:2) TG(10:0_18:2_20:0)",841.6682,669.522006,561.428106,529.365506
"TG(48:2) TG(10:0_18:0_20:2)",841.6682,669.522006,557.396806,533.396806
"TG(48:2) TG(18:2_22:0_8:0)",841.6682,561.428106,501.334206,697.553306
"TG(48:2) TG(18:0_22:2_8:0)",841.6682,557.396806,505.365506,697.553306
"TG(48:2) TG(20:0_20:2_8:0)",841.6682,529.365506,533.396806,697.553306
"TG(48:2) TG(16:0_16:1_16:1)",841.6683,585.428206,587.443806,587.443806
"TG(48:2) TG(15:0_15:0_18:2)",841.6683,599.443806,599.443806,561.428206
"TG(48:2) TG(14:1_14:1_20:0)",841.6683,615.475106,615.475106,529.365606
"TG(48:2) TG(14:0_14:1_20:1)",841.6683,613.459506,615.475106,531.381206
"TG(48:2) TG(14:0_16:1_18:1)",841.6683,613.459506,587.443806,559.412506
"TG(48:2) TG(14:1_16:1_18:0)",841.6683,615.475106,587.443806,557.396906
"TG(48:2) TG(14:1_16:0_18:1)",841.6683,615.475106,585.428206,559.412506
"TG(48:2) TG(13:0_13:0_22:2)",841.6683,627.475106,627.475106,505.365606
"TG(48:2) TG(13:0_15:0_20:2)",841.6683,627.475106,599.443806,533.396906
"TG(48:2) TG(13:0_17:0_18:2)",841.6683,627.475106,571.412506,561.428206
"TG(48:2) TG(12:0_14:1_22:1)",841.6683,641.490806,615.475106,503.349906
"TG(48:2) TG(12:0_16:1_20:1)",841.6683,641.490806,587.443806,531.381206
"TG(48:2) TG(12:0_18:1_18:1)",841.6683,641.490806,559.412506,559.412506
"TG(48:2) TG(10:0_14:1_24:1)",841.6683,669.522106,615.475106,475.318606
"TG(48:2) TG(10:0_16:1_22:1)",841.6683,669.522106,587.443806,503.349906
"TG(48:2) TG(10:0_18:1_20:1)",841.6683,669.522106,559.412506,531.381206
"TG(48:2) TG(16:1_24:1_8:0)",841.6683,587.443806,475.318606,697.553406
"TG(48:2) TG(18:1_22:1_8:0)",841.6683,559.412506,503.349906,697.553406
"TG(48:2) TG(20:1_20:1_8:0)",841.6683,531.381206,531.381206,697.553406
"TG(49:8) TG(13:0_18:4_18:4)",843.59,629.396806,567.381206,567.381206
"TG(48:1) TG(16:0_16:0_16:1)",843.6839,587.443806,587.443806,589.459406
"TG(48:1) TG(14:0_14:0_20:1)",843.6839,615.475106,615.475106,533.396806
"TG(48:1) TG(14:0_14:1_20:0)",843.6839,615.475106,617.490706,531.381206
"TG(48:1) TG(14:0_16:1_18:0)",843.6839,615.475106,589.459406,559.412506
"TG(48:1) TG(14:0_16:0_18:1)",843.6839,615.475106,587.443806,561.428106
"TG(48:1) TG(14:1_16:0_18:0)",843.6839,617.490706,587.443806,559.412506
"TG(48:1) TG(12:0_12:0_24:1)",843.6839,643.506406,643.506406,477.334206
"TG(48:1) TG(12:0_14:1_22:0)",843.6839,643.506406,617.490706,503.349906
"TG(48:1) TG(12:0_14:0_22:1)",843.6839,643.506406,615.475106,505.365506
"TG(48:1) TG(12:0_16:1_20:0)",843.6839,643.506406,589.459406,531.381206
"TG(48:1) TG(12:0_16:0_20:1)",843.6839,643.506406,587.443806,533.396806
"TG(48:1) TG(12:0_18:0_18:1)",843.6839,643.506406,559.412506,561.428106
"TG(48:1) TG(10:0_14:1_24:0)",843.6839,671.537706,617.490706,475.318606
"TG(48:1) TG(10:0_14:0_24:1)",843.6839,671.537706,615.475106,477.334206
"TG(48:1) TG(10:0_16:1_22:0)",843.6839,671.537706,589.459406,503.349906
"TG(48:1) TG(10:0_16:0_22:1)",843.6839,671.537706,587.443806,505.365506
"TG(48:1) TG(10:0_18:1_20:0)",843.6839,671.537706,561.428106,531.381206
"TG(48:1) TG(10:0_18:0_20:1)",843.6839,671.537706,559.412506,533.396806
"TG(48:1) TG(16:1_24:0_8:0)",843.6839,589.459406,475.318606,699.569006
"TG(48:1) TG(16:0_24:1_8:0)",843.6839,587.443806,477.334206,699.569006
"TG(48:1) TG(18:1_22:0_8:0)",843.6839,561.428106,503.349906,699.569006
"TG(48:1) TG(18:0_22:1_8:0)",843.6839,559.412506,505.365506,699.569006
"TG(48:1) TG(20:0_20:1_8:0)",843.6839,531.381206,533.396806,699.569006
"TG(48:1) TG(15:0_15:0_18:1)",843.684,601.459506,601.459506,561.428206
"TG(48:1) TG(15:0_16:1_17:0)",843.684,601.459506,589.459506,573.428206
"TG(48:1) TG(14:1_15:0_19:0)",843.684,617.490806,601.459506,545.396906
"TG(48:1) TG(14:1_17:0_17:0)",843.684,617.490806,573.428206,573.428206
"TG(48:1) TG(13:0_13:0_22:1)",843.684,629.490806,629.490806,505.365606
"TG(48:1) TG(13:0_14:1_21:0)",843.684,629.490806,617.490806,517.365606
"TG(48:1) TG(13:0_15:0_20:1)",843.684,629.490806,601.459506,533.396906
"TG(48:1) TG(13:0_16:1_19:0)",843.684,629.490806,589.459506,545.396906
"TG(48:1) TG(13:0_17:0_18:1)",843.684,629.490806,573.428206,561.428206
"TG(49:7) TG(13:0_14:1_22:6)",845.6057,631.412506,619.412506,517.365606
"TG(49:7) TG(13:0_18:3_18:4)",845.6057,631.412506,567.381206,569.396906
"TG(48:0) TG(16:0_16:0_16:0)",845.6995,589.459406,589.459406,589.459406
"TG(48:0) TG(14:0_14:0_20:0)",845.6995,617.490706,617.490706,533.396806
"TG(48:0) TG(14:0_16:0_18:0)",845.6995,617.490706,589.459406,561.428106
"TG(48:0) TG(12:0_12:0_24:0)",845.6995,645.522006,645.522006,477.334206
"TG(48:0) TG(12:0_14:0_22:0)",845.6995,645.522006,617.490706,505.365506
"TG(48:0) TG(12:0_16:0_20:0)",845.6995,645.522006,589.459406,533.396806
"TG(48:0) TG(12:0_18:0_18:0)",845.6995,645.522006,561.428106,561.428106
"TG(48:0) TG(10:0_14:0_24:0)",845.6995,673.553306,617.490706,477.334206
"TG(48:0) TG(10:0_16:0_22:0)",845.6995,673.553306,589.459406,505.365506
"TG(48:0) TG(10:0_18:0_20:0)",845.6995,673.553306,561.428106,533.396806
"TG(48:0) TG(16:0_24:0_8:0)",845.6995,589.459406,477.334206,701.584606
"TG(48:0) TG(18:0_22:0_8:0)",845.6995,561.428106,505.365506,701.584606
"TG(48:0) TG(20:0_20:0_8:0)",845.6995,533.396806,533.396806,701.584606
"TG(48:0) TG(15:0_15:0_18:0)",845.6996,603.475106,603.475106,561.428206
"TG(48:0) TG(15:0_16:0_17:0)",845.6996,603.475106,589.459506,575.443806
"TG(48:0) TG(14:0_15:0_19:0)",845.6996,617.490806,603.475106,547.412506
"TG(48:0) TG(14:0_17:0_17:0)",845.6996,617.490806,575.443806,575.443806
"TG(48:0) TG(13:0_13:0_22:0)",845.6996,631.506406,631.506406,505.365606
"TG(48:0) TG(13:0_14:0_21:0)",845.6996,631.506406,617.490806,519.381206
"TG(48:0) TG(13:0_15:0_20:0)",845.6996,631.506406,603.475106,533.396906
"TG(48:0) TG(13:0_16:0_19:0)",845.6996,631.506406,589.459506,547.412506
"TG(48:0) TG(13:0_17:0_18:0)",845.6996,631.506406,575.443806,561.428206
"TG(48:0) TG(12:0_13:0_23:0)",845.6996,645.522106,631.506406,491.349906
"TG(48:0) TG(12:0_15:0_21:0)",845.6996,645.522106,603.475106,519.381206
"TG(48:0) TG(12:0_17:0_19:0)",845.6996,645.522106,575.443806,547.412506
"TG(48:0) TG(10:0_15:0_23:0)",845.6996,673.553406,603.475106,491.349906
"TG(48:0) TG(10:0_17:0_21:0)",845.6996,673.553406,575.443806,519.381206
"TG(48:0) TG(10:0_19:0_19:0)",845.6996,673.553406,547.412506,547.412506
"TG(48:0) TG(17:0_23:0_8:0)",845.6996,575.443806,491.349906,701.584706
"TG(48:0) TG(19:0_21:0_8:0)",845.6996,547.412506,519.381206,701.584706
"TG(49:6) TG(13:0_14:0_22:6)",847.6213,633.428106,619.412506,519.381206
"TG(49:6) TG(13:0_18:2_18:4)",847.6213,633.428106,567.381206,571.412506
"TG(49:6) TG(12:0_15:0_22:6)",847.6213,647.443806,605.396806,519.381206
"TG(49:6) TG(10:0_17:0_22:6)",847.6213,675.475106,577.365506,519.381206
"TG(49:6) TG(19:0_22:6_8:0)",847.6213,549.334206,519.381206,703.506406
"TG(49:6) TG(14:1_15:0_20:5)",847.6214,621.428206,605.396906,545.396906
"TG(49:6) TG(13:0_14:1_22:5)",847.6214,633.428206,621.428206,517.365606
"TG(49:6) TG(13:0_16:1_20:5)",847.6214,633.428206,593.396906,545.396906
"TG(49:6) TG(13:0_18:3_18:3)",847.6214,633.428206,569.396906,569.396906
"TG(49:5) TG(15:0_16:1_18:4)",849.637,607.412506,595.412506,573.428206
"TG(49:5) TG(14:0_15:0_20:5)",849.637,621.428206,607.412506,547.412506
"TG(49:5) TG(14:1_15:0_20:4)",849.637,623.443806,607.412506,545.396906
"TG(49:5) TG(14:1_17:0_18:4)",849.637,623.443806,579.381206,573.428206
"TG(49:5) TG(13:0_14:1_22:4)",849.637,635.443806,623.443806,517.365606
"TG(49:5) TG(13:0_14:0_22:5)",849.637,635.443806,621.428206,519.381206
"TG(49:5) TG(13:0_16:1_20:4)",849.637,635.443806,595.412506,545.396906
"TG(49:5) TG(13:0_16:0_20:5)",849.637,635.443806,593.396906,547.412506
"TG(49:5) TG(13:0_18:1_18:4)",849.637,635.443806,567.381206,573.428206
"TG(49:5) TG(13:0_18:2_18:3)",849.637,635.443806,569.396906,571.412506
"TG(49:5) TG(12:0_15:0_22:5)",849.637,649.459506,607.412506,519.381206
"TG(49:5) TG(12:0_17:0_20:5)",849.637,649.459506,579.381206,547.412506
"TG(49:5) TG(10:0_17:0_22:5)",849.637,677.490806,579.381206,519.381206
"TG(49:5) TG(10:0_19:0_20:5)",849.637,677.490806,551.349906,547.412506
"TG(49:5) TG(19:0_22:5_8:0)",849.637,551.349906,519.381206,705.522106
"TG(49:5) TG(20:5_21:0_8:0)",849.637,547.412506,523.318606,705.522106
"TG(50:11) TG(20:5_22:6_8:0)",851.5587,549.334206,523.318606,707.443806
"TG(49:4) TG(15:0_16:0_18:4)",851.6526,609.428106,595.412506,575.443806
"TG(49:4) TG(14:0_15:0_20:4)",851.6526,623.443806,609.428106,547.412506
"TG(49:4) TG(14:0_17:0_18:4)",851.6526,623.443806,581.396806,575.443806
"TG(49:4) TG(13:0_14:0_22:4)",851.6526,637.459406,623.443806,519.381206
"TG(49:4) TG(13:0_16:0_20:4)",851.6526,637.459406,595.412506,547.412506
"TG(49:4) TG(13:0_18:0_18:4)",851.6526,637.459406,567.381206,575.443806
"TG(49:4) TG(13:0_18:2_18:2)",851.6526,637.459406,571.412506,571.412506
"TG(49:4) TG(12:0_15:0_22:4)",851.6526,651.475106,609.428106,519.381206
"TG(49:4) TG(12:0_17:0_20:4)",851.6526,651.475106,581.396806,547.412506
"TG(49:4) TG(12:0_18:4_19:0)",851.6526,651.475106,575.443806,553.365506
