Plasmenyl-PC,[M+H]+,[M+H-PC]+,[M+H-sn1_ether]+,[M+H-sn1_ether-N(CH3)3]+,[M+H-sn2_acyl]+,[M+H-sn2_acyl-H2O]+,[LPC_acyl_sn2]+,[acyl_sn2_RCOO+58]+,[acyl2_RCO]+,[PC Head]+
Plasmenyl-PC(P-16:0/18:0),746.6057976,563.5397576,506.3606326,447.2871326,480.3449176,462.3343576,524.37109,341.30503,267.2688,184.07332
Plasmenyl-PC(P-16:0/18:1),744.5901976,561.5241576,504.3450326,445.2715326,480.3449176,462.3343576,522.35549,339.28943,265.2532,184.07332
Plasmenyl-PC(P-16:0/18:2),742.5744976,559.5084576,502.3293326,443.2558326,480.3449176,462.3343576,520.33979,337.27373,263.2375,184.07332
Plasmenyl-PC(P-16:0/18:3),740.5588976,557.4928576,500.3137326,441.2402326,480.3449176,462.3343576,518.32419,335.25813,261.2219,184.07332
Plasmenyl-PC(P-16:0/18:4),738.5431976,555.4771576,498.2980326,439.2245326,480.3449176,462.3343576,516.30849,333.24243,259.2062,184.07332
Plasmenyl-PC(P-16:0/19:0),760.6214976,577.5554576,520.3763326,461.3028326,480.3449176,462.3343576,538.38679,355.32073,281.2845,184.07332
Plasmenyl-PC(P-16:0/20:0),774.6370976,591.5710576,534.3919326,475.3184326,480.3449176,462.3343576,552.40239,369.33633,295.3001,184.07332
Plasmenyl-PC(P-16:0/20:1),772.6214976,589.5554576,532.3763326,473.3028326,480.3449176,462.3343576,550.38679,367.32073,293.2845,184.07332
Plasmenyl-PC(P-16:0/20:2),770.6057976,587.5397576,530.3606326,471.2871326,480.3449176,462.3343576,548.37109,365.30503,291.2688,184.07332
Plasmenyl-PC(P-16:0/20:3),768.5901976,585.5241576,528.3450326,469.2715326,480.3449176,462.3343576,546.35549,363.28943,289.2532,184.07332
Plasmenyl-PC(P-16:0/20:4),766.5744976,583.5084576,526.3293326,467.2558326,480.3449176,462.3343576,544.33979,361.27373,287.2375,184.07332
Plasmenyl-PC(P-16:0/20:5),764.5588976,581.4928576,524.3137326,465.2402326,480.3449176,462.3343576,542.32419,359.25813,285.2219,184.07332
Plasmenyl-PC(P-16:0/21:0),788.6527976,605.5867576,548.4076326,489.3341326,480.3449176,462.3343576,566.41809,383.35203,309.3158,184.07332
Plasmenyl-PC(P-16:0/22:0),802.6683976,619.6023576,562.4232326,503.3497326,480.3449176,462.3343576,580.43369,397.36763,323.3314,184.07332
Plasmenyl-PC(P-16:0/22:1),800.6527976,617.5867576,560.4076326,501.3341326,480.3449176,462.3343576,578.41809,395.35203,321.3158,184.07332
Plasmenyl-PC(P-16:0/22:2),798.6370976,615.5710576,558.3919326,499.3184326,480.3449176,462.3343576,576.40239,393.33633,319.3001,184.07332
Plasmenyl-PC(P-16:0/22:3),796.6214976,613.5554576,556.3763326,497.3028326,480.3449176,462.3343576,574.38679,391.32073,317.2845,184.07332
Plasmenyl-PC(P-16:0/22:4),794.6057976,611.5397576,554.3606326,495.2871326,480.3449176,462.3343576,572.37109,389.30503,315.2688,184.07332
Plasmenyl-PC(P-16:0/22:5),792.5901976,609.5241576,552.3450326,493.2715326,480.3449176,462.3343576,570.35549,387.28943,313.2532,184.07332
Plasmenyl-PC(P-16:0/22:6),790.5744976,607.5084576,550.3293326,491.2558326,480.3449176,462.3343576,568.33979,385.27373,311.2375,184.07332
Plasmenyl-PC(P-16:0/23:0),816.6840976,633.6180576,576.4389326,517.3654326,480.3449176,462.3343576,594.44939,411.38333,337.3471,184.07332
Plasmenyl-PC(P-16:0/24:0),830.6996976,647.6336576,590.4545326,531.3810326,480.3449176,462.3343576,608.46499,425.39893,351.3627,184.07332
Plasmenyl-PC(P-16:0/24:1),828.6840976,645.6180576,588.4389326,529.3654326,480.3449176,462.3343576,606.44939,423.38333,349.3471,184.07332
Plasmenyl-PC(P-16:0/25:0),844.7153976,661.6493576,604.4702326,545.3967326,480.3449176,462.3343576,622.48069,439.41463,365.3784,184.07332
Plasmenyl-PC(P-16:0/26:0),858.7309976,675.6649576,618.4858326,559.4123326,480.3449176,462.3343576,636.49629,453.43023,379.394,184.07332
Plasmenyl-PC(P-16:0/8:0),606.4492976,423.3832576,366.2041326,307.1306326,480.3449176,462.3343576,384.21459,201.14853,127.1123,184.07332
Plasmenyl-PC(P-16:1/10:0),632.4649976,449.3989576,394.2354326,335.1619326,478.3293176,460.3187576,412.24589,229.17983,155.1436,184.07332
Plasmenyl-PC(P-16:1/12:0),660.4962976,477.4302576,422.2667326,363.1932326,478.3293176,460.3187576,440.27719,257.21113,183.1749,184.07332
Plasmenyl-PC(P-16:1/13:0),674.5119976,491.4459576,436.2824326,377.2089326,478.3293176,460.3187576,454.29289,271.22683,197.1906,184.07332
Plasmenyl-PC(P-16:1/14:0),688.5275976,505.4615576,450.2980326,391.2245326,478.3293176,460.3187576,468.30849,285.24243,211.2062,184.07332
Plasmenyl-PC(P-16:1/14:1),686.5119976,503.4459576,448.2824326,389.2089326,478.3293176,460.3187576,466.29289,283.22683,209.1906,184.07332
Plasmenyl-PC(P-16:1/15:0),702.5432976,519.4772576,464.3137326,405.2402326,478.3293176,460.3187576,482.32419,299.25813,225.2219,184.07332
Plasmenyl-PC(P-16:1/15:1),700.5275976,517.4615576,462.2980326,403.2245326,478.3293176,460.3187576,480.30849,297.24243,223.2062,184.07332
Plasmenyl-PC(P-16:1/16:0),716.5588976,533.4928576,478.3293326,419.2558326,478.3293176,460.3187576,496.33979,313.27373,239.2375,184.07332
Plasmenyl-PC(P-16:1/16:1),714.5432976,531.4772576,476.3137326,417.2402326,478.3293176,460.3187576,494.32419,311.25813,237.2219,184.07332
Plasmenyl-PC(P-16:1/17:0),730.5745976,547.5085576,492.3450326,433.2715326,478.3293176,460.3187576,510.35549,327.28943,253.2532,184.07332
Plasmenyl-PC(P-16:1/17:1),728.5588976,545.4928576,490.3293326,431.2558326,478.3293176,460.3187576,508.33979,325.27373,251.2375,184.07332
Plasmenyl-PC(P-16:1/17:2),726.5432976,543.4772576,488.3137326,429.2402326,478.3293176,460.3187576,506.32419,323.25813,249.2219,184.07332
Plasmenyl-PC(P-16:1/18:0),744.5901976,561.5241576,506.3606326,447.2871326,478.3293176,460.3187576,524.37109,341.30503,267.2688,184.07332
Plasmenyl-PC(P-16:1/18:1),742.5745976,559.5085576,504.3450326,445.2715326,478.3293176,460.3187576,522.35549,339.28943,265.2532,184.07332
Plasmenyl-PC(P-16:1/18:2),740.5588976,557.4928576,502.3293326,443.2558326,478.3293176,460.3187576,520.33979,337.27373,263.2375,184.07332
Plasmenyl-PC(P-16:1/18:3),738.5432976,555.4772576,500.3137326,441.2402326,478.3293176,460.3187576,518.32419,335.25813,261.2219,184.07332
Plasmenyl-PC(P-16:1/18:4),736.5275976,553.4615576,498.2980326,439.2245326,478.3293176,460.3187576,516.30849,333.24243,259.2062,184.07332
Plasmenyl-PC(P-16:1/19:0),758.6058976,575.5398576,520.3763326,461.3028326,478.3293176,460.3187576,538.38679,355.32073,281.2845,184.07332
Plasmenyl-PC(P-16:1/20:0),772.6214976,589.5554576,534.3919326,475.3184326,478.3293176,460.3187576,552.40239,369.33633,295.3001,184.07332
Plasmenyl-PC(P-16:1/20:1),770.6058976,587.5398576,532.3763326,473.3028326,478.3293176,460.3187576,550.38679,367.32073,293.2845,184.07332
Plasmenyl-PC(P-16:1/20:2),768.5901976,585.5241576,530.3606326,471.2871326,478.3293176,460.3187576,548.37109,365.30503,291.2688,184.07332
Plasmenyl-PC(P-16:1/20:3),766.5745976,583.5085576,528.3450326,469.2715326,478.3293176,460.3187576,546.35549,363.28943,289.2532,184.07332
Plasmenyl-PC(P-16:1/20:4),764.5588976,581.4928576,526.3293326,467.2558326,478.3293176,460.3187576,544.33979,361.27373,287.2375,184.07332
Plasmenyl-PC(P-16:1/20:5),762.5432976,579.4772576,524.3137326,465.2402326,478.3293176,460.3187576,542.32419,359.25813,285.2219,184.07332
Plasmenyl-PC(P-16:1/21:0),786.6371976,603.5711576,548.4076326,489.3341326,478.3293176,460.3187576,566.41809,383.35203,309.3158,184.07332
Plasmenyl-PC(P-16:1/22:0),800.6527976,617.5867576,562.4232326,503.3497326,478.3293176,460.3187576,580.43369,397.36763,323.3314,184.07332
Plasmenyl-PC(P-16:1/22:1),798.6371976,615.5711576,560.4076326,501.3341326,478.3293176,460.3187576,578.41809,395.35203,321.3158,184.07332
Plasmenyl-PC(P-16:1/22:2),796.6214976,613.5554576,558.3919326,499.3184326,478.3293176,460.3187576,576.40239,393.33633,319.3001,184.07332
Plasmenyl-PC(P-16:1/22:3),794.6058976,611.5398576,556.3763326,497.3028326,478.3293176,460.3187576,574.38679,391.32073,317.2845,184.07332
Plasmenyl-PC(P-16:1/22:4),792.5901976,609.5241576,554.3606326,495.2871326,478.3293176,460.3187576,572.37109,389.30503,315.2688,184.07332
Plasmenyl-PC(P-16:1/22:5),790.5745976,607.5085576,552.3450326,493.2715326,478.3293176,460.3187576,570.35549,387.28943,313.2532,184.07332
Plasmenyl-PC(P-16:1/22:6),788.5588976,605.4928576,550.3293326,491.2558326,478.3293176,460.3187576,568.33979,385.27373,311.2375,184.07332
Plasmenyl-PC(P-16:1/23:0),814.6684976,631.6024576,576.4389326,517.3654326,478.3293176,460.3187576,594.44939,411.38333,337.3471,184.07332
Plasmenyl-PC(P-16:1/24:0),828.6840976,645.6180576,590.4545326,531.3810326,478.3293176,460.3187576,608.46499,425.39893,351.3627,184.07332
Plasmenyl-PC(P-16:1/24:1),826.6684976,643.6024576,588.4389326,529.3654326,478.3293176,460.3187576,606.44939,423.38333,349.3471,184.07332
Plasmenyl-PC(P-16:1/25:0),842.6997976,659.6337576,604.4702326,545.3967326,478.3293176,460.3187576,622.48069,439.41463,365.3784,184.07332
Plasmenyl-PC(P-16:1/26:0),856.7153976,673.6493576,618.4858326,559.4123326,478.3293176,460.3187576,636.49629,453.43023,379.394,184.07332
Plasmenyl-PC(P-16:1/8:0),604.4336976,421.3676576,366.2041326,307.1306326,478.3293176,460.3187576,384.21459,201.14853,127.1123,184.07332
Plasmenyl-PC(P-18:0/10:0),662.5118976,479.4458576,394.2354326,335.1619326,508.3762176,490.3656576,412.24589,229.17983,155.1436,184.07332
Plasmenyl-PC(P-18:0/12:0),690.5431976,507.4771576,422.2667326,363.1932326,508.3762176,490.3656576,440.27719,257.21113,183.1749,184.07332
Plasmenyl-PC(P-18:0/13:0),704.5588976,521.4928576,436.2824326,377.2089326,508.3762176,490.3656576,454.29289,271.22683,197.1906,184.07332
Plasmenyl-PC(P-18:0/14:0),718.5744976,535.5084576,450.2980326,391.2245326,508.3762176,490.3656576,468.30849,285.24243,211.2062,184.07332
Plasmenyl-PC(P-18:0/14:1),716.5588976,533.4928576,448.2824326,389.2089326,508.3762176,490.3656576,466.29289,283.22683,209.1906,184.07332
Plasmenyl-PC(P-18:0/15:0),732.5901976,549.5241576,464.3137326,405.2402326,508.3762176,490.3656576,482.32419,299.25813,225.2219,184.07332
Plasmenyl-PC(P-18:0/15:1),730.5744976,547.5084576,462.2980326,403.2245326,508.3762176,490.3656576,480.30849,297.24243,223.2062,184.07332
Plasmenyl-PC(P-18:0/16:0),746.6057976,563.5397576,478.3293326,419.2558326,508.3762176,490.3656576,496.33979,313.27373,239.2375,184.07332
Plasmenyl-PC(P-18:0/16:1),744.5901976,561.5241576,476.3137326,417.2402326,508.3762176,490.3656576,494.32419,311.25813,237.2219,184.07332
Plasmenyl-PC(P-18:0/17:0),760.6214976,577.5554576,492.3450326,433.2715326,508.3762176,490.3656576,510.35549,327.28943,253.2532,184.07332
Plasmenyl-PC(P-18:0/17:1),758.6057976,575.5397576,490.3293326,431.2558326,508.3762176,490.3656576,508.33979,325.27373,251.2375,184.07332
Plasmenyl-PC(P-18:0/17:2),756.5901976,573.5241576,488.3137326,429.2402326,508.3762176,490.3656576,506.32419,323.25813,249.2219,184.07332
Plasmenyl-PC(P-18:0/18:0),774.6370976,591.5710576,506.3606326,447.2871326,508.3762176,490.3656576,524.37109,341.30503,267.2688,184.07332
Plasmenyl-PC(P-18:0/18:1),772.6214976,589.5554576,504.3450326,445.2715326,508.3762176,490.3656576,522.35549,339.28943,265.2532,184.07332
Plasmenyl-PC(P-18:0/18:2),770.6057976,587.5397576,502.3293326,443.2558326,508.3762176,490.3656576,520.33979,337.27373,263.2375,184.07332
Plasmenyl-PC(P-18:0/18:3),768.5901976,585.5241576,500.3137326,441.2402326,508.3762176,490.3656576,518.32419,335.25813,261.2219,184.07332
Plasmenyl-PC(P-18:0/18:4),766.5744976,583.5084576,498.2980326,439.2245326,508.3762176,490.3656576,516.30849,333.24243,259.2062,184.07332
Plasmenyl-PC(P-18:0/19:0),788.6527976,605.5867576,520.3763326,461.3028326,508.3762176,490.3656576,538.38679,355.32073,281.2845,184.07332
Plasmenyl-PC(P-18:0/20:0),802.6683976,619.6023576,534.3919326,475.3184326,508.3762176,490.3656576,552.40239,369.33633,295.3001,184.07332
Plasmenyl-PC(P-18:0/20:1),800.6527976,617.5867576,532.3763326,473.3028326,508.3762176,490.3656576,550.38679,367.32073,293.2845,184.07332
Plasmenyl-PC(P-18:0/20:2),798.6370976,615.5710576,530.3606326,471.2871326,508.3762176,490.3656576,548.37109,365.30503,291.2688,184.07332
Plasmenyl-PC(P-18:0/20:3),796.6214976,613.5554576,528.3450326,469.2715326,508.3762176,490.3656576,546.35549,363.28943,289.2532,184.07332
Plasmenyl-PC(P-18:0/20:4),794.6057976,611.5397576,526.3293326,467.2558326,508.3762176,490.3656576,544.33979,361.27373,287.2375,184.07332
Plasmenyl-PC(P-18:0/20:5),792.5901976,609.5241576,524.3137326,465.2402326,508.3762176,490.3656576,542.32419,359.25813,285.2219,184.07332
Plasmenyl-PC(P-18:0/21:0),816.6840976,633.6180576,548.4076326,489.3341326,508.3762176,490.3656576,566.41809,383.35203,309.3158,184.07332
Plasmenyl-PC(P-18:0/22:0),830.6996976,647.6336576,562.4232326,503.3497326,508.3762176,490.3656576,580.43369,397.36763,323.3314,184.07332
Plasmenyl-PC(P-18:0/22:1),828.6840976,645.6180576,560.4076326,501.3341326,508.3762176,490.3656576,578.41809,395.35203,321.3158,184.07332
Plasmenyl-PC(P-18:0/22:2),826.6683976,643.6023576,558.3919326,499.3184326,508.3762176,490.3656576,576.40239,393.33633,319.3001,184.07332
Plasmenyl-PC(P-18:0/22:3),824.6527976,641.5867576,556.3763326,497.3028326,508.3762176,490.3656576,574.38679,391.32073,317.2845,184.07332
Plasmenyl-PC(P-18:0/22:4),822.6370976,639.5710576,554.3606326,495.2871326,508.3762176,490.3656576,572.37109,389.30503,315.2688,184.07332
Plasmenyl-PC(P-18:0/22:5),820.6214976,637.5554576,552.3450326,493.2715326,508.3762176,490.3656576,570.35549,387.28943,313.2532,184.07332
Plasmenyl-PC(P-18:0/22:6),818.6057976,635.5397576,550.3293326,491.2558326,508.3762176,490.3656576,568.33979,385.27373,311.2375,184.07332
Plasmenyl-PC(P-18:0/23:0),844.7153976,661.6493576,576.4389326,517.3654326,508.3762176,490.3656576,594.44939,411.38333,337.3471,184.07332
Plasmenyl-PC(P-18:0/24:0),858.7309976,675.6649576,590.4545326,531.3810326,508.3762176,490.3656576,608.46499,425.39893,351.3627,184.07332
Plasmenyl-PC(P-18:0/24:1),856.7153976,673.6493576,588.4389326,529.3654326,508.3762176,490.3656576,606.44939,423.38333,349.3471,184.07332
Plasmenyl-PC(P-18:0/25:0),872.7466976,689.6806576,604.4702326,545.3967326,508.3762176,490.3656576,622.48069,439.41463,365.3784,184.07332
Plasmenyl-PC(P-18:0/26:0),886.7622976,703.6962576,618.4858326,559.4123326,508.3762176,490.3656576,636.49629,453.43023,379.394,184.07332
Plasmenyl-PC(P-18:0/8:0),634.4805976,451.4145576,366.2041326,307.1306326,508.3762176,490.3656576,384.21459,201.14853,127.1123,184.07332
Plasmenyl-PC(P-18:1/10:0),660.4962976,477.4302576,394.2354326,335.1619326,506.3606176,488.3500576,412.24589,229.17983,155.1436,184.07332
Plasmenyl-PC(P-18:1/12:0),688.5275976,505.4615576,422.2667326,363.1932326,506.3606176,488.3500576,440.27719,257.21113,183.1749,184.07332
Plasmenyl-PC(P-18:1/13:0),702.5432976,519.4772576,436.2824326,377.2089326,506.3606176,488.3500576,454.29289,271.22683,197.1906,184.07332
Plasmenyl-PC(P-18:1/14:0),716.5588976,533.4928576,450.2980326,391.2245326,506.3606176,488.3500576,468.30849,285.24243,211.2062,184.07332
Plasmenyl-PC(P-18:1/14:1),714.5432976,531.4772576,448.2824326,389.2089326,506.3606176,488.3500576,466.29289,283.22683,209.1906,184.07332
Plasmenyl-PC(P-18:1/15:0),730.5745976,547.5085576,464.3137326,405.2402326,506.3606176,488.3500576,482.32419,299.25813,225.2219,184.07332
Plasmenyl-PC(P-18:1/15:1),728.5588976,545.4928576,462.2980326,403.2245326,506.3606176,488.3500576,480.30849,297.24243,223.2062,184.07332
Plasmenyl-PC(P-18:1/16:0),744.5901976,561.5241576,478.3293326,419.2558326,506.3606176,488.3500576,496.33979,313.27373,239.2375,184.07332
Plasmenyl-PC(P-18:1/16:1),742.5745976,559.5085576,476.3137326,417.2402326,506.3606176,488.3500576,494.32419,311.25813,237.2219,184.07332
Plasmenyl-PC(P-18:1/17:0),758.6058976,575.5398576,492.3450326,433.2715326,506.3606176,488.3500576,510.35549,327.28943,253.2532,184.07332
Plasmenyl-PC(P-18:1/17:1),756.5901976,573.5241576,490.3293326,431.2558326,506.3606176,488.3500576,508.33979,325.27373,251.2375,184.07332
Plasmenyl-PC(P-18:1/17:2),754.5745976,571.5085576,488.3137326,429.2402326,506.3606176,488.3500576,506.32419,323.25813,249.2219,184.07332
Plasmenyl-PC(P-18:1/18:0),772.6214976,589.5554576,506.3606326,447.2871326,506.3606176,488.3500576,524.37109,341.30503,267.2688,184.07332
Plasmenyl-PC(P-18:1/18:1),770.6058976,587.5398576,504.3450326,445.2715326,506.3606176,488.3500576,522.35549,339.28943,265.2532,184.07332
Plasmenyl-PC(P-18:1/18:2),768.5901976,585.5241576,502.3293326,443.2558326,506.3606176,488.3500576,520.33979,337.27373,263.2375,184.07332
Plasmenyl-PC(P-18:1/18:3),766.5745976,583.5085576,500.3137326,441.2402326,506.3606176,488.3500576,518.32419,335.25813,261.2219,184.07332
Plasmenyl-PC(P-18:1/18:4),764.5588976,581.4928576,498.2980326,439.2245326,506.3606176,488.3500576,516.30849,333.24243,259.2062,184.07332
Plasmenyl-PC(P-18:1/19:0),786.6371976,603.5711576,520.3763326,461.3028326,506.3606176,488.3500576,538.38679,355.32073,281.2845,184.07332
Plasmenyl-PC(P-18:1/20:0),800.6527976,617.5867576,534.3919326,475.3184326,506.3606176,488.3500576,552.40239,369.33633,295.3001,184.07332
Plasmenyl-PC(P-18:1/20:1),798.6371976,615.5711576,532.3763326,473.3028326,506.3606176,488.3500576,550.38679,367.32073,293.2845,184.07332
Plasmenyl-PC(P-18:1/20:2),796.6214976,613.5554576,530.3606326,471.2871326,506.3606176,488.3500576,548.37109,365.30503,291.2688,184.07332
Plasmenyl-PC(P-18:1/20:3),794.6058976,611.5398576,528.3450326,469.2715326,506.3606176,488.3500576,546.35549,363.28943,289.2532,184.07332
Plasmenyl-PC(P-18:1/20:4),792.5901976,609.5241576,526.3293326,467.2558326,506.3606176,488.3500576,544.33979,361.27373,287.2375,184.07332
Plasmenyl-PC(P-18:1/20:5),790.5745976,607.5085576,524.3137326,465.2402326,506.3606176,488.3500576,542.32419,359.25813,285.2219,184.07332
Plasmenyl-PC(P-18:1/21:0),814.6684976,631.6024576,548.4076326,489.3341326,506.3606176,488.3500576,566.41809,383.35203,309.3158,184.07332
Plasmenyl-PC(P-18:1/22:0),828.6840976,645.6180576,562.4232326,503.3497326,506.3606176,488.3500576,580.43369,397.36763,323.3314,184.07332
Plasmenyl-PC(P-18:1/22:1),826.6684976,643.6024576,560.4076326,501.3341326,506.3606176,488.3500576,578.41809,395.35203,321.3158,184.07332
Plasmenyl-PC(P-18:1/22:2),824.6527976,641.5867576,558.3919326,499.3184326,506.3606176,488.3500576,576.40239,393.33633,319.3001,184.07332
Plasmenyl-PC(P-18:1/22:3),822.6371976,639.5711576,556.3763326,497.3028326,506.3606176,488.3500576,574.38679,391.32073,317.2845,184.07332
Plasmenyl-PC(P-18:1/22:4),820.6214976,637.5554576,554.3606326,495.2871326,506.3606176,488.3500576,572.37109,389.30503,315.2688,184.07332
Plasmenyl-PC(P-18:1/22:5),818.6058976,635.5398576,552.3450326,493.2715326,506.3606176,488.3500576,570.35549,387.28943,313.2532,184.07332
Plasmenyl-PC(P-18:1/22:6),816.5901976,633.5241576,550.3293326,491.2558326,506.3606176,488.3500576,568.33979,385.27373,311.2375,184.07332
Plasmenyl-PC(P-18:1/23:0),842.6997976,659.6337576,576.4389326,517.3654326,506.3606176,488.3500576,594.44939,411.38333,337.3471,184.07332
Plasmenyl-PC(P-18:1/24:0),856.7153976,673.6493576,590.4545326,531.3810326,506.3606176,488.3500576,608.46499,425.39893,351.3627,184.07332
Plasmenyl-PC(P-18:1/24:1),854.6997976,671.6337576,588.4389326,529.3654326,506.3606176,488.3500576,606.44939,423.38333,349.3471,184.07332
Plasmenyl-PC(P-18:1/25:0),870.7310976,687.6650576,604.4702326,545.3967326,506.3606176,488.3500576,622.48069,439.41463,365.3784,184.07332
Plasmenyl-PC(P-18:1/26:0),884.7466976,701.6806576,618.4858326,559.4123326,506.3606176,488.3500576,636.49629,453.43023,379.394,184.07332
Plasmenyl-PC(P-18:1/8:0),632.4649976,449.3989576,366.2041326,307.1306326,506.3606176,488.3500576,384.21459,201.14853,127.1123,184.07332
Plasmenyl-PC(P-20:0/10:0),690.5431976,507.4771576,394.2354326,335.1619326,536.4075176,518.3969576,412.24589,229.17983,155.1436,184.07332
Plasmenyl-PC(P-20:0/12:0),718.5744976,535.5084576,422.2667326,363.1932326,536.4075176,518.3969576,440.27719,257.21113,183.1749,184.07332
Plasmenyl-PC(P-20:0/13:0),732.5901976,549.5241576,436.2824326,377.2089326,536.4075176,518.3969576,454.29289,271.22683,197.1906,184.07332
Plasmenyl-PC(P-20:0/14:0),746.6057976,563.5397576,450.2980326,391.2245326,536.4075176,518.3969576,468.30849,285.24243,211.2062,184.07332
Plasmenyl-PC(P-20:0/14:1),744.5901976,561.5241576,448.2824326,389.2089326,536.4075176,518.3969576,466.29289,283.22683,209.1906,184.07332
Plasmenyl-PC(P-20:0/15:0),760.6214976,577.5554576,464.3137326,405.2402326,536.4075176,518.3969576,482.32419,299.25813,225.2219,184.07332
Plasmenyl-PC(P-20:0/15:1),758.6057976,575.5397576,462.2980326,403.2245326,536.4075176,518.3969576,480.30849,297.24243,223.2062,184.07332
Plasmenyl-PC(P-20:0/16:0),774.6370976,591.5710576,478.3293326,419.2558326,536.4075176,518.3969576,496.33979,313.27373,239.2375,184.07332
Plasmenyl-PC(P-20:0/16:1),772.6214976,589.5554576,476.3137326,417.2402326,536.4075176,518.3969576,494.32419,311.25813,237.2219,184.07332
Plasmenyl-PC(P-20:0/17:0),788.6527976,605.5867576,492.3450326,433.2715326,536.4075176,518.3969576,510.35549,327.28943,253.2532,184.07332
Plasmenyl-PC(P-20:0/17:1),786.6370976,603.5710576,490.3293326,431.2558326,536.4075176,518.3969576,508.33979,325.27373,251.2375,184.07332
Plasmenyl-PC(P-20:0/17:2),784.6214976,601.5554576,488.3137326,429.2402326,536.4075176,518.3969576,506.32419,323.25813,249.2219,184.07332
Plasmenyl-PC(P-20:0/18:0),802.6683976,619.6023576,506.3606326,447.2871326,536.4075176,518.3969576,524.37109,341.30503,267.2688,184.07332
Plasmenyl-PC(P-20:0/18:1),800.6527976,617.5867576,504.3450326,445.2715326,536.4075176,518.3969576,522.35549,339.28943,265.2532,184.07332
Plasmenyl-PC(P-20:0/18:2),798.6370976,615.5710576,502.3293326,443.2558326,536.4075176,518.3969576,520.33979,337.27373,263.2375,184.07332
Plasmenyl-PC(P-20:0/18:3),796.6214976,613.5554576,500.3137326,441.2402326,536.4075176,518.3969576,518.32419,335.25813,261.2219,184.07332
Plasmenyl-PC(P-20:0/18:4),794.6057976,611.5397576,498.2980326,439.2245326,536.4075176,518.3969576,516.30849,333.24243,259.2062,184.07332
Plasmenyl-PC(P-20:0/19:0),816.6840976,633.6180576,520.3763326,461.3028326,536.4075176,518.3969576,538.38679,355.32073,281.2845,184.07332
Plasmenyl-PC(P-20:0/20:0),830.6996976,647.6336576,534.3919326,475.3184326,536.4075176,518.3969576,552.40239,369.33633,295.3001,184.07332
Plasmenyl-PC(P-20:0/20:1),828.6840976,645.6180576,532.3763326,473.3028326,536.4075176,518.3969576,550.38679,367.32073,293.2845,184.07332
Plasmenyl-PC(P-20:0/20:2),826.6683976,643.6023576,530.3606326,471.2871326,536.4075176,518.3969576,548.37109,365.30503,291.2688,184.07332
Plasmenyl-PC(P-20:0/20:3),824.6527976,641.5867576,528.3450326,469.2715326,536.4075176,518.3969576,546.35549,363.28943,289.2532,184.07332
Plasmenyl-PC(P-20:0/20:4),822.6370976,639.5710576,526.3293326,467.2558326,536.4075176,518.3969576,544.33979,361.27373,287.2375,184.07332
Plasmenyl-PC(P-20:0/20:5),820.6214976,637.5554576,524.3137326,465.2402326,536.4075176,518.3969576,542.32419,359.25813,285.2219,184.07332
Plasmenyl-PC(P-20:0/21:0),844.7153976,661.6493576,548.4076326,489.3341326,536.4075176,518.3969576,566.41809,383.35203,309.3158,184.07332
