HexCer,[M+Na]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d14:3/34:0),914.74254,874.75004,712.6971,694.6866,222.1853,204.1747
HexCer(d14:3/34:1),912.72684,872.73434,710.6815,692.6709,222.1853,204.1747
HexCer(d14:3/34:2),910.71114,870.71864,708.6658,690.6553,222.1853,204.1747
HexCer(d14:3/35:0),928.75814,888.76564,726.7128,708.7022,222.1853,204.1747
HexCer(d14:3/35:1),926.74254,886.75004,724.6971,706.6866,222.1853,204.1747
HexCer(d14:3/36:0),942.77384,902.78134,740.7285,722.7179,222.1853,204.1747
HexCer(d14:3/36:1),940.75814,900.76564,738.7128,720.7022,222.1853,204.1747
HexCer(d14:3/36:2),938.74254,898.75004,736.6971,718.6866,222.1853,204.1747
HexCer(d14:3/38:0),970.80504,930.81254,768.7598,750.7491,222.1853,204.1747
HexCer(d14:3/38:1),968.78944,928.79694,766.7441,748.7335,222.1853,204.1747
HexCer(d14:3/38:2),966.77384,926.78134,764.7285,746.7179,222.1853,204.1747
HexCer(d14:3/40:0),998.83634,958.84384,796.791,778.7805,222.1853,204.1747
HexCer(d14:3/40:1),996.82074,956.82824,794.7754,776.7648,222.1853,204.1747
HexCer(d14:3/40:2),994.80504,954.81254,792.7598,774.7491,222.1853,204.1747
HexCer(d14:3/42:0),1026.86794,986.87544,824.8223,806.8118,222.1853,204.1747
HexCer(d14:3/42:1),1024.85194,984.85944,822.8067,804.7961,222.1853,204.1747
HexCer(d14:3/42:2),1022.83594,982.84344,820.791,802.7805,222.1853,204.1747
HexCer(d15:1/12:0),624.44514,584.45264,422.3998,404.3892,240.2322,222.2216
HexCer(d15:1/12:1),622.42944,582.43694,420.3841,402.3736,240.2322,222.2216
HexCer(d15:1/13:0),638.46074,598.46824,436.4154,418.4049,240.2322,222.2216
HexCer(d15:1/13:1),636.44514,596.45264,434.3998,416.3892,240.2322,222.2216
HexCer(d15:1/14:0),652.47644,612.48394,450.4311,432.4205,240.2322,222.2216
HexCer(d15:1/14:1),650.46074,610.46824,448.4154,430.4049,240.2322,222.2216
HexCer(d15:1/15:0),666.49204,626.49954,464.4467,446.4362,240.2322,222.2216
HexCer(d15:1/15:1),664.47644,624.48394,462.4311,444.4205,240.2322,222.2216
HexCer(d15:1/16:0),680.50774,640.51524,478.4624,460.4518,240.2322,222.2216
HexCer(d15:1/16:1),678.49204,638.49954,476.4467,458.4362,240.2322,222.2216
HexCer(d15:1/16:2),676.47644,636.48394,474.4311,456.4205,240.2322,222.2216
HexCer(d15:1/17:0),694.52334,654.53084,492.478,474.4675,240.2322,222.2216
HexCer(d15:1/18:0),708.53904,668.54654,506.4937,488.4831,240.2322,222.2216
HexCer(d15:1/18:1),706.52334,666.53084,504.478,486.4675,240.2322,222.2216
HexCer(d15:1/18:2),704.50774,664.51524,502.4624,484.4518,240.2322,222.2216
HexCer(d15:1/19:0),722.55474,682.56224,520.5093,502.4988,240.2322,222.2216
HexCer(d15:1/19:1),720.53904,680.54654,518.4937,500.4831,240.2322,222.2216
HexCer(d15:1/20:0),736.57034,696.57784,534.525,516.5144,240.2322,222.2216
HexCer(d15:1/20:1),734.55474,694.56224,532.5093,514.4988,240.2322,222.2216
HexCer(d15:1/20:2),732.53904,692.54654,530.4937,512.4831,240.2322,222.2216
HexCer(d15:1/21:0),750.58604,710.59354,548.5406,530.5301,240.2322,222.2216
HexCer(d15:1/21:1),748.57034,708.57784,546.525,528.5144,240.2322,222.2216
