"PA","[M+H]+","[M+H-96]+","[M+H-96-acyl-sn1]+","[M+H-96-acyl-sn2]+","[acyl-sn1-RCO]+","[acyl-sn2-RCO]+"
"PA(34:1) PA(15:1_19:0)",675.496,577.51909,355.32074,297.24244,223.20565,281.28395
"PA(35:1) PA(15:1_20:0)",689.5116,591.53469,369.33634,297.24244,223.20565,295.29955
"PA(35:2) PA(15:1_20:1)",687.496,589.51909,367.32074,297.24244,223.20565,293.28395
"PA(35:3) PA(15:1_20:2)",685.4803,587.50339,365.30504,297.24244,223.20565,291.26825
"PA(35:4) PA(15:1_20:3)",683.4647,585.48779,363.28944,297.24244,223.20565,289.25265
"PA(35:5) PA(15:1_20:4)",681.449,583.47209,361.27374,297.24244,223.20565,287.23695
"PA(35:6) PA(15:1_20:5)",679.4334,581.45649,359.25814,297.24244,223.20565,285.22135
"PA(36:1) PA(15:1_21:0)",703.5273,605.55039,383.35204,297.24244,223.20565,309.31525
"PA(37:1) PA(15:1_22:0)",717.5429,619.56599,397.36764,297.24244,223.20565,323.33085
"PA(37:2) PA(15:1_22:1)",715.5273,617.55039,395.35204,297.24244,223.20565,321.31525
"PA(37:3) PA(15:1_22:2)",713.5116,615.53469,393.33634,297.24244,223.20565,319.29955
"PA(37:4) PA(15:1_22:3)",711.496,613.51909,391.32074,297.24244,223.20565,317.28395
"PA(37:5) PA(15:1_22:4)",709.4803,611.50339,389.30504,297.24244,223.20565,315.26825
"PA(37:6) PA(15:1_22:5)",707.4647,609.48779,387.28944,297.24244,223.20565,313.25265
"PA(37:7) PA(15:1_22:6)",705.449,607.47209,385.27374,297.24244,223.20565,311.23695
"PA(38:1) PA(15:1_23:0)",731.5586,633.58169,411.38334,297.24244,223.20565,337.34655
"PA(39:1) PA(15:1_24:0)",745.5742,647.59729,425.39894,297.24244,223.20565,351.36215
"PA(39:2) PA(15:1_24:1)",743.5586,645.58169,423.38334,297.24244,223.20565,349.34655
"PA(40:1) PA(15:1_25:0)",759.5899,661.61299,439.41464,297.24244,223.20565,365.37785
