"PS","[M+H]+","[M+H-PS head]+","[acyl-sn1-RCOO+58]+","[acyl-sn2-RCOO+58]+","[acyl-sn1-RCO]+","[acyl-sn2-RCO]+"
"PS(34:1) PS(12:0_22:1)",762.52806,577.51911,395.35206,257.21116,183.17435,321.31525
"PS(34:2) PS(12:0_22:2)",760.51236,575.50341,393.33636,257.21116,183.17435,319.29955
"PS(34:3) PS(12:0_22:3)",758.49676,573.48781,391.32076,257.21116,183.17435,317.28395
"PS(34:4) PS(12:0_22:4)",756.48106,571.47211,389.30506,257.21116,183.17435,315.26825
"PS(34:5) PS(12:0_22:5)",754.46546,569.45651,387.28946,257.21116,183.17435,313.25265
"PS(34:6) PS(12:0_22:6)",752.44976,567.44081,385.27376,257.21116,183.17435,311.23695
"PS(35:0) PS(12:0_23:0)",778.55936,593.55041,411.38336,257.21116,183.17435,337.34655
"PS(36:0) PS(12:0_24:0)",792.57496,607.56601,425.39896,257.21116,183.17435,351.36215
"PS(36:1) PS(12:0_24:1)",790.55936,605.55041,423.38336,257.21116,183.17435,349.34655
"PS(37:0) PS(12:0_25:0)",806.59066,621.58171,439.41466,257.21116,183.17435,365.37785
"PS(38:0) PS(12:0_26:0)",820.60626,635.59731,453.43026,257.21116,183.17435,379.39345
"PS(26:0) PS(13:0_13:0)",652.41856,467.40961,271.22686,271.22686,197.19005,197.19005
"PS(27:0) PS(13:0_14:0)",666.43416,481.42521,285.24246,271.22686,197.19005,211.20565
"PS(27:1) PS(13:0_14:1)",664.41856,479.40961,283.22686,271.22686,197.19005,209.19005
"PS(28:0) PS(13:0_15:0)",680.44986,495.44091,299.25816,271.22686,197.19005,225.22135
"PS(28:1) PS(13:0_15:1)",678.43416,493.42521,297.24246,271.22686,197.19005,223.20565
"PS(29:0) PS(13:0_16:0)",694.46546,509.45651,313.27376,271.22686,197.19005,239.23695
"PS(29:1) PS(13:0_16:1)",692.44986,507.44091,311.25816,271.22686,197.19005,237.22135
"PS(30:0) PS(13:0_17:0)",708.48116,523.47221,327.28946,271.22686,197.19005,253.25265
"PS(30:1) PS(13:0_17:1)",706.46546,521.45651,325.27376,271.22686,197.19005,251.23695
"PS(30:2) PS(13:0_17:2)",704.44986,519.44091,323.25816,271.22686,197.19005,249.22135
"PS(31:0) PS(13:0_18:0)",722.49676,537.48781,341.30506,271.22686,197.19005,267.26825
"PS(31:1) PS(13:0_18:1)",720.48116,535.47221,339.28946,271.22686,197.19005,265.25265
"PS(31:2) PS(13:0_18:2)",718.46546,533.45651,337.27376,271.22686,197.19005,263.23695
"PS(31:3) PS(13:0_18:3)",716.44986,531.44091,335.25816,271.22686,197.19005,261.22135
"PS(31:4) PS(13:0_18:4)",714.43416,529.42521,333.24246,271.22686,197.19005,259.20565
"PS(32:0) PS(13:0_19:0)",736.51246,551.50351,355.32076,271.22686,197.19005,281.28395
"PS(33:0) PS(13:0_20:0)",750.52806,565.51911,369.33636,271.22686,197.19005,295.29955
"PS(33:1) PS(13:0_20:1)",748.51246,563.50351,367.32076,271.22686,197.19005,293.28395
"PS(33:2) PS(13:0_20:2)",746.49676,561.48781,365.30506,271.22686,197.19005,291.26825
"PS(33:3) PS(13:0_20:3)",744.48116,559.47221,363.28946,271.22686,197.19005,289.25265
"PS(33:4) PS(13:0_20:4)",742.46546,557.45651,361.27376,271.22686,197.19005,287.23695
"PS(33:5) PS(13:0_20:5)",740.44986,555.44091,359.25816,271.22686,197.19005,285.22135
"PS(34:0) PS(13:0_21:0)",764.54376,579.53481,383.35206,271.22686,197.19005,309.31525
"PS(35:0) PS(13:0_22:0)",778.55936,593.55041,397.36766,271.22686,197.19005,323.33085
"PS(35:1) PS(13:0_22:1)",776.54376,591.53481,395.35206,271.22686,197.19005,321.31525
"PS(35:2) PS(13:0_22:2)",774.52806,589.51911,393.33636,271.22686,197.19005,319.29955
"PS(35:3) PS(13:0_22:3)",772.51246,587.50351,391.32076,271.22686,197.19005,317.28395
"PS(35:4) PS(13:0_22:4)",770.49676,585.48781,389.30506,271.22686,197.19005,315.26825
"PS(35:5) PS(13:0_22:5)",768.48116,583.47221,387.28946,271.22686,197.19005,313.25265
"PS(35:6) PS(13:0_22:6)",766.46546,581.45651,385.27376,271.22686,197.19005,311.23695
"PS(36:0) PS(13:0_23:0)",792.57506,607.56611,411.38336,271.22686,197.19005,337.34655
"PS(37:0) PS(13:0_24:0)",806.59066,621.58171,425.39896,271.22686,197.19005,351.36215
"PS(37:1) PS(13:0_24:1)",804.57506,619.56611,423.38336,271.22686,197.19005,349.34655
"PS(38:0) PS(13:0_25:0)",820.60636,635.59741,439.41466,271.22686,197.19005,365.37785
"PS(39:0) PS(13:0_26:0)",834.62196,649.61301,453.43026,271.22686,197.19005,379.39345
"PS(28:0) PS(14:0_14:0)",680.44976,495.44081,285.24246,285.24246,211.20565,211.20565
"PS(28:1) PS(14:0_14:1)",678.43416,493.42521,283.22686,285.24246,211.20565,209.19005
"PS(29:0) PS(14:0_15:0)",694.46546,509.45651,299.25816,285.24246,211.20565,225.22135
"PS(29:1) PS(14:0_15:1)",692.44976,507.44081,297.24246,285.24246,211.20565,223.20565
"PS(30:0) PS(14:0_16:0)",708.48106,523.47211,313.27376,285.24246,211.20565,239.23695
"PS(30:1) PS(14:0_16:1)",706.46546,521.45651,311.25816,285.24246,211.20565,237.22135
"PS(31:0) PS(14:0_17:0)",722.49676,537.48781,327.28946,285.24246,211.20565,253.25265
"PS(31:1) PS(14:0_17:1)",720.48106,535.47211,325.27376,285.24246,211.20565,251.23695
"PS(31:2) PS(14:0_17:2)",718.46546,533.45651,323.25816,285.24246,211.20565,249.22135
"PS(32:0) PS(14:0_18:0)",736.51236,551.50341,341.30506,285.24246,211.20565,267.26825
"PS(32:1) PS(14:0_18:1)",734.49676,549.48781,339.28946,285.24246,211.20565,265.25265
"PS(32:2) PS(14:0_18:2)",732.48106,547.47211,337.27376,285.24246,211.20565,263.23695
"PS(32:3) PS(14:0_18:3)",730.46546,545.45651,335.25816,285.24246,211.20565,261.22135
"PS(32:4) PS(14:0_18:4)",728.44976,543.44081,333.24246,285.24246,211.20565,259.20565
"PS(33:0) PS(14:0_19:0)",750.52806,565.51911,355.32076,285.24246,211.20565,281.28395
"PS(34:0) PS(14:0_20:0)",764.54366,579.53471,369.33636,285.24246,211.20565,295.29955
"PS(34:1) PS(14:0_20:1)",762.52806,577.51911,367.32076,285.24246,211.20565,293.28395
"PS(34:2) PS(14:0_20:2)",760.51236,575.50341,365.30506,285.24246,211.20565,291.26825
"PS(34:3) PS(14:0_20:3)",758.49676,573.48781,363.28946,285.24246,211.20565,289.25265
"PS(34:4) PS(14:0_20:4)",756.48106,571.47211,361.27376,285.24246,211.20565,287.23695
"PS(34:5) PS(14:0_20:5)",754.46546,569.45651,359.25816,285.24246,211.20565,285.22135
"PS(35:0) PS(14:0_21:0)",778.55936,593.55041,383.35206,285.24246,211.20565,309.31525
"PS(36:0) PS(14:0_22:0)",792.57496,607.56601,397.36766,285.24246,211.20565,323.33085
"PS(36:1) PS(14:0_22:1)",790.55936,605.55041,395.35206,285.24246,211.20565,321.31525
"PS(36:2) PS(14:0_22:2)",788.54366,603.53471,393.33636,285.24246,211.20565,319.29955
"PS(36:3) PS(14:0_22:3)",786.52806,601.51911,391.32076,285.24246,211.20565,317.28395
"PS(36:4) PS(14:0_22:4)",784.51236,599.50341,389.30506,285.24246,211.20565,315.26825
"PS(36:5) PS(14:0_22:5)",782.49676,597.48781,387.28946,285.24246,211.20565,313.25265
"PS(36:6) PS(14:0_22:6)",780.48106,595.47211,385.27376,285.24246,211.20565,311.23695
"PS(37:0) PS(14:0_23:0)",806.59066,621.58171,411.38336,285.24246,211.20565,337.34655
"PS(38:0) PS(14:0_24:0)",820.60626,635.59731,425.39896,285.24246,211.20565,351.36215
"PS(38:1) PS(14:0_24:1)",818.59066,633.58171,423.38336,285.24246,211.20565,349.34655
"PS(39:0) PS(14:0_25:0)",834.62196,649.61301,439.41466,285.24246,211.20565,365.37785
"PS(40:0) PS(14:0_26:0)",848.63756,663.62861,453.43026,285.24246,211.20565,379.39345
"PS(28:2) PS(14:1_14:1)",676.41856,491.40961,283.22686,283.22686,209.19005,209.19005
"PS(29:1) PS(14:1_15:0)",692.44986,507.44091,299.25816,283.22686,209.19005,225.22135
"PS(29:2) PS(14:1_15:1)",690.43416,505.42521,297.24246,283.22686,209.19005,223.20565
"PS(30:1) PS(14:1_16:0)",706.46546,521.45651,313.27376,283.22686,209.19005,239.23695
"PS(30:2) PS(14:1_16:1)",704.44986,519.44091,311.25816,283.22686,209.19005,237.22135
"PS(31:1) PS(14:1_17:0)",720.48116,535.47221,327.28946,283.22686,209.19005,253.25265
"PS(31:2) PS(14:1_17:1)",718.46546,533.45651,325.27376,283.22686,209.19005,251.23695
"PS(31:3) PS(14:1_17:2)",716.44986,531.44091,323.25816,283.22686,209.19005,249.22135
"PS(32:1) PS(14:1_18:0)",734.49676,549.48781,341.30506,283.22686,209.19005,267.26825
"PS(32:2) PS(14:1_18:1)",732.48116,547.47221,339.28946,283.22686,209.19005,265.25265
"PS(32:3) PS(14:1_18:2)",730.46546,545.45651,337.27376,283.22686,209.19005,263.23695
"PS(32:4) PS(14:1_18:3)",728.44986,543.44091,335.25816,283.22686,209.19005,261.22135
"PS(32:5) PS(14:1_18:4)",726.43416,541.42521,333.24246,283.22686,209.19005,259.20565
"PS(33:1) PS(14:1_19:0)",748.51246,563.50351,355.32076,283.22686,209.19005,281.28395
"PS(34:1) PS(14:1_20:0)",762.52806,577.51911,369.33636,283.22686,209.19005,295.29955
"PS(34:2) PS(14:1_20:1)",760.51246,575.50351,367.32076,283.22686,209.19005,293.28395
"PS(34:3) PS(14:1_20:2)",758.49676,573.48781,365.30506,283.22686,209.19005,291.26825
"PS(34:4) PS(14:1_20:3)",756.48116,571.47221,363.28946,283.22686,209.19005,289.25265
"PS(34:5) PS(14:1_20:4)",754.46546,569.45651,361.27376,283.22686,209.19005,287.23695
"PS(34:6) PS(14:1_20:5)",752.44986,567.44091,359.25816,283.22686,209.19005,285.22135
"PS(35:1) PS(14:1_21:0)",776.54376,591.53481,383.35206,283.22686,209.19005,309.31525
"PS(36:1) PS(14:1_22:0)",790.55936,605.55041,397.36766,283.22686,209.19005,323.33085
"PS(36:2) PS(14:1_22:1)",788.54376,603.53481,395.35206,283.22686,209.19005,321.31525
"PS(36:3) PS(14:1_22:2)",786.52806,601.51911,393.33636,283.22686,209.19005,319.29955
"PS(36:4) PS(14:1_22:3)",784.51246,599.50351,391.32076,283.22686,209.19005,317.28395
"PS(36:5) PS(14:1_22:4)",782.49676,597.48781,389.30506,283.22686,209.19005,315.26825
"PS(36:6) PS(14:1_22:5)",780.48116,595.47221,387.28946,283.22686,209.19005,313.25265
"PS(36:7) PS(14:1_22:6)",778.46546,593.45651,385.27376,283.22686,209.19005,311.23695
"PS(37:1) PS(14:1_23:0)",804.57506,619.56611,411.38336,283.22686,209.19005,337.34655
"PS(38:1) PS(14:1_24:0)",818.59066,633.58171,425.39896,283.22686,209.19005,351.36215
"PS(38:2) PS(14:1_24:1)",816.57506,631.56611,423.38336,283.22686,209.19005,349.34655
"PS(39:1) PS(14:1_25:0)",832.60636,647.59741,439.41466,283.22686,209.19005,365.37785
"PS(40:1) PS(14:1_26:0)",846.62196,661.61301,453.43026,283.22686,209.19005,379.39345
"PS(30:0) PS(15:0_15:0)",708.48116,523.47221,299.25816,299.25816,225.22135,225.22135
"PS(30:1) PS(15:0_15:1)",706.46546,521.45651,297.24246,299.25816,225.22135,223.20565
"PS(31:0) PS(15:0_16:0)",722.49676,537.48781,313.27376,299.25816,225.22135,239.23695
"PS(31:1) PS(15:0_16:1)",720.48116,535.47221,311.25816,299.25816,225.22135,237.22135
"PS(32:0) PS(15:0_17:0)",736.51246,551.50351,327.28946,299.25816,225.22135,253.25265
"PS(32:1) PS(15:0_17:1)",734.49676,549.48781,325.27376,299.25816,225.22135,251.23695
"PS(32:2) PS(15:0_17:2)",732.48116,547.47221,323.25816,299.25816,225.22135,249.22135
"PS(33:0) PS(15:0_18:0)",750.52806,565.51911,341.30506,299.25816,225.22135,267.26825
"PS(33:1) PS(15:0_18:1)",748.51246,563.50351,339.28946,299.25816,225.22135,265.25265
"PS(33:2) PS(15:0_18:2)",746.49676,561.48781,337.27376,299.25816,225.22135,263.23695
"PS(33:3) PS(15:0_18:3)",744.48116,559.47221,335.25816,299.25816,225.22135,261.22135
"PS(33:4) PS(15:0_18:4)",742.46546,557.45651,333.24246,299.25816,225.22135,259.20565
"PS(34:0) PS(15:0_19:0)",764.54376,579.53481,355.32076,299.25816,225.22135,281.28395
"PS(35:0) PS(15:0_20:0)",778.55936,593.55041,369.33636,299.25816,225.22135,295.29955
"PS(35:1) PS(15:0_20:1)",776.54376,591.53481,367.32076,299.25816,225.22135,293.28395
"PS(35:2) PS(15:0_20:2)",774.52806,589.51911,365.30506,299.25816,225.22135,291.26825
"PS(35:3) PS(15:0_20:3)",772.51246,587.50351,363.28946,299.25816,225.22135,289.25265
"PS(35:4) PS(15:0_20:4)",770.49676,585.48781,361.27376,299.25816,225.22135,287.23695
"PS(35:5) PS(15:0_20:5)",768.48116,583.47221,359.25816,299.25816,225.22135,285.22135
"PS(36:0) PS(15:0_21:0)",792.57506,607.56611,383.35206,299.25816,225.22135,309.31525
"PS(37:0) PS(15:0_22:0)",806.59066,621.58171,397.36766,299.25816,225.22135,323.33085
"PS(37:1) PS(15:0_22:1)",804.57506,619.56611,395.35206,299.25816,225.22135,321.31525
"PS(37:2) PS(15:0_22:2)",802.55936,617.55041,393.33636,299.25816,225.22135,319.29955
"PS(37:3) PS(15:0_22:3)",800.54376,615.53481,391.32076,299.25816,225.22135,317.28395
"PS(37:4) PS(15:0_22:4)",798.52806,613.51911,389.30506,299.25816,225.22135,315.26825
"PS(37:5) PS(15:0_22:5)",796.51246,611.50351,387.28946,299.25816,225.22135,313.25265
"PS(37:6) PS(15:0_22:6)",794.49676,609.48781,385.27376,299.25816,225.22135,311.23695
"PS(38:0) PS(15:0_23:0)",820.60636,635.59741,411.38336,299.25816,225.22135,337.34655
"PS(39:0) PS(15:0_24:0)",834.62196,649.61301,425.39896,299.25816,225.22135,351.36215
"PS(39:1) PS(15:0_24:1)",832.60636,647.59741,423.38336,299.25816,225.22135,349.34655
"PS(40:0) PS(15:0_25:0)",848.63766,663.62871,439.41466,299.25816,225.22135,365.37785
"PS(41:0) PS(15:0_26:0)",862.65326,677.64431,453.43026,299.25816,225.22135,379.39345
"PS(30:2) PS(15:1_15:1)",704.44976,519.44081,297.24246,297.24246,223.20565,223.20565
"PS(31:1) PS(15:1_16:0)",720.48106,535.47211,313.27376,297.24246,223.20565,239.23695
"PS(31:2) PS(15:1_16:1)",718.46546,533.45651,311.25816,297.24246,223.20565,237.22135
"PS(32:1) PS(15:1_17:0)",734.49676,549.48781,327.28946,297.24246,223.20565,253.25265
