"DG","[M+NH4]+","[M+H-H2O]+","[M+H-acyl-sn1-2H2O]+","[M+H-acyl-sn2-2H2O]+","[acyl-sn1CO]+","[acyl-sn2CO]+","[acyl-sn1CO-H2O]+","[acyl-sn2CO-H2O]+","[acyl-sn1CO-H2O+74]+","[acyl-sn2CO-H2O+74]+"
"DG(27:1) DG(12:0_15:1)",514.4466,479.4095,297.2424,257.2111,183.1743,223.2056,165.1638,205.1951,239.2006,279.2319
"DG(28:0) DG(12:0_16:0)",530.4779,495.4408,313.2737,257.2111,183.1743,239.2369,165.1638,221.2264,239.2006,295.2632
"DG(28:1) DG(12:0_16:1)",528.4623,493.4252,311.2581,257.2111,183.1743,237.2213,165.1638,219.2108,239.2006,293.2476
"DG(29:0) DG(12:0_17:0)",544.4936,509.4565,327.2894,257.2111,183.1743,253.2526,165.1638,235.2421,239.2006,309.2789
"DG(29:1) DG(12:0_17:1)",542.4779,507.4408,325.2737,257.2111,183.1743,251.2369,165.1638,233.2264,239.2006,307.2632
"DG(29:2) DG(12:0_17:2)",540.4623,505.4252,323.2581,257.2111,183.1743,249.2213,165.1638,231.2108,239.2006,305.2476
"DG(30:0) DG(12:0_18:0)",558.5092,523.4721,341.305,257.2111,183.1743,267.2682,165.1638,249.2577,239.2006,323.2945
"DG(30:1) DG(12:0_18:1)",556.4936,521.4565,339.2894,257.2111,183.1743,265.2526,165.1638,247.2421,239.2006,321.2789
"DG(30:2) DG(12:0_18:2)",554.4779,519.4408,337.2737,257.2111,183.1743,263.2369,165.1638,245.2264,239.2006,319.2632
"DG(30:3) DG(12:0_18:3)",552.4623,517.4252,335.2581,257.2111,183.1743,261.2213,165.1638,243.2108,239.2006,317.2476
"DG(30:4) DG(12:0_18:4)",550.4466,515.4095,333.2424,257.2111,183.1743,259.2056,165.1638,241.1951,239.2006,315.2319
"DG(31:0) DG(12:0_19:0)",572.5249,537.4878,355.3207,257.2111,183.1743,281.2839,165.1638,263.2734,239.2006,337.3102
