"PG","[M+NH4]+","[M+NH4-PG head]+","[M+NH4-PG head-H2O]+","[M+NH4-T1_RCOOH]+","[M+NH4-T2_RCOOH]+","[T1_RCO]+","[T2_RCO]+","[T1RCOO+58]+","[T2RCOO+58]+"
"PG(27:0) PG(12:0_15:0)",670.46546,499.45956,481.425227,453.261286,411.214286,183.17435,225.22135,257.21113,299.25813
"PG(27:1) PG(12:0_15:1)",668.44976,497.44386,479.409527,451.245586,411.214286,183.17435,223.20565,257.21113,297.24243
"PG(28:0) PG(12:0_16:0)",684.48106,513.47516,495.440827,467.276886,411.214286,183.17435,239.23695,257.21113,313.27373
"PG(28:1) PG(12:0_16:1)",682.46546,511.45956,493.425227,465.261286,411.214286,183.17435,237.22135,257.21113,311.25813
"PG(29:0) PG(12:0_17:0)",698.49676,527.49086,509.456527,481.292586,411.214286,183.17435,253.25265,257.21113,327.28943
"PG(29:1) PG(12:0_17:1)",696.48106,525.47516,507.440827,479.276886,411.214286,183.17435,251.23695,257.21113,325.27373
"PG(29:2) PG(12:0_17:2)",694.46546,523.45956,505.425227,477.261286,411.214286,183.17435,249.22135,257.21113,323.25813
"PG(30:0) PG(12:0_18:0)",712.51236,541.50646,523.472127,495.308186,411.214286,183.17435,267.26825,257.21113,341.30503
"PG(30:1) PG(12:0_18:1)",710.49676,539.49086,521.456527,493.292586,411.214286,183.17435,265.25265,257.21113,339.28943
"PG(30:2) PG(12:0_18:2)",708.48106,537.47516,519.440827,491.276886,411.214286,183.17435,263.23695,257.21113,337.27373
"PG(30:3) PG(12:0_18:3)",706.46546,535.45956,517.425227,489.261286,411.214286,183.17435,261.22135,257.21113,335.25813
"PG(30:4) PG(12:0_18:4)",704.44976,533.44386,515.409527,487.245586,411.214286,183.17435,259.20565,257.21113,333.24243
"PG(31:0) PG(12:0_19:0)",726.52806,555.52216,537.487827,509.323886,411.214286,183.17435,281.28395,257.21113,355.32073
"PG(32:0) PG(12:0_20:0)",740.54366,569.53776,551.503427,523.339486,411.214286,183.17435,295.29955,257.21113,369.33633
"PG(32:1) PG(12:0_20:1)",738.52806,567.52216,549.487827,521.323886,411.214286,183.17435,293.28395,257.21113,367.32073
"PG(32:2) PG(12:0_20:2)",736.51236,565.50646,547.472127,519.308186,411.214286,183.17435,291.26825,257.21113,365.30503
"PG(32:3) PG(12:0_20:3)",734.49676,563.49086,545.456527,517.292586,411.214286,183.17435,289.25265,257.21113,363.28943
"PG(32:4) PG(12:0_20:4)",732.48106,561.47516,543.440827,515.276886,411.214286,183.17435,287.23695,257.21113,361.27373
"PG(32:5) PG(12:0_20:5)",730.46546,559.45956,541.425227,513.261286,411.214286,183.17435,285.22135,257.21113,359.25813
"PG(33:0) PG(12:0_21:0)",754.55936,583.55346,565.519127,537.355186,411.214286,183.17435,309.31525,257.21113,383.35203
"PG(34:0) PG(12:0_22:0)",768.57496,597.56906,579.534727,551.370786,411.214286,183.17435,323.33085,257.21113,397.36763
"PG(34:1) PG(12:0_22:1)",766.55936,595.55346,577.519127,549.355186,411.214286,183.17435,321.31525,257.21113,395.35203
"PG(34:2) PG(12:0_22:2)",764.54366,593.53776,575.503427,547.339486,411.214286,183.17435,319.29955,257.21113,393.33633
"PG(34:3) PG(12:0_22:3)",762.52806,591.52216,573.487827,545.323886,411.214286,183.17435,317.28395,257.21113,391.32073
"PG(34:4) PG(12:0_22:4)",760.51236,589.50646,571.472127,543.308186,411.214286,183.17435,315.26825,257.21113,389.30503
"PG(34:5) PG(12:0_22:5)",758.49676,587.49086,569.456527,541.292586,411.214286,183.17435,313.25265,257.21113,387.28943
"PG(34:6) PG(12:0_22:6)",756.48106,585.47516,567.440827,539.276886,411.214286,183.17435,311.23695,257.21113,385.27373
"PG(35:0) PG(12:0_23:0)",782.59066,611.58476,593.550427,565.386486,411.214286,183.17435,337.34655,257.21113,411.38333
"PG(36:0) PG(12:0_24:0)",796.60626,625.60036,607.566027,579.402086,411.214286,183.17435,351.36215,257.21113,425.39893
"PG(36:1) PG(12:0_24:1)",794.59066,623.58476,605.550427,577.386486,411.214286,183.17435,349.34655,257.21113,423.38333
"PG(37:0) PG(12:0_25:0)",810.62196,639.61606,621.581727,593.417786,411.214286,183.17435,365.37785,257.21113,439.41463
"PG(38:0) PG(12:0_26:0)",824.63756,653.63166,635.597327,607.433386,411.214286,183.17435,379.39345,257.21113,453.43023
"PG(26:0) PG(13:0_13:0)",656.44986,485.44396,467.409627,425.229986,425.229986,197.19005,197.19005,271.22683,271.22683
"PG(27:0) PG(13:0_14:0)",670.46546,499.45956,481.425227,439.245586,425.229986,197.19005,211.20565,271.22683,285.24243
"PG(27:1) PG(13:0_14:1)",668.44986,497.44396,479.409627,437.229986,425.229986,197.19005,209.19005,271.22683,283.22683
"PG(28:0) PG(13:0_15:0)",684.48116,513.47526,495.440927,453.261286,425.229986,197.19005,225.22135,271.22683,299.25813
"PG(28:1) PG(13:0_15:1)",682.46546,511.45956,493.425227,451.245586,425.229986,197.19005,223.20565,271.22683,297.24243
"PG(29:0) PG(13:0_16:0)",698.49676,527.49086,509.456527,467.276886,425.229986,197.19005,239.23695,271.22683,313.27373
"PG(29:1) PG(13:0_16:1)",696.48116,525.47526,507.440927,465.261286,425.229986,197.19005,237.22135,271.22683,311.25813
