"TG","[M+NH4]+","[M+H-R1-H2O]+","[M+H-R2-H2O]+","[M+H-R3-H2O]+","[R1CO]+","[R2CO]+","[R3CO]+","[R1CO+74]+","[R2CO+74]+","[R3CO+74]+","[R1CO+74-H2O]+","[R2CO+74-H2O]+","[R3CO+74-H2O]+"
"TG(35:0) TG(19:0_8:0_8:0)",642.5667504,327.2529764,481.4251764,481.4251764,281.2839364,127.1117364,127.1117364,355.3207364,201.1485364,201.1485364,337.3101714,183.1379714,183.1379714
"TG(35:0) TG(10:0_17:0_8:0)",642.5667504,453.3938764,355.2842764,481.4251764,155.1430364,253.2526364,127.1117364,229.1798364,327.2894364,201.1485364,211.1692714,309.2788714,183.1379714
"TG(35:0) TG(12:0_15:0_8:0)",642.5667504,425.3625764,383.3155764,481.4251764,183.1743364,225.2213364,127.1117364,257.2111364,299.2581364,201.1485364,239.2005714,281.2475714,183.1379714
"TG(35:0) TG(13:0_14:0_8:0)",642.5667504,411.3468764,397.3312764,481.4251764,197.1900364,211.2056364,127.1117364,271.2268364,285.2424364,201.1485364,253.2162714,267.2318714,183.1379714
"TG(36:5) TG(20:5_8:0_8:0)",646.5041504,327.2529764,485.3625764,485.3625764,285.2213364,127.1117364,127.1117364,359.2581364,201.1485364,201.1485364,341.2475714,183.1379714,183.1379714
"TG(36:4) TG(20:4_8:0_8:0)",648.5197504,327.2529764,487.3781764,487.3781764,287.2369364,127.1117364,127.1117364,361.2737364,201.1485364,201.1485364,343.2631714,183.1379714,183.1379714
"TG(36:4) TG(10:0_18:4_8:0)",648.5197504,459.3468764,355.2842764,487.3781764,155.1430364,259.2056364,127.1117364,229.1798364,333.2424364,201.1485364,211.1692714,315.2318714,183.1379714
"TG(36:3) TG(20:3_8:0_8:0)",650.5354504,327.2529764,489.3938764,489.3938764,289.2526364,127.1117364,127.1117364,363.2894364,201.1485364,201.1485364,345.2788714,183.1379714,183.1379714
"TG(36:3) TG(10:0_18:3_8:0)",650.5354504,461.3625764,355.2842764,489.3938764,155.1430364,261.2213364,127.1117364,229.1798364,335.2581364,201.1485364,211.1692714,317.2475714,183.1379714
"TG(36:2) TG(20:2_8:0_8:0)",652.5510504,327.2529764,491.4094764,491.4094764,291.2682364,127.1117364,127.1117364,365.3050364,201.1485364,201.1485364,347.2944714,183.1379714,183.1379714
"TG(36:2) TG(10:0_18:2_8:0)",652.5510504,463.3781764,355.2842764,491.4094764,155.1430364,263.2369364,127.1117364,229.1798364,337.2737364,201.1485364,211.1692714,319.2631714,183.1379714
"TG(36:2) TG(14:1_14:1_8:0)",652.5511504,409.3312764,409.3312764,491.4095764,209.1900364,209.1900364,127.1117364,283.2268364,283.2268364,201.1485364,265.2162714,265.2162714,183.1379714
"TG(36:1) TG(10:0_10:0_16:1)",654.5667504,465.3938764,465.3938764,383.3155764,155.1430364,155.1430364,237.2213364,229.1798364,229.1798364,311.2581364,211.1692714,211.1692714,293.2475714
"TG(36:1) TG(10:0_12:0_14:1)",654.5667504,465.3938764,437.3625764,411.3468764,155.1430364,183.1743364,209.1900364,229.1798364,257.2111364,283.2268364,211.1692714,239.2005714,265.2162714
"TG(36:1) TG(20:1_8:0_8:0)",654.5667504,327.2529764,493.4251764,493.4251764,293.2839364,127.1117364,127.1117364,367.3207364,201.1485364,201.1485364,349.3101714,183.1379714,183.1379714
"TG(36:1) TG(10:0_18:1_8:0)",654.5667504,465.3938764,355.2842764,493.4251764,155.1430364,265.2526364,127.1117364,229.1798364,339.2894364,201.1485364,211.1692714,321.2788714,183.1379714
"TG(36:1) TG(12:0_16:1_8:0)",654.5667504,437.3625764,383.3155764,493.4251764,183.1743364,237.2213364,127.1117364,257.2111364,311.2581364,201.1485364,239.2005714,293.2475714,183.1379714
"TG(36:1) TG(13:0_15:1_8:0)",654.5667504,423.3468764,397.3312764,493.4251764,197.1900364,223.2056364,127.1117364,271.2268364,297.2424364,201.1485364,253.2162714,279.2318714,183.1379714
"TG(36:1) TG(14:0_14:1_8:0)",654.5667504,409.3312764,411.3468764,493.4251764,211.2056364,209.1900364,127.1117364,285.2424364,283.2268364,201.1485364,267.2318714,265.2162714,183.1379714
"TG(36:0) TG(12:0_12:0_12:0)",656.5823504,439.3781764,439.3781764,439.3781764,183.1743364,183.1743364,183.1743364,257.2111364,257.2111364,257.2111364,239.2005714,239.2005714,239.2005714
"TG(36:0) TG(10:0_10:0_16:0)",656.5823504,467.4094764,467.4094764,383.3155764,155.1430364,155.1430364,239.2369364,229.1798364,229.1798364,313.2737364,211.1692714,211.1692714,295.2631714
"TG(36:0) TG(10:0_12:0_14:0)",656.5823504,467.4094764,439.3781764,411.3468764,155.1430364,183.1743364,211.2056364,229.1798364,257.2111364,285.2424364,211.1692714,239.2005714,267.2318714
"TG(36:0) TG(20:0_8:0_8:0)",656.5823504,327.2529764,495.4407764,495.4407764,295.2995364,127.1117364,127.1117364,369.3363364,201.1485364,201.1485364,351.3257714,183.1379714,183.1379714
"TG(36:0) TG(10:0_18:0_8:0)",656.5823504,467.4094764,355.2842764,495.4407764,155.1430364,267.2682364,127.1117364,229.1798364,341.3050364,201.1485364,211.1692714,323.2944714,183.1379714
"TG(36:0) TG(12:0_16:0_8:0)",656.5823504,439.3781764,383.3155764,495.4407764,183.1743364,239.2369364,127.1117364,257.2111364,313.2737364,201.1485364,239.2005714,295.2631714,183.1379714
"TG(36:0) TG(14:0_14:0_8:0)",656.5823504,411.3468764,411.3468764,495.4407764,211.2056364,211.2056364,127.1117364,285.2424364,285.2424364,201.1485364,267.2318714,267.2318714,183.1379714
"TG(36:0) TG(10:0_13:0_13:0)",656.5824504,467.4095764,425.3625764,425.3625764,155.1430364,197.1900364,197.1900364,229.1798364,271.2268364,271.2268364,211.1692714,253.2162714,253.2162714
"TG(36:0) TG(13:0_15:0_8:0)",656.5824504,425.3625764,397.3312764,495.4408764,197.1900364,225.2213364,127.1117364,271.2268364,299.2581364,201.1485364,253.2162714,281.2475714,183.1379714
"TG(37:2) TG(10:0_10:0_17:2)",666.5667504,477.3938764,477.3938764,383.3155764,155.1430364,155.1430364,249.2213364,229.1798364,229.1798364,323.2581364,211.1692714,211.1692714,305.2475714
"TG(37:2) TG(12:0_17:2_8:0)",666.5667504,449.3625764,383.3155764,505.4251764,183.1743364,249.2213364,127.1117364,257.2111364,323.2581364,201.1485364,239.2005714,305.2475714,183.1379714
"TG(37:2) TG(14:1_15:1_8:0)",666.5667504,423.3468764,409.3312764,505.4251764,209.1900364,223.2056364,127.1117364,283.2268364,297.2424364,201.1485364,265.2162714,279.2318714,183.1379714
"TG(37:1) TG(10:0_10:0_17:1)",668.5823504,479.4094764,479.4094764,383.3155764,155.1430364,155.1430364,251.2369364,229.1798364,229.1798364,325.2737364,211.1692714,211.1692714,307.2631714
"TG(37:1) TG(10:0_12:0_15:1)",668.5823504,479.4094764,451.3781764,411.3468764,155.1430364,183.1743364,223.2056364,229.1798364,257.2111364,297.2424364,211.1692714,239.2005714,279.2318714
"TG(37:1) TG(12:0_17:1_8:0)",668.5823504,451.3781764,383.3155764,507.4407764,183.1743364,251.2369364,127.1117364,257.2111364,325.2737364,201.1485364,239.2005714,307.2631714,183.1379714
"TG(37:1) TG(14:0_15:1_8:0)",668.5823504,423.3468764,411.3468764,507.4407764,211.2056364,223.2056364,127.1117364,285.2424364,297.2424364,201.1485364,267.2318714,279.2318714,183.1379714
"TG(37:1) TG(10:0_13:0_14:1)",668.5824504,479.4095764,437.3625764,425.3625764,155.1430364,197.1900364,209.1900364,229.1798364,271.2268364,283.2268364,211.1692714,253.2162714,265.2162714
"TG(37:1) TG(13:0_16:1_8:0)",668.5824504,437.3625764,397.3312764,507.4408764,197.1900364,237.2213364,127.1117364,271.2268364,311.2581364,201.1485364,253.2162714,293.2475714,183.1379714
"TG(37:1) TG(14:1_15:0_8:0)",668.5824504,425.3625764,409.3312764,507.4408764,209.1900364,225.2213364,127.1117364,283.2268364,299.2581364,201.1485364,265.2162714,281.2475714,183.1379714
"TG(37:0) TG(12:0_12:0_13:0)",670.5980504,453.3938764,453.3938764,439.3781764,183.1743364,183.1743364,197.1900364,257.2111364,257.2111364,271.2268364,239.2005714,239.2005714,253.2162714
"TG(37:0) TG(10:0_10:0_17:0)",670.5980504,481.4251764,481.4251764,383.3155764,155.1430364,155.1430364,253.2526364,229.1798364,229.1798364,327.2894364,211.1692714,211.1692714,309.2788714
"TG(37:0) TG(10:0_12:0_15:0)",670.5980504,481.4251764,453.3938764,411.3468764,155.1430364,183.1743364,225.2213364,229.1798364,257.2111364,299.2581364,211.1692714,239.2005714,281.2475714
"TG(37:0) TG(10:0_13:0_14:0)",670.5980504,481.4251764,439.3781764,425.3625764,155.1430364,197.1900364,211.2056364,229.1798364,271.2268364,285.2424364,211.1692714,253.2162714,267.2318714
"TG(37:0) TG(21:0_8:0_8:0)",670.5980504,327.2529764,509.4564764,509.4564764,309.3152364,127.1117364,127.1117364,383.3520364,201.1485364,201.1485364,365.3414714,183.1379714,183.1379714
"TG(37:0) TG(10:0_19:0_8:0)",670.5980504,481.4251764,355.2842764,509.4564764,155.1430364,281.2839364,127.1117364,229.1798364,355.3207364,201.1485364,211.1692714,337.3101714,183.1379714
"TG(37:0) TG(12:0_17:0_8:0)",670.5980504,453.3938764,383.3155764,509.4564764,183.1743364,253.2526364,127.1117364,257.2111364,327.2894364,201.1485364,239.2005714,309.2788714,183.1379714
"TG(37:0) TG(13:0_16:0_8:0)",670.5980504,439.3781764,397.3312764,509.4564764,197.1900364,239.2369364,127.1117364,271.2268364,313.2737364,201.1485364,253.2162714,295.2631714,183.1379714
"TG(37:0) TG(14:0_15:0_8:0)",670.5980504,425.3625764,411.3468764,509.4564764,211.2056364,225.2213364,127.1117364,285.2424364,299.2581364,201.1485364,267.2318714,281.2475714,183.1379714
"TG(38:6) TG(22:6_8:0_8:0)",672.5197504,327.2529764,511.3781764,511.3781764,311.2369364,127.1117364,127.1117364,385.2737364,201.1485364,201.1485364,367.2631714,183.1379714,183.1379714
"TG(38:5) TG(22:5_8:0_8:0)",674.5354504,327.2529764,513.3938764,513.3938764,313.2526364,127.1117364,127.1117364,387.2894364,201.1485364,201.1485364,369.2788714,183.1379714,183.1379714
"TG(38:5) TG(10:0_20:5_8:0)",674.5354504,485.3625764,355.2842764,513.3938764,155.1430364,285.2213364,127.1117364,229.1798364,359.2581364,201.1485364,211.1692714,341.2475714,183.1379714
"TG(38:4) TG(10:0_10:0_18:4)",676.5510504,487.3781764,487.3781764,383.3155764,155.1430364,155.1430364,259.2056364,229.1798364,229.1798364,333.2424364,211.1692714,211.1692714,315.2318714
"TG(38:4) TG(22:4_8:0_8:0)",676.5510504,327.2529764,515.4094764,515.4094764,315.2682364,127.1117364,127.1117364,389.3050364,201.1485364,201.1485364,371.2944714,183.1379714,183.1379714
"TG(38:4) TG(10:0_20:4_8:0)",676.5510504,487.3781764,355.2842764,515.4094764,155.1430364,287.2369364,127.1117364,229.1798364,361.2737364,201.1485364,211.1692714,343.2631714,183.1379714
