GM3,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+,[Sph+H]+,[Sph-H2O+H]+
GM3(d26:1/15:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,394.4044,376.3938
GM3(d27:0/14:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,410.4356,392.4251
GM3(d27:1/14:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,408.42,390.4094
GM3(d28:0/13:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,424.4513,406.4407
GM3(d28:1/13:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,422.4356,404.4251
GM3(d29:0/12:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,438.4669,420.4564
GM3(d29:1/12:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,436.4513,418.4407
GM3(d14:1/27:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,226.2166,208.206
GM3(d15:0/26:2),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,242.2478,224.2373
GM3(d15:1/26:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,240.2322,222.2216
GM3(d16:1/25:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,254.2478,236.2373
GM3(d17:0/24:2),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,270.2791,252.2686
GM3(d17:1/24:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,268.2635,250.2529
GM3(d18:1/23:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,282.2791,264.2686
GM3(d19:0/22:2),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,298.3105,280.2999
GM3(d19:1/22:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,296.2948,278.2842
GM3(d20:1/21:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,310.3105,292.2999
GM3(d21:0/20:2),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,326.3417,308.3312
GM3(d21:1/20:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,324.3261,306.3155
GM3(d22:1/19:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,338.3417,320.3312
GM3(d23:0/18:2),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,354.373,336.3625
GM3(d23:1/18:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,352.3574,334.3468
GM3(d25:0/16:2),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,382.4044,364.3938
GM3(d25:1/16:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,380.3887,362.3781
GM3(d26:1/15:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,394.4044,376.3938
GM3(d27:1/14:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,408.42,390.4094
GM3(d28:1/13:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,422.4356,404.4251
GM3(d29:1/12:1),1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027,436.4513,418.4407
GM3(d15:1/26:2),1247.798,1229.788,956.7029,938.6923,794.65,776.6395,632.5972,614.5867,292.1027,240.2322,222.2216
GM3(d17:1/24:2),1247.798,1229.788,956.7029,938.6923,794.65,776.6395,632.5972,614.5867,292.1027,268.2635,250.2529
GM3(d19:1/22:2),1247.798,1229.788,956.7029,938.6923,794.65,776.6395,632.5972,614.5867,292.1027,296.2948,278.2842
GM3(d21:1/20:2),1247.798,1229.788,956.7029,938.6923,794.65,776.6395,632.5972,614.5867,292.1027,324.3261,306.3155
GM3(d23:1/18:2),1247.798,1229.788,956.7029,938.6923,794.65,776.6395,632.5972,614.5867,292.1027,352.3574,334.3468
GM3(d25:1/16:2),1247.798,1229.788,956.7029,938.6923,794.65,776.6395,632.5972,614.5867,292.1027,380.3887,362.3781
GM3(d14:0/28:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,228.2322,210.2216
GM3(d15:0/27:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,242.2478,224.2373
GM3(d16:0/26:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,256.2635,238.2529
GM3(d17:0/25:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,270.2791,252.2686
GM3(d18:0/24:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,284.2948,266.2842
GM3(d19:0/23:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,298.3105,280.2999
GM3(d20:0/22:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,312.3261,294.3155
GM3(d21:0/21:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,326.3417,308.3312
