GM3,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+,[Sph+H]+,[Sph-H2O+H]+
GM3(d24:1/15:0),1223.798,1205.788,932.7029,914.6923,770.65,752.6395,608.5972,590.5867,292.1027,366.373,348.3625
GM3(d25:0/14:1),1223.798,1205.788,932.7029,914.6923,770.65,752.6395,608.5972,590.5867,292.1027,382.4044,364.3938
GM3(d25:1/14:0),1223.798,1205.788,932.7029,914.6923,770.65,752.6395,608.5972,590.5867,292.1027,380.3887,362.3781
GM3(d26:0/13:1),1223.798,1205.788,932.7029,914.6923,770.65,752.6395,608.5972,590.5867,292.1027,396.42,378.4094
GM3(d26:1/13:0),1223.798,1205.788,932.7029,914.6923,770.65,752.6395,608.5972,590.5867,292.1027,394.4044,376.3938
GM3(d27:0/12:1),1223.798,1205.788,932.7029,914.6923,770.65,752.6395,608.5972,590.5867,292.1027,410.4356,392.4251
GM3(d27:1/12:0),1223.798,1205.788,932.7029,914.6923,770.65,752.6395,608.5972,590.5867,292.1027,408.42,390.4094
GM3(d14:1/25:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,226.2166,208.206
GM3(d15:0/24:2),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,242.2478,224.2373
GM3(d15:1/24:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,240.2322,222.2216
GM3(d16:1/23:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,254.2478,236.2373
GM3(d17:0/22:2),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,270.2791,252.2686
GM3(d17:1/22:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,268.2635,250.2529
GM3(d18:1/21:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,282.2791,264.2686
GM3(d19:0/20:2),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,298.3105,280.2999
GM3(d19:1/20:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,296.2948,278.2842
GM3(d20:1/19:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,310.3105,292.2999
GM3(d21:0/18:2),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,326.3417,308.3312
GM3(d21:1/18:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,324.3261,306.3155
GM3(d23:0/16:2),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,354.373,336.3625
GM3(d23:1/16:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,352.3574,334.3468
GM3(d24:1/15:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,366.373,348.3625
GM3(d25:1/14:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,380.3887,362.3781
GM3(d26:1/13:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,394.4044,376.3938
GM3(d27:1/12:1),1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027,408.42,390.4094
GM3(d15:1/24:2),1219.767,1201.757,928.6719,910.6613,766.619,748.6085,604.5662,586.5557,292.1027,240.2322,222.2216
GM3(d17:1/22:2),1219.767,1201.757,928.6719,910.6613,766.619,748.6085,604.5662,586.5557,292.1027,268.2635,250.2529
GM3(d19:1/20:2),1219.767,1201.757,928.6719,910.6613,766.619,748.6085,604.5662,586.5557,292.1027,296.2948,278.2842
GM3(d21:1/18:2),1219.767,1201.757,928.6719,910.6613,766.619,748.6085,604.5662,586.5557,292.1027,324.3261,306.3155
GM3(d23:1/16:2),1219.767,1201.757,928.6719,910.6613,766.619,748.6085,604.5662,586.5557,292.1027,352.3574,334.3468
GM3(d14:0/26:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,228.2322,210.2216
GM3(d15:0/25:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,242.2478,224.2373
GM3(d16:0/24:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,256.2635,238.2529
GM3(d17:0/23:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,270.2791,252.2686
GM3(d18:0/22:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,284.2948,266.2842
GM3(d19:0/21:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,298.3105,280.2999
GM3(d20:0/20:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,312.3261,294.3155
GM3(d21:0/19:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,326.3417,308.3312
GM3(d22:0/18:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,340.3574,322.3468
GM3(d23:0/17:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,354.373,336.3625
GM3(d24:0/16:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,368.3887,350.3781
GM3(d25:0/15:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,382.4044,364.3938
GM3(d26:0/14:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,396.42,378.4094
GM3(d27:0/13:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,410.4356,392.4251
GM3(d28:0/12:0),1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027,424.4513,406.4407
GM3(d14:0/26:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,228.2322,210.2216
GM3(d14:1/26:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,226.2166,208.206
GM3(d15:0/25:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,242.2478,224.2373
GM3(d15:1/25:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,240.2322,222.2216
GM3(d16:0/24:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,256.2635,238.2529
GM3(d16:1/24:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,254.2478,236.2373
GM3(d17:0/23:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,270.2791,252.2686
GM3(d17:1/23:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,268.2635,250.2529
GM3(d18:0/22:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,284.2948,266.2842
GM3(d18:1/22:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,282.2791,264.2686
GM3(d19:0/21:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,298.3105,280.2999
GM3(d19:1/21:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,296.2948,278.2842
GM3(d20:0/20:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,312.3261,294.3155
GM3(d20:1/20:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,310.3105,292.2999
GM3(d21:0/19:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,326.3417,308.3312
GM3(d21:1/19:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,324.3261,306.3155
GM3(d22:0/18:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,340.3574,322.3468
GM3(d22:1/18:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,338.3417,320.3312
GM3(d23:1/17:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,352.3574,334.3468
GM3(d24:0/16:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,368.3887,350.3781
GM3(d24:1/16:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,366.373,348.3625
GM3(d25:0/15:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,382.4044,364.3938
GM3(d25:1/15:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,380.3887,362.3781
GM3(d26:0/14:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,396.42,378.4094
GM3(d26:1/14:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,394.4044,376.3938
GM3(d27:0/13:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,410.4356,392.4251
GM3(d27:1/13:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,408.42,390.4094
GM3(d28:0/12:1),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,424.4513,406.4407
GM3(d28:1/12:0),1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027,422.4356,404.4251
GM3(d14:0/26:2),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,228.2322,210.2216
GM3(d14:1/26:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,226.2166,208.206
GM3(d15:1/25:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,240.2322,222.2216
GM3(d16:0/24:2),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,256.2635,238.2529
GM3(d16:1/24:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,254.2478,236.2373
GM3(d17:1/23:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,268.2635,250.2529
GM3(d18:0/22:2),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,284.2948,266.2842
GM3(d18:1/22:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,282.2791,264.2686
GM3(d19:1/21:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,296.2948,278.2842
GM3(d20:0/20:2),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,312.3261,294.3155
GM3(d20:1/20:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,310.3105,292.2999
GM3(d21:1/19:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,324.3261,306.3155
GM3(d22:0/18:2),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,340.3574,322.3468
GM3(d22:1/18:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,338.3417,320.3312
GM3(d24:0/16:2),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,368.3887,350.3781
GM3(d24:1/16:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,366.373,348.3625
GM3(d25:1/15:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,380.3887,362.3781
GM3(d26:1/14:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,394.4044,376.3938
GM3(d27:1/13:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,408.42,390.4094
GM3(d28:1/12:1),1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027,422.4356,404.4251
GM3(d14:1/26:2),1233.783,1215.773,942.6879,924.6773,780.635,762.6245,618.5822,600.5717,292.1027,226.2166,208.206
GM3(d16:1/24:2),1233.783,1215.773,942.6879,924.6773,780.635,762.6245,618.5822,600.5717,292.1027,254.2478,236.2373
GM3(d18:1/22:2),1233.783,1215.773,942.6879,924.6773,780.635,762.6245,618.5822,600.5717,292.1027,282.2791,264.2686
GM3(d20:1/20:2),1233.783,1215.773,942.6879,924.6773,780.635,762.6245,618.5822,600.5717,292.1027,310.3105,292.2999
GM3(d22:1/18:2),1233.783,1215.773,942.6879,924.6773,780.635,762.6245,618.5822,600.5717,292.1027,338.3417,320.3312
GM3(d24:1/16:2),1233.783,1215.773,942.6879,924.6773,780.635,762.6245,618.5822,600.5717,292.1027,366.373,348.3625
GM3(d14:0/27:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,228.2322,210.2216
GM3(d15:0/26:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,242.2478,224.2373
GM3(d16:0/25:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,256.2635,238.2529
GM3(d17:0/24:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,270.2791,252.2686
GM3(d18:0/23:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,284.2948,266.2842
GM3(d19:0/22:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,298.3105,280.2999
GM3(d20:0/21:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,312.3261,294.3155
GM3(d21:0/20:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,326.3417,308.3312
GM3(d22:0/19:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,340.3574,322.3468
GM3(d23:0/18:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,354.373,336.3625
GM3(d24:0/17:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,368.3887,350.3781
GM3(d25:0/16:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,382.4044,364.3938
GM3(d26:0/15:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,396.42,378.4094
GM3(d27:0/14:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,410.4356,392.4251
GM3(d28:0/13:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,424.4513,406.4407
GM3(d29:0/12:0),1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027,438.4669,420.4564
GM3(d14:0/27:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,228.2322,210.2216
GM3(d14:1/27:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,226.2166,208.206
GM3(d15:0/26:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,242.2478,224.2373
GM3(d15:1/26:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,240.2322,222.2216
GM3(d16:0/25:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,256.2635,238.2529
GM3(d16:1/25:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,254.2478,236.2373
GM3(d17:0/24:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,270.2791,252.2686
GM3(d17:1/24:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,268.2635,250.2529
GM3(d18:0/23:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,284.2948,266.2842
GM3(d18:1/23:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,282.2791,264.2686
GM3(d19:0/22:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,298.3105,280.2999
GM3(d19:1/22:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,296.2948,278.2842
GM3(d20:0/21:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,312.3261,294.3155
GM3(d20:1/21:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,310.3105,292.2999
GM3(d21:0/20:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,326.3417,308.3312
GM3(d21:1/20:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,324.3261,306.3155
GM3(d22:0/19:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,340.3574,322.3468
GM3(d22:1/19:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,338.3417,320.3312
GM3(d23:0/18:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,354.373,336.3625
GM3(d23:1/18:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,352.3574,334.3468
GM3(d24:1/17:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,366.373,348.3625
GM3(d25:0/16:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,382.4044,364.3938
GM3(d25:1/16:0),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,380.3887,362.3781
GM3(d26:0/15:1),1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027,396.42,378.4094
