"PE","[M+H]+","[M-PE head]+","[M+H-acyl1_RCO]+","[M+H-acyl2_RCO]+","[acyl1_RCO]+","[acyl2_RCO]+"
"PE(35:1) PE(13:0_22:1)",732.55388,591.53477,395.35202,271.22682,197.19005,321.31525
"PE(35:2) PE(13:0_22:2)",730.53818,589.51907,393.33632,271.22682,197.19005,319.29955
"PE(35:3) PE(13:0_22:3)",728.52258,587.50347,391.32072,271.22682,197.19005,317.28395
"PE(35:4) PE(13:0_22:4)",726.50688,585.48777,389.30502,271.22682,197.19005,315.26825
"PE(35:5) PE(13:0_22:5)",724.49128,583.47217,387.28942,271.22682,197.19005,313.25265
"PE(35:6) PE(13:0_22:6)",722.47558,581.45647,385.27372,271.22682,197.19005,311.23695
"PE(36:0) PE(13:0_23:0)",748.58518,607.56607,411.38332,271.22682,197.19005,337.34655
"PE(37:0) PE(13:0_24:0)",762.60078,621.58167,425.39892,271.22682,197.19005,351.36215
"PE(37:1) PE(13:0_24:1)",760.58518,619.56607,423.38332,271.22682,197.19005,349.34655
"PE(38:0) PE(13:0_25:0)",776.61648,635.59737,439.41462,271.22682,197.19005,365.37785
"PE(39:0) PE(13:0_26:0)",790.63208,649.61297,453.43022,271.22682,197.19005,379.39345
"PE(28:0) PE(14:0_14:0)",636.45988,495.44077,285.24242,285.24242,211.20565,211.20565
"PE(28:1) PE(14:0_14:1)",634.44428,493.42517,283.22682,285.24242,211.20565,209.19005
"PE(29:0) PE(14:0_15:0)",650.47558,509.45647,299.25812,285.24242,211.20565,225.22135
"PE(29:1) PE(14:0_15:1)",648.45988,507.44077,297.24242,285.24242,211.20565,223.20565
"PE(30:0) PE(14:0_16:0)",664.49118,523.47207,313.27372,285.24242,211.20565,239.23695
"PE(30:1) PE(14:0_16:1)",662.47558,521.45647,311.25812,285.24242,211.20565,237.22135
"PE(31:0) PE(14:0_17:0)",678.50688,537.48777,327.28942,285.24242,211.20565,253.25265
"PE(31:1) PE(14:0_17:1)",676.49118,535.47207,325.27372,285.24242,211.20565,251.23695
"PE(31:2) PE(14:0_17:2)",674.47558,533.45647,323.25812,285.24242,211.20565,249.22135
"PE(32:0) PE(14:0_18:0)",692.52248,551.50337,341.30502,285.24242,211.20565,267.26825
"PE(32:1) PE(14:0_18:1)",690.50688,549.48777,339.28942,285.24242,211.20565,265.25265
"PE(32:2) PE(14:0_18:2)",688.49118,547.47207,337.27372,285.24242,211.20565,263.23695
"PE(32:3) PE(14:0_18:3)",686.47558,545.45647,335.25812,285.24242,211.20565,261.22135
"PE(32:4) PE(14:0_18:4)",684.45988,543.44077,333.24242,285.24242,211.20565,259.20565
"PE(33:0) PE(14:0_19:0)",706.53818,565.51907,355.32072,285.24242,211.20565,281.28395
"PE(34:0) PE(14:0_20:0)",720.55378,579.53467,369.33632,285.24242,211.20565,295.29955
"PE(34:1) PE(14:0_20:1)",718.53818,577.51907,367.32072,285.24242,211.20565,293.28395
"PE(34:2) PE(14:0_20:2)",716.52248,575.50337,365.30502,285.24242,211.20565,291.26825
"PE(34:3) PE(14:0_20:3)",714.50688,573.48777,363.28942,285.24242,211.20565,289.25265
"PE(34:4) PE(14:0_20:4)",712.49118,571.47207,361.27372,285.24242,211.20565,287.23695
"PE(34:5) PE(14:0_20:5)",710.47558,569.45647,359.25812,285.24242,211.20565,285.22135
"PE(35:0) PE(14:0_21:0)",734.56948,593.55037,383.35202,285.24242,211.20565,309.31525
"PE(36:0) PE(14:0_22:0)",748.58508,607.56597,397.36762,285.24242,211.20565,323.33085
"PE(36:1) PE(14:0_22:1)",746.56948,605.55037,395.35202,285.24242,211.20565,321.31525
"PE(36:2) PE(14:0_22:2)",744.55378,603.53467,393.33632,285.24242,211.20565,319.29955
"PE(36:3) PE(14:0_22:3)",742.53818,601.51907,391.32072,285.24242,211.20565,317.28395
"PE(36:4) PE(14:0_22:4)",740.52248,599.50337,389.30502,285.24242,211.20565,315.26825
"PE(36:5) PE(14:0_22:5)",738.50688,597.48777,387.28942,285.24242,211.20565,313.25265
"PE(36:6) PE(14:0_22:6)",736.49118,595.47207,385.27372,285.24242,211.20565,311.23695
"PE(37:0) PE(14:0_23:0)",762.60078,621.58167,411.38332,285.24242,211.20565,337.34655
"PE(38:0) PE(14:0_24:0)",776.61638,635.59727,425.39892,285.24242,211.20565,351.36215
"PE(38:1) PE(14:0_24:1)",774.60078,633.58167,423.38332,285.24242,211.20565,349.34655
"PE(39:0) PE(14:0_25:0)",790.63208,649.61297,439.41462,285.24242,211.20565,365.37785
"PE(40:0) PE(14:0_26:0)",804.64768,663.62857,453.43022,285.24242,211.20565,379.39345
"PE(28:2) PE(14:1_14:1)",632.42868,491.40957,283.22682,283.22682,209.19005,209.19005
"PE(29:1) PE(14:1_15:0)",648.45998,507.44087,299.25812,283.22682,209.19005,225.22135
"PE(29:2) PE(14:1_15:1)",646.44428,505.42517,297.24242,283.22682,209.19005,223.20565
"PE(30:1) PE(14:1_16:0)",662.47558,521.45647,313.27372,283.22682,209.19005,239.23695
"PE(30:2) PE(14:1_16:1)",660.45998,519.44087,311.25812,283.22682,209.19005,237.22135
"PE(31:1) PE(14:1_17:0)",676.49128,535.47217,327.28942,283.22682,209.19005,253.25265
"PE(31:2) PE(14:1_17:1)",674.47558,533.45647,325.27372,283.22682,209.19005,251.23695
"PE(31:3) PE(14:1_17:2)",672.45998,531.44087,323.25812,283.22682,209.19005,249.22135
"PE(32:1) PE(14:1_18:0)",690.50688,549.48777,341.30502,283.22682,209.19005,267.26825
"PE(32:2) PE(14:1_18:1)",688.49128,547.47217,339.28942,283.22682,209.19005,265.25265
"PE(32:3) PE(14:1_18:2)",686.47558,545.45647,337.27372,283.22682,209.19005,263.23695
"PE(32:4) PE(14:1_18:3)",684.45998,543.44087,335.25812,283.22682,209.19005,261.22135
"PE(32:5) PE(14:1_18:4)",682.44428,541.42517,333.24242,283.22682,209.19005,259.20565
"PE(33:1) PE(14:1_19:0)",704.52258,563.50347,355.32072,283.22682,209.19005,281.28395
"PE(34:1) PE(14:1_20:0)",718.53818,577.51907,369.33632,283.22682,209.19005,295.29955
"PE(34:2) PE(14:1_20:1)",716.52258,575.50347,367.32072,283.22682,209.19005,293.28395
"PE(34:3) PE(14:1_20:2)",714.50688,573.48777,365.30502,283.22682,209.19005,291.26825
"PE(34:4) PE(14:1_20:3)",712.49128,571.47217,363.28942,283.22682,209.19005,289.25265
"PE(34:5) PE(14:1_20:4)",710.47558,569.45647,361.27372,283.22682,209.19005,287.23695
"PE(34:6) PE(14:1_20:5)",708.45998,567.44087,359.25812,283.22682,209.19005,285.22135
"PE(35:1) PE(14:1_21:0)",732.55388,591.53477,383.35202,283.22682,209.19005,309.31525
"PE(36:1) PE(14:1_22:0)",746.56948,605.55037,397.36762,283.22682,209.19005,323.33085
"PE(36:2) PE(14:1_22:1)",744.55388,603.53477,395.35202,283.22682,209.19005,321.31525
"PE(36:3) PE(14:1_22:2)",742.53818,601.51907,393.33632,283.22682,209.19005,319.29955
