"PG","[M+Na]+","[M+Na-194]+","[C3H9NaO6P]+","[M+H-R1]+","[M+H-R2]+"
"PG(36:1) PG(12:0_24:1)",799.54601,605.5503908,195.0034442,257.2111,423.3833
"PG(37:0) PG(12:0_25:0)",815.57731,621.5816908,195.0034442,257.2111,439.4146
"PG(38:0) PG(12:0_26:0)",829.59291,635.5972908,195.0034442,257.2111,453.4302
"PG(26:0) PG(13:0_13:0)",661.40521,467.4095908,195.0034442,271.2268,271.2268
"PG(27:0) PG(13:0_14:0)",675.42081,481.4251908,195.0034442,271.2268,285.2424
"PG(27:1) PG(13:0_14:1)",673.40521,479.4095908,195.0034442,271.2268,283.2268
"PG(28:0) PG(13:0_15:0)",689.43651,495.4408908,195.0034442,271.2268,299.2581
"PG(28:1) PG(13:0_15:1)",687.42081,493.4251908,195.0034442,271.2268,297.2424
"PG(29:0) PG(13:0_16:0)",703.45211,509.4564908,195.0034442,271.2268,313.2737
"PG(29:1) PG(13:0_16:1)",701.43651,507.4408908,195.0034442,271.2268,311.2581
"PG(30:0) PG(13:0_17:0)",717.46781,523.4721908,195.0034442,271.2268,327.2894
"PG(30:1) PG(13:0_17:1)",715.45211,521.4564908,195.0034442,271.2268,325.2737
"PG(30:2) PG(13:0_17:2)",713.43651,519.4408908,195.0034442,271.2268,323.2581
"PG(31:0) PG(13:0_18:0)",731.48341,537.4877908,195.0034442,271.2268,341.305
"PG(31:1) PG(13:0_18:1)",729.46781,535.4721908,195.0034442,271.2268,339.2894
"PG(31:2) PG(13:0_18:2)",727.45211,533.4564908,195.0034442,271.2268,337.2737
"PG(31:3) PG(13:0_18:3)",725.43651,531.4408908,195.0034442,271.2268,335.2581
"PG(31:4) PG(13:0_18:4)",723.42081,529.4251908,195.0034442,271.2268,333.2424
"PG(32:0) PG(13:0_19:0)",745.49911,551.5034908,195.0034442,271.2268,355.3207
"PG(33:0) PG(13:0_20:0)",759.51471,565.5190908,195.0034442,271.2268,369.3363
"PG(33:1) PG(13:0_20:1)",757.49911,563.5034908,195.0034442,271.2268,367.3207
"PG(33:2) PG(13:0_20:2)",755.48341,561.4877908,195.0034442,271.2268,365.305
"PG(33:3) PG(13:0_20:3)",753.46781,559.4721908,195.0034442,271.2268,363.2894
"PG(33:4) PG(13:0_20:4)",751.45211,557.4564908,195.0034442,271.2268,361.2737
"PG(33:5) PG(13:0_20:5)",749.43651,555.4408908,195.0034442,271.2268,359.2581
"PG(34:0) PG(13:0_21:0)",773.53041,579.5347908,195.0034442,271.2268,383.352
"PG(35:0) PG(13:0_22:0)",787.54601,593.5503908,195.0034442,271.2268,397.3676
"PG(35:1) PG(13:0_22:1)",785.53041,591.5347908,195.0034442,271.2268,395.352
"PG(35:2) PG(13:0_22:2)",783.51471,589.5190908,195.0034442,271.2268,393.3363
"PG(35:3) PG(13:0_22:3)",781.49911,587.5034908,195.0034442,271.2268,391.3207
"PG(35:4) PG(13:0_22:4)",779.48341,585.4877908,195.0034442,271.2268,389.305
"PG(35:5) PG(13:0_22:5)",777.46781,583.4721908,195.0034442,271.2268,387.2894
"PG(35:6) PG(13:0_22:6)",775.45211,581.4564908,195.0034442,271.2268,385.2737
"PG(36:0) PG(13:0_23:0)",801.56171,607.5660908,195.0034442,271.2268,411.3833
"PG(37:0) PG(13:0_24:0)",815.57731,621.5816908,195.0034442,271.2268,425.3989
"PG(37:1) PG(13:0_24:1)",813.56171,619.5660908,195.0034442,271.2268,423.3833
"PG(38:0) PG(13:0_25:0)",829.59301,635.5973908,195.0034442,271.2268,439.4146
"PG(39:0) PG(13:0_26:0)",843.60861,649.6129908,195.0034442,271.2268,453.4302
"PG(28:0) PG(14:0_14:0)",689.43641,495.4407908,195.0034442,285.2424,285.2424
"PG(28:1) PG(14:0_14:1)",687.42081,493.4251908,195.0034442,285.2424,283.2268
"PG(29:0) PG(14:0_15:0)",703.45211,509.4564908,195.0034442,285.2424,299.2581
"PG(29:1) PG(14:0_15:1)",701.43641,507.4407908,195.0034442,285.2424,297.2424
"PG(30:0) PG(14:0_16:0)",717.46771,523.4720908,195.0034442,285.2424,313.2737
"PG(30:1) PG(14:0_16:1)",715.45211,521.4564908,195.0034442,285.2424,311.2581
"PG(31:0) PG(14:0_17:0)",731.48341,537.4877908,195.0034442,285.2424,327.2894
"PG(31:1) PG(14:0_17:1)",729.46771,535.4720908,195.0034442,285.2424,325.2737
"PG(31:2) PG(14:0_17:2)",727.45211,533.4564908,195.0034442,285.2424,323.2581
"PG(32:0) PG(14:0_18:0)",745.49901,551.5033908,195.0034442,285.2424,341.305
"PG(32:1) PG(14:0_18:1)",743.48341,549.4877908,195.0034442,285.2424,339.2894
"PG(32:2) PG(14:0_18:2)",741.46771,547.4720908,195.0034442,285.2424,337.2737
"PG(32:3) PG(14:0_18:3)",739.45211,545.4564908,195.0034442,285.2424,335.2581
"PG(32:4) PG(14:0_18:4)",737.43641,543.4407908,195.0034442,285.2424,333.2424
"PG(33:0) PG(14:0_19:0)",759.51471,565.5190908,195.0034442,285.2424,355.3207
"PG(34:0) PG(14:0_20:0)",773.53031,579.5346908,195.0034442,285.2424,369.3363
"PG(34:1) PG(14:0_20:1)",771.51471,577.5190908,195.0034442,285.2424,367.3207
"PG(34:2) PG(14:0_20:2)",769.49901,575.5033908,195.0034442,285.2424,365.305
"PG(34:3) PG(14:0_20:3)",767.48341,573.4877908,195.0034442,285.2424,363.2894
"PG(34:4) PG(14:0_20:4)",765.46771,571.4720908,195.0034442,285.2424,361.2737
"PG(34:5) PG(14:0_20:5)",763.45211,569.4564908,195.0034442,285.2424,359.2581
"PG(35:0) PG(14:0_21:0)",787.54601,593.5503908,195.0034442,285.2424,383.352
"PG(36:0) PG(14:0_22:0)",801.56161,607.5659908,195.0034442,285.2424,397.3676
"PG(36:1) PG(14:0_22:1)",799.54601,605.5503908,195.0034442,285.2424,395.352
"PG(36:2) PG(14:0_22:2)",797.53031,603.5346908,195.0034442,285.2424,393.3363
"PG(36:3) PG(14:0_22:3)",795.51471,601.5190908,195.0034442,285.2424,391.3207
"PG(36:4) PG(14:0_22:4)",793.49901,599.5033908,195.0034442,285.2424,389.305
"PG(36:5) PG(14:0_22:5)",791.48341,597.4877908,195.0034442,285.2424,387.2894
"PG(36:6) PG(14:0_22:6)",789.46771,595.4720908,195.0034442,285.2424,385.2737
"PG(37:0) PG(14:0_23:0)",815.57731,621.5816908,195.0034442,285.2424,411.3833
"PG(38:0) PG(14:0_24:0)",829.59291,635.5972908,195.0034442,285.2424,425.3989
"PG(38:1) PG(14:0_24:1)",827.57731,633.5816908,195.0034442,285.2424,423.3833
"PG(39:0) PG(14:0_25:0)",843.60861,649.6129908,195.0034442,285.2424,439.4146
"PG(40:0) PG(14:0_26:0)",857.62421,663.6285908,195.0034442,285.2424,453.4302
"PG(28:2) PG(14:1_14:1)",685.40521,491.4095908,195.0034442,283.2268,283.2268
"PG(29:1) PG(14:1_15:0)",701.43651,507.4408908,195.0034442,283.2268,299.2581
"PG(29:2) PG(14:1_15:1)",699.42081,505.4251908,195.0034442,283.2268,297.2424
"PG(30:1) PG(14:1_16:0)",715.45211,521.4564908,195.0034442,283.2268,313.2737
"PG(30:2) PG(14:1_16:1)",713.43651,519.4408908,195.0034442,283.2268,311.2581
"PG(31:1) PG(14:1_17:0)",729.46781,535.4721908,195.0034442,283.2268,327.2894
"PG(31:2) PG(14:1_17:1)",727.45211,533.4564908,195.0034442,283.2268,325.2737
"PG(31:3) PG(14:1_17:2)",725.43651,531.4408908,195.0034442,283.2268,323.2581
"PG(32:1) PG(14:1_18:0)",743.48341,549.4877908,195.0034442,283.2268,341.305
"PG(32:2) PG(14:1_18:1)",741.46781,547.4721908,195.0034442,283.2268,339.2894
"PG(32:3) PG(14:1_18:2)",739.45211,545.4564908,195.0034442,283.2268,337.2737
"PG(32:4) PG(14:1_18:3)",737.43651,543.4408908,195.0034442,283.2268,335.2581
"PG(32:5) PG(14:1_18:4)",735.42081,541.4251908,195.0034442,283.2268,333.2424
"PG(33:1) PG(14:1_19:0)",757.49911,563.5034908,195.0034442,283.2268,355.3207
"PG(34:1) PG(14:1_20:0)",771.51471,577.5190908,195.0034442,283.2268,369.3363
"PG(34:2) PG(14:1_20:1)",769.49911,575.5034908,195.0034442,283.2268,367.3207
"PG(34:3) PG(14:1_20:2)",767.48341,573.4877908,195.0034442,283.2268,365.305
"PG(34:4) PG(14:1_20:3)",765.46781,571.4721908,195.0034442,283.2268,363.2894
"PG(34:5) PG(14:1_20:4)",763.45211,569.4564908,195.0034442,283.2268,361.2737
"PG(34:6) PG(14:1_20:5)",761.43651,567.4408908,195.0034442,283.2268,359.2581
"PG(35:1) PG(14:1_21:0)",785.53041,591.5347908,195.0034442,283.2268,383.352
"PG(36:1) PG(14:1_22:0)",799.54601,605.5503908,195.0034442,283.2268,397.3676
"PG(36:2) PG(14:1_22:1)",797.53041,603.5347908,195.0034442,283.2268,395.352
"PG(36:3) PG(14:1_22:2)",795.51471,601.5190908,195.0034442,283.2268,393.3363
"PG(36:4) PG(14:1_22:3)",793.49911,599.5034908,195.0034442,283.2268,391.3207
"PG(36:5) PG(14:1_22:4)",791.48341,597.4877908,195.0034442,283.2268,389.305
"PG(36:6) PG(14:1_22:5)",789.46781,595.4721908,195.0034442,283.2268,387.2894
"PG(36:7) PG(14:1_22:6)",787.45211,593.4564908,195.0034442,283.2268,385.2737
"PG(37:1) PG(14:1_23:0)",813.56171,619.5660908,195.0034442,283.2268,411.3833
"PG(38:1) PG(14:1_24:0)",827.57731,633.5816908,195.0034442,283.2268,425.3989
"PG(38:2) PG(14:1_24:1)",825.56171,631.5660908,195.0034442,283.2268,423.3833
"PG(39:1) PG(14:1_25:0)",841.59301,647.5973908,195.0034442,283.2268,439.4146
"PG(40:1) PG(14:1_26:0)",855.60861,661.6129908,195.0034442,283.2268,453.4302
"PG(30:0) PG(15:0_15:0)",717.46781,523.4721908,195.0034442,299.2581,299.2581
"PG(30:1) PG(15:0_15:1)",715.45211,521.4564908,195.0034442,299.2581,297.2424
"PG(31:0) PG(15:0_16:0)",731.48341,537.4877908,195.0034442,299.2581,313.2737
"PG(31:1) PG(15:0_16:1)",729.46781,535.4721908,195.0034442,299.2581,311.2581
"PG(32:0) PG(15:0_17:0)",745.49911,551.5034908,195.0034442,299.2581,327.2894
"PG(32:1) PG(15:0_17:1)",743.48341,549.4877908,195.0034442,299.2581,325.2737
"PG(32:2) PG(15:0_17:2)",741.46781,547.4721908,195.0034442,299.2581,323.2581
"PG(33:0) PG(15:0_18:0)",759.51471,565.5190908,195.0034442,299.2581,341.305
"PG(33:1) PG(15:0_18:1)",757.49911,563.5034908,195.0034442,299.2581,339.2894
"PG(33:2) PG(15:0_18:2)",755.48341,561.4877908,195.0034442,299.2581,337.2737
"PG(33:3) PG(15:0_18:3)",753.46781,559.4721908,195.0034442,299.2581,335.2581
"PG(33:4) PG(15:0_18:4)",751.45211,557.4564908,195.0034442,299.2581,333.2424
"PG(34:0) PG(15:0_19:0)",773.53041,579.5347908,195.0034442,299.2581,355.3207
"PG(35:0) PG(15:0_20:0)",787.54601,593.5503908,195.0034442,299.2581,369.3363
"PG(35:1) PG(15:0_20:1)",785.53041,591.5347908,195.0034442,299.2581,367.3207
"PG(35:2) PG(15:0_20:2)",783.51471,589.5190908,195.0034442,299.2581,365.305
"PG(35:3) PG(15:0_20:3)",781.49911,587.5034908,195.0034442,299.2581,363.2894
"PG(35:4) PG(15:0_20:4)",779.48341,585.4877908,195.0034442,299.2581,361.2737
"PG(35:5) PG(15:0_20:5)",777.46781,583.4721908,195.0034442,299.2581,359.2581
"PG(36:0) PG(15:0_21:0)",801.56171,607.5660908,195.0034442,299.2581,383.352
