Plasmenyl-PE,[M+H]+,[M+H-PE]+,[M+H-acyl-sn2-RCO]+,[acyl-sn2-RCO]+,[acyl-sn2-RCOO+58]+,[M+H-acyl-sn2-glycerol]+
Plasmenyl-PE(P-18:0/25:0),830.69976,689.68065,325.3101,365.37785,439.41463,420.3242705
Plasmenyl-PE(P-18:0/26:0),844.71536,703.69625,325.3101,379.39345,453.43023,420.3242705
Plasmenyl-PE(P-18:0/8:0),592.43366,451.41455,325.3101,127.11175,201.14853,420.3242705
Plasmenyl-PE(P-18:1/10:0),618.44936,477.43025,323.2945,155.14305,229.17983,418.3086204
Plasmenyl-PE(P-18:1/12:0),646.48066,505.46155,323.2945,183.17435,257.21113,418.3086204
Plasmenyl-PE(P-18:1/13:0),660.49636,519.47725,323.2945,197.19005,271.22683,418.3086204
Plasmenyl-PE(P-18:1/14:0),674.51196,533.49285,323.2945,211.20565,285.24243,418.3086204
Plasmenyl-PE(P-18:1/14:1),672.49636,531.47725,323.2945,209.19005,283.22683,418.3086204
Plasmenyl-PE(P-18:1/15:0),688.52766,547.50855,323.2945,225.22135,299.25813,418.3086204
Plasmenyl-PE(P-18:1/15:1),686.51196,545.49285,323.2945,223.20565,297.24243,418.3086204
Plasmenyl-PE(P-18:1/16:0),702.54326,561.52415,323.2945,239.23695,313.27373,418.3086204
Plasmenyl-PE(P-18:1/16:1),700.52766,559.50855,323.2945,237.22135,311.25813,418.3086204
Plasmenyl-PE(P-18:1/17:0),716.55896,575.53985,323.2945,253.25265,327.28943,418.3086204
Plasmenyl-PE(P-18:1/17:1),714.54326,573.52415,323.2945,251.23695,325.27373,418.3086204
Plasmenyl-PE(P-18:1/17:2),712.52766,571.50855,323.2945,249.22135,323.25813,418.3086204
Plasmenyl-PE(P-18:1/18:0),730.57456,589.55545,323.2945,267.26825,341.30503,418.3086204
Plasmenyl-PE(P-18:1/18:1),728.55896,587.53985,323.2945,265.25265,339.28943,418.3086204
Plasmenyl-PE(P-18:1/18:2),726.54326,585.52415,323.2945,263.23695,337.27373,418.3086204
Plasmenyl-PE(P-18:1/18:3),724.52766,583.50855,323.2945,261.22135,335.25813,418.3086204
Plasmenyl-PE(P-18:1/18:4),722.51196,581.49285,323.2945,259.20565,333.24243,418.3086204
Plasmenyl-PE(P-18:1/19:0),744.59026,603.57115,323.2945,281.28395,355.32073,418.3086204
Plasmenyl-PE(P-18:1/20:0),758.60586,617.58675,323.2945,295.29955,369.33633,418.3086204
Plasmenyl-PE(P-18:1/20:1),756.59026,615.57115,323.2945,293.28395,367.32073,418.3086204
Plasmenyl-PE(P-18:1/20:2),754.57456,613.55545,323.2945,291.26825,365.30503,418.3086204
Plasmenyl-PE(P-18:1/20:3),752.55896,611.53985,323.2945,289.25265,363.28943,418.3086204
Plasmenyl-PE(P-18:1/20:4),750.54326,609.52415,323.2945,287.23695,361.27373,418.3086204
Plasmenyl-PE(P-18:1/20:5),748.52766,607.50855,323.2945,285.22135,359.25813,418.3086204
Plasmenyl-PE(P-18:1/21:0),772.62156,631.60245,323.2945,309.31525,383.35203,418.3086204
Plasmenyl-PE(P-18:1/22:0),786.63716,645.61805,323.2945,323.33085,397.36763,418.3086204
Plasmenyl-PE(P-18:1/22:1),784.62156,643.60245,323.2945,321.31525,395.35203,418.3086204
Plasmenyl-PE(P-18:1/22:2),782.60586,641.58675,323.2945,319.29955,393.33633,418.3086204
Plasmenyl-PE(P-18:1/22:3),780.59026,639.57115,323.2945,317.28395,391.32073,418.3086204
Plasmenyl-PE(P-18:1/22:4),778.57456,637.55545,323.2945,315.26825,389.30503,418.3086204
Plasmenyl-PE(P-18:1/22:5),776.55896,635.53985,323.2945,313.25265,387.28943,418.3086204
Plasmenyl-PE(P-18:1/22:6),774.54326,633.52415,323.2945,311.23695,385.27373,418.3086204
Plasmenyl-PE(P-18:1/23:0),800.65286,659.63375,323.2945,337.34655,411.38333,418.3086204
Plasmenyl-PE(P-18:1/24:0),814.66846,673.64935,323.2945,351.36215,425.39893,418.3086204
Plasmenyl-PE(P-18:1/24:1),812.65286,671.63375,323.2945,349.34655,423.38333,418.3086204
Plasmenyl-PE(P-18:1/25:0),828.68416,687.66505,323.2945,365.37785,439.41463,418.3086204
Plasmenyl-PE(P-18:1/26:0),842.69976,701.68065,323.2945,379.39345,453.43023,418.3086204
Plasmenyl-PE(P-18:1/8:0),590.41806,449.39895,323.2945,127.11175,201.14853,448.3555706
Plasmenyl-PE(P-20:0/10:0),648.49626,507.47715,353.3414,155.14305,229.17983,448.3555706
Plasmenyl-PE(P-20:0/12:0),676.52756,535.50845,353.3414,183.17435,257.21113,448.3555706
Plasmenyl-PE(P-20:0/13:0),690.54326,549.52415,353.3414,197.19005,271.22683,448.3555706
