"DG","[M+Na]+","[M+H-H2O]+","[M+H-R1-2H2O]+","[M+H-R2-2H2O]+","[R1CO]+","[R2CO]+","[R1CO-H2O]+","[R2CO-H2O]+"
"DG(32:4) DG(10:0_22:4)",583.4333,543.4408,389.305,229.1798,155.143,315.2682,137.1325,297.2577
"DG(32:5) DG(10:0_22:5)",581.4177,541.4252,387.2894,229.1798,155.143,313.2526,137.1325,295.2421
"DG(32:6) DG(10:0_22:6)",579.402,539.4095,385.2737,229.1798,155.143,311.2369,137.1325,293.2264
"DG(33:0) DG(10:0_23:0)",605.5116,565.5191,411.3833,229.1798,155.143,337.3465,137.1325,319.336
"DG(34:0) DG(10:0_24:0)",619.5272,579.5347,425.3989,229.1798,155.143,351.3621,137.1325,333.3516
"DG(34:1) DG(10:0_24:1)",617.5116,577.5191,423.3833,229.1798,155.143,349.3465,137.1325,331.336
"DG(35:0) DG(10:0_25:0)",633.5429,593.5504,439.4146,229.1798,155.143,365.3778,137.1325,347.3673
"DG(36:0) DG(10:0_26:0)",647.5585,607.566,453.4302,229.1798,155.143,379.3934,137.1325,361.3829
"DG(24:0) DG(12:0_12:0)",479.3707,439.3782,257.2111,257.2111,183.1743,183.1743,165.1638,165.1638
"DG(25:0) DG(12:0_13:0)",493.3864,453.3939,271.2268,257.2111,183.1743,197.19,165.1638,179.1795
"DG(26:0) DG(12:0_14:0)",507.402,467.4095,285.2424,257.2111,183.1743,211.2056,165.1638,193.1951
"DG(26:1) DG(12:0_14:1)",505.3864,465.3939,283.2268,257.2111,183.1743,209.19,165.1638,191.1795
"DG(27:0) DG(12:0_15:0)",521.4177,481.4252,299.2581,257.2111,183.1743,225.2213,165.1638,207.2108
"DG(27:1) DG(12:0_15:1)",519.402,479.4095,297.2424,257.2111,183.1743,223.2056,165.1638,205.1951
"DG(28:0) DG(12:0_16:0)",535.4333,495.4408,313.2737,257.2111,183.1743,239.2369,165.1638,221.2264
"DG(28:1) DG(12:0_16:1)",533.4177,493.4252,311.2581,257.2111,183.1743,237.2213,165.1638,219.2108
"DG(29:0) DG(12:0_17:0)",549.449,509.4565,327.2894,257.2111,183.1743,253.2526,165.1638,235.2421
"DG(29:1) DG(12:0_17:1)",547.4333,507.4408,325.2737,257.2111,183.1743,251.2369,165.1638,233.2264
"DG(29:2) DG(12:0_17:2)",545.4177,505.4252,323.2581,257.2111,183.1743,249.2213,165.1638,231.2108
"DG(30:0) DG(12:0_18:0)",563.4646,523.4721,341.305,257.2111,183.1743,267.2682,165.1638,249.2577
"DG(30:1) DG(12:0_18:1)",561.449,521.4565,339.2894,257.2111,183.1743,265.2526,165.1638,247.2421
"DG(30:2) DG(12:0_18:2)",559.4333,519.4408,337.2737,257.2111,183.1743,263.2369,165.1638,245.2264
"DG(30:3) DG(12:0_18:3)",557.4177,517.4252,335.2581,257.2111,183.1743,261.2213,165.1638,243.2108
"DG(30:4) DG(12:0_18:4)",555.402,515.4095,333.2424,257.2111,183.1743,259.2056,165.1638,241.1951
"DG(31:0) DG(12:0_19:0)",577.4803,537.4878,355.3207,257.2111,183.1743,281.2839,165.1638,263.2734
"DG(32:0) DG(12:0_20:0)",591.4959,551.5034,369.3363,257.2111,183.1743,295.2995,165.1638,277.289
"DG(32:1) DG(12:0_20:1)",589.4803,549.4878,367.3207,257.2111,183.1743,293.2839,165.1638,275.2734
"DG(32:2) DG(12:0_20:2)",587.4646,547.4721,365.305,257.2111,183.1743,291.2682,165.1638,273.2577
"DG(32:3) DG(12:0_20:3)",585.449,545.4565,363.2894,257.2111,183.1743,289.2526,165.1638,271.2421
"DG(32:4) DG(12:0_20:4)",583.4333,543.4408,361.2737,257.2111,183.1743,287.2369,165.1638,269.2264
"DG(32:5) DG(12:0_20:5)",581.4177,541.4252,359.2581,257.2111,183.1743,285.2213,165.1638,267.2108
"DG(33:0) DG(12:0_21:0)",605.5116,565.5191,383.352,257.2111,183.1743,309.3152,165.1638,291.3047
"DG(34:0) DG(12:0_22:0)",619.5272,579.5347,397.3676,257.2111,183.1743,323.3308,165.1638,305.3203
"DG(34:1) DG(12:0_22:1)",617.5116,577.5191,395.352,257.2111,183.1743,321.3152,165.1638,303.3047
"DG(34:2) DG(12:0_22:2)",615.4959,575.5034,393.3363,257.2111,183.1743,319.2995,165.1638,301.289
"DG(34:3) DG(12:0_22:3)",613.4803,573.4878,391.3207,257.2111,183.1743,317.2839,165.1638,299.2734
"DG(34:4) DG(12:0_22:4)",611.4646,571.4721,389.305,257.2111,183.1743,315.2682,165.1638,297.2577
"DG(34:5) DG(12:0_22:5)",609.449,569.4565,387.2894,257.2111,183.1743,313.2526,165.1638,295.2421
"DG(34:6) DG(12:0_22:6)",607.4333,567.4408,385.2737,257.2111,183.1743,311.2369,165.1638,293.2264
"DG(35:0) DG(12:0_23:0)",633.5429,593.5504,411.3833,257.2111,183.1743,337.3465,165.1638,319.336
"DG(36:0) DG(12:0_24:0)",647.5585,607.566,425.3989,257.2111,183.1743,351.3621,165.1638,333.3516
"DG(36:1) DG(12:0_24:1)",645.5429,605.5504,423.3833,257.2111,183.1743,349.3465,165.1638,331.336
"DG(37:0) DG(12:0_25:0)",661.5742,621.5817,439.4146,257.2111,183.1743,365.3778,165.1638,347.3673
"DG(38:0) DG(12:0_26:0)",675.5898,635.5973,453.4302,257.2111,183.1743,379.3934,165.1638,361.3829
"DG(26:0) DG(13:0_13:0)",507.4021,467.4096,271.2268,271.2268,197.19,197.19,179.1795,179.1795
"DG(27:0) DG(13:0_14:0)",521.4177,481.4252,285.2424,271.2268,197.19,211.2056,179.1795,193.1951
"DG(27:1) DG(13:0_14:1)",519.4021,479.4096,283.2268,271.2268,197.19,209.19,179.1795,191.1795
"DG(28:0) DG(13:0_15:0)",535.4334,495.4409,299.2581,271.2268,197.19,225.2213,179.1795,207.2108
"DG(28:1) DG(13:0_15:1)",533.4177,493.4252,297.2424,271.2268,197.19,223.2056,179.1795,205.1951
"DG(29:0) DG(13:0_16:0)",549.449,509.4565,313.2737,271.2268,197.19,239.2369,179.1795,221.2264
"DG(29:1) DG(13:0_16:1)",547.4334,507.4409,311.2581,271.2268,197.19,237.2213,179.1795,219.2108
"DG(30:0) DG(13:0_17:0)",563.4647,523.4722,327.2894,271.2268,197.19,253.2526,179.1795,235.2421
"DG(30:1) DG(13:0_17:1)",561.449,521.4565,325.2737,271.2268,197.19,251.2369,179.1795,233.2264
"DG(30:2) DG(13:0_17:2)",559.4334,519.4409,323.2581,271.2268,197.19,249.2213,179.1795,231.2108
"DG(31:0) DG(13:0_18:0)",577.4803,537.4878,341.305,271.2268,197.19,267.2682,179.1795,249.2577
"DG(31:1) DG(13:0_18:1)",575.4647,535.4722,339.2894,271.2268,197.19,265.2526,179.1795,247.2421
"DG(31:2) DG(13:0_18:2)",573.449,533.4565,337.2737,271.2268,197.19,263.2369,179.1795,245.2264
"DG(31:3) DG(13:0_18:3)",571.4334,531.4409,335.2581,271.2268,197.19,261.2213,179.1795,243.2108
"DG(31:4) DG(13:0_18:4)",569.4177,529.4252,333.2424,271.2268,197.19,259.2056,179.1795,241.1951
"DG(32:0) DG(13:0_19:0)",591.496,551.5035,355.3207,271.2268,197.19,281.2839,179.1795,263.2734
