"DG","[M+Na]+","[M+H-H2O]+","[M+H-R1-2H2O]+","[M+H-R2-2H2O]+","[R1CO]+","[R2CO]+","[R1CO-H2O]+","[R2CO-H2O]+"
"DG(42:1) DG(18:1_24:0)",729.6368,689.6443,425.3989,339.2894,265.2526,351.3621,247.2421,333.3516
"DG(42:2) DG(18:1_24:1)",727.6212,687.6287,423.3833,339.2894,265.2526,349.3465,247.2421,331.336
"DG(43:1) DG(18:1_25:0)",743.6525,703.66,439.4146,339.2894,265.2526,365.3778,247.2421,347.3673
"DG(44:1) DG(18:1_26:0)",757.6681,717.6756,453.4302,339.2894,265.2526,379.3934,247.2421,361.3829
"DG(36:4) DG(18:2_18:2)",639.4959,599.5034,337.2737,337.2737,263.2369,263.2369,245.2264,245.2264
"DG(36:5) DG(18:2_18:3)",637.4803,597.4878,335.2581,337.2737,263.2369,261.2213,245.2264,243.2108
"DG(36:6) DG(18:2_18:4)",635.4646,595.4721,333.2424,337.2737,263.2369,259.2056,245.2264,241.1951
"DG(37:2) DG(18:2_19:0)",657.5429,617.5504,355.3207,337.2737,263.2369,281.2839,245.2264,263.2734
"DG(38:2) DG(18:2_20:0)",671.5585,631.566,369.3363,337.2737,263.2369,295.2995,245.2264,277.289
"DG(38:3) DG(18:2_20:1)",669.5429,629.5504,367.3207,337.2737,263.2369,293.2839,245.2264,275.2734
"DG(38:4) DG(18:2_20:2)",667.5272,627.5347,365.305,337.2737,263.2369,291.2682,245.2264,273.2577
"DG(38:5) DG(18:2_20:3)",665.5116,625.5191,363.2894,337.2737,263.2369,289.2526,245.2264,271.2421
"DG(38:6) DG(18:2_20:4)",663.4959,623.5034,361.2737,337.2737,263.2369,287.2369,245.2264,269.2264
"DG(38:7) DG(18:2_20:5)",661.4803,621.4878,359.2581,337.2737,263.2369,285.2213,245.2264,267.2108
"DG(39:2) DG(18:2_21:0)",685.5742,645.5817,383.352,337.2737,263.2369,309.3152,245.2264,291.3047
"DG(40:2) DG(18:2_22:0)",699.5898,659.5973,397.3676,337.2737,263.2369,323.3308,245.2264,305.3203
"DG(40:3) DG(18:2_22:1)",697.5742,657.5817,395.352,337.2737,263.2369,321.3152,245.2264,303.3047
"DG(40:4) DG(18:2_22:2)",695.5585,655.566,393.3363,337.2737,263.2369,319.2995,245.2264,301.289
"DG(40:5) DG(18:2_22:3)",693.5429,653.5504,391.3207,337.2737,263.2369,317.2839,245.2264,299.2734
"DG(40:6) DG(18:2_22:4)",691.5272,651.5347,389.305,337.2737,263.2369,315.2682,245.2264,297.2577
"DG(40:7) DG(18:2_22:5)",689.5116,649.5191,387.2894,337.2737,263.2369,313.2526,245.2264,295.2421
"DG(40:8) DG(18:2_22:6)",687.4959,647.5034,385.2737,337.2737,263.2369,311.2369,245.2264,293.2264
"DG(41:2) DG(18:2_23:0)",713.6055,673.613,411.3833,337.2737,263.2369,337.3465,245.2264,319.336
"DG(42:2) DG(18:2_24:0)",727.6211,687.6286,425.3989,337.2737,263.2369,351.3621,245.2264,333.3516
"DG(42:3) DG(18:2_24:1)",725.6055,685.613,423.3833,337.2737,263.2369,349.3465,245.2264,331.336
"DG(43:2) DG(18:2_25:0)",741.6368,701.6443,439.4146,337.2737,263.2369,365.3778,245.2264,347.3673
"DG(44:2) DG(18:2_26:0)",755.6524,715.6599,453.4302,337.2737,263.2369,379.3934,245.2264,361.3829
"DG(36:6) DG(18:3_18:3)",635.4647,595.4722,335.2581,335.2581,261.2213,261.2213,243.2108,243.2108
"DG(36:7) DG(18:3_18:4)",633.449,593.4565,333.2424,335.2581,261.2213,259.2056,243.2108,241.1951
"DG(37:3) DG(18:3_19:0)",655.5273,615.5348,355.3207,335.2581,261.2213,281.2839,243.2108,263.2734
"DG(38:3) DG(18:3_20:0)",669.5429,629.5504,369.3363,335.2581,261.2213,295.2995,243.2108,277.289
"DG(38:4) DG(18:3_20:1)",667.5273,627.5348,367.3207,335.2581,261.2213,293.2839,243.2108,275.2734
"DG(38:5) DG(18:3_20:2)",665.5116,625.5191,365.305,335.2581,261.2213,291.2682,243.2108,273.2577
"DG(38:6) DG(18:3_20:3)",663.496,623.5035,363.2894,335.2581,261.2213,289.2526,243.2108,271.2421
"DG(38:7) DG(18:3_20:4)",661.4803,621.4878,361.2737,335.2581,261.2213,287.2369,243.2108,269.2264
"DG(38:8) DG(18:3_20:5)",659.4647,619.4722,359.2581,335.2581,261.2213,285.2213,243.2108,267.2108
"DG(39:3) DG(18:3_21:0)",683.5586,643.5661,383.352,335.2581,261.2213,309.3152,243.2108,291.3047
"DG(40:3) DG(18:3_22:0)",697.5742,657.5817,397.3676,335.2581,261.2213,323.3308,243.2108,305.3203
"DG(40:4) DG(18:3_22:1)",695.5586,655.5661,395.352,335.2581,261.2213,321.3152,243.2108,303.3047
"DG(40:5) DG(18:3_22:2)",693.5429,653.5504,393.3363,335.2581,261.2213,319.2995,243.2108,301.289
"DG(40:6) DG(18:3_22:3)",691.5273,651.5348,391.3207,335.2581,261.2213,317.2839,243.2108,299.2734
"DG(40:7) DG(18:3_22:4)",689.5116,649.5191,389.305,335.2581,261.2213,315.2682,243.2108,297.2577
"DG(40:8) DG(18:3_22:5)",687.496,647.5035,387.2894,335.2581,261.2213,313.2526,243.2108,295.2421
"DG(40:9) DG(18:3_22:6)",685.4803,645.4878,385.2737,335.2581,261.2213,311.2369,243.2108,293.2264
"DG(41:3) DG(18:3_23:0)",711.5899,671.5974,411.3833,335.2581,261.2213,337.3465,243.2108,319.336
"DG(42:3) DG(18:3_24:0)",725.6055,685.613,425.3989,335.2581,261.2213,351.3621,243.2108,333.3516
"DG(42:4) DG(18:3_24:1)",723.5899,683.5974,423.3833,335.2581,261.2213,349.3465,243.2108,331.336
"DG(43:3) DG(18:3_25:0)",739.6212,699.6287,439.4146,335.2581,261.2213,365.3778,243.2108,347.3673
"DG(44:3) DG(18:3_26:0)",753.6368,713.6443,453.4302,335.2581,261.2213,379.3934,243.2108,361.3829
"DG(36:8) DG(18:4_18:4)",631.4333,591.4408,333.2424,333.2424,259.2056,259.2056,241.1951,241.1951
"DG(37:4) DG(18:4_19:0)",653.5116,613.5191,355.3207,333.2424,259.2056,281.2839,241.1951,263.2734
"DG(38:4) DG(18:4_20:0)",667.5272,627.5347,369.3363,333.2424,259.2056,295.2995,241.1951,277.289
"DG(38:5) DG(18:4_20:1)",665.5116,625.5191,367.3207,333.2424,259.2056,293.2839,241.1951,275.2734
"DG(38:6) DG(18:4_20:2)",663.4959,623.5034,365.305,333.2424,259.2056,291.2682,241.1951,273.2577
"DG(38:7) DG(18:4_20:3)",661.4803,621.4878,363.2894,333.2424,259.2056,289.2526,241.1951,271.2421
"DG(38:8) DG(18:4_20:4)",659.4646,619.4721,361.2737,333.2424,259.2056,287.2369,241.1951,269.2264
"DG(38:9) DG(18:4_20:5)",657.449,617.4565,359.2581,333.2424,259.2056,285.2213,241.1951,267.2108
"DG(39:4) DG(18:4_21:0)",681.5429,641.5504,383.352,333.2424,259.2056,309.3152,241.1951,291.3047
"DG(40:4) DG(18:4_22:0)",695.5585,655.566,397.3676,333.2424,259.2056,323.3308,241.1951,305.3203
"DG(40:5) DG(18:4_22:1)",693.5429,653.5504,395.352,333.2424,259.2056,321.3152,241.1951,303.3047
"DG(40:6) DG(18:4_22:2)",691.5272,651.5347,393.3363,333.2424,259.2056,319.2995,241.1951,301.289
"DG(40:7) DG(18:4_22:3)",689.5116,649.5191,391.3207,333.2424,259.2056,317.2839,241.1951,299.2734
"DG(40:8) DG(18:4_22:4)",687.4959,647.5034,389.305,333.2424,259.2056,315.2682,241.1951,297.2577
"DG(40:9) DG(18:4_22:5)",685.4803,645.4878,387.2894,333.2424,259.2056,313.2526,241.1951,295.2421
"DG(40:10) DG(18:4_22:6)",683.4646,643.4721,385.2737,333.2424,259.2056,311.2369,241.1951,293.2264
"DG(41:4) DG(18:4_23:0)",709.5742,669.5817,411.3833,333.2424,259.2056,337.3465,241.1951,319.336
"DG(42:4) DG(18:4_24:0)",723.5898,683.5973,425.3989,333.2424,259.2056,351.3621,241.1951,333.3516
"DG(42:5) DG(18:4_24:1)",721.5742,681.5817,423.3833,333.2424,259.2056,349.3465,241.1951,331.336
"DG(43:4) DG(18:4_25:0)",737.6055,697.613,439.4146,333.2424,259.2056,365.3778,241.1951,347.3673
"DG(44:4) DG(18:4_26:0)",751.6211,711.6286,453.4302,333.2424,259.2056,379.3934,241.1951,361.3829
"DG(38:0) DG(19:0_19:0)",675.5899,635.5974,355.3207,355.3207,281.2839,281.2839,263.2734,263.2734
"DG(39:0) DG(19:0_20:0)",689.6055,649.613,369.3363,355.3207,281.2839,295.2995,263.2734,277.289
"DG(39:1) DG(19:0_20:1)",687.5899,647.5974,367.3207,355.3207,281.2839,293.2839,263.2734,275.2734
"DG(39:2) DG(19:0_20:2)",685.5742,645.5817,365.305,355.3207,281.2839,291.2682,263.2734,273.2577
"DG(39:3) DG(19:0_20:3)",683.5586,643.5661,363.2894,355.3207,281.2839,289.2526,263.2734,271.2421
"DG(39:4) DG(19:0_20:4)",681.5429,641.5504,361.2737,355.3207,281.2839,287.2369,263.2734,269.2264
"DG(39:5) DG(19:0_20:5)",679.5273,639.5348,359.2581,355.3207,281.2839,285.2213,263.2734,267.2108
"DG(40:0) DG(19:0_21:0)",703.6212,663.6287,383.352,355.3207,281.2839,309.3152,263.2734,291.3047
"DG(41:0) DG(19:0_22:0)",717.6368,677.6443,397.3676,355.3207,281.2839,323.3308,263.2734,305.3203
"DG(41:1) DG(19:0_22:1)",715.6212,675.6287,395.352,355.3207,281.2839,321.3152,263.2734,303.3047
"DG(41:2) DG(19:0_22:2)",713.6055,673.613,393.3363,355.3207,281.2839,319.2995,263.2734,301.289
"DG(41:3) DG(19:0_22:3)",711.5899,671.5974,391.3207,355.3207,281.2839,317.2839,263.2734,299.2734
"DG(41:4) DG(19:0_22:4)",709.5742,669.5817,389.305,355.3207,281.2839,315.2682,263.2734,297.2577
"DG(41:5) DG(19:0_22:5)",707.5586,667.5661,387.2894,355.3207,281.2839,313.2526,263.2734,295.2421
"DG(41:6) DG(19:0_22:6)",705.5429,665.5504,385.2737,355.3207,281.2839,311.2369,263.2734,293.2264
"DG(42:0) DG(19:0_23:0)",731.6525,691.66,411.3833,355.3207,281.2839,337.3465,263.2734,319.336
"DG(43:0) DG(19:0_24:0)",745.6681,705.6756,425.3989,355.3207,281.2839,351.3621,263.2734,333.3516
"DG(43:1) DG(19:0_24:1)",743.6525,703.66,423.3833,355.3207,281.2839,349.3465,263.2734,331.336
"DG(44:0) DG(19:0_25:0)",759.6838,719.6913,439.4146,355.3207,281.2839,365.3778,263.2734,347.3673
"DG(45:0) DG(19:0_26:0)",773.6994,733.7069,453.4302,355.3207,281.2839,379.3934,263.2734,361.3829
"DG(40:0) DG(20:0_20:0)",703.6211,663.6286,369.3363,369.3363,295.2995,295.2995,277.289,277.289
"DG(40:1) DG(20:0_20:1)",701.6055,661.613,367.3207,369.3363,295.2995,293.2839,277.289,275.2734
"DG(40:2) DG(20:0_20:2)",699.5898,659.5973,365.305,369.3363,295.2995,291.2682,277.289,273.2577
"DG(40:3) DG(20:0_20:3)",697.5742,657.5817,363.2894,369.3363,295.2995,289.2526,277.289,271.2421
"DG(40:4) DG(20:0_20:4)",695.5585,655.566,361.2737,369.3363,295.2995,287.2369,277.289,269.2264
"DG(40:5) DG(20:0_20:5)",693.5429,653.5504,359.2581,369.3363,295.2995,285.2213,277.289,267.2108
"DG(41:0) DG(20:0_21:0)",717.6368,677.6443,383.352,369.3363,295.2995,309.3152,277.289,291.3047
"DG(42:0) DG(20:0_22:0)",731.6524,691.6599,397.3676,369.3363,295.2995,323.3308,277.289,305.3203
"DG(42:1) DG(20:0_22:1)",729.6368,689.6443,395.352,369.3363,295.2995,321.3152,277.289,303.3047
"DG(42:2) DG(20:0_22:2)",727.6211,687.6286,393.3363,369.3363,295.2995,319.2995,277.289,301.289
"DG(42:3) DG(20:0_22:3)",725.6055,685.613,391.3207,369.3363,295.2995,317.2839,277.289,299.2734
"DG(42:4) DG(20:0_22:4)",723.5898,683.5973,389.305,369.3363,295.2995,315.2682,277.289,297.2577
"DG(42:5) DG(20:0_22:5)",721.5742,681.5817,387.2894,369.3363,295.2995,313.2526,277.289,295.2421
"DG(42:6) DG(20:0_22:6)",719.5585,679.566,385.2737,369.3363,295.2995,311.2369,277.289,293.2264
"DG(43:0) DG(20:0_23:0)",745.6681,705.6756,411.3833,369.3363,295.2995,337.3465,277.289,319.336
"DG(44:0) DG(20:0_24:0)",759.6837,719.6912,425.3989,369.3363,295.2995,351.3621,277.289,333.3516
"DG(44:1) DG(20:0_24:1)",757.6681,717.6756,423.3833,369.3363,295.2995,349.3465,277.289,331.336
"DG(45:0) DG(20:0_25:0)",773.6994,733.7069,439.4146,369.3363,295.2995,365.3778,277.289,347.3673
"DG(46:0) DG(20:0_26:0)",787.715,747.7225,453.4302,369.3363,295.2995,379.3934,277.289,361.3829
"DG(40:2) DG(20:1_20:1)",699.5899,659.5974,367.3207,367.3207,293.2839,293.2839,275.2734,275.2734
"DG(40:3) DG(20:1_20:2)",697.5742,657.5817,365.305,367.3207,293.2839,291.2682,275.2734,273.2577
"DG(40:4) DG(20:1_20:3)",695.5586,655.5661,363.2894,367.3207,293.2839,289.2526,275.2734,271.2421
"DG(40:5) DG(20:1_20:4)",693.5429,653.5504,361.2737,367.3207,293.2839,287.2369,275.2734,269.2264
"DG(40:6) DG(20:1_20:5)",691.5273,651.5348,359.2581,367.3207,293.2839,285.2213,275.2734,267.2108
"DG(41:1) DG(20:1_21:0)",715.6212,675.6287,383.352,367.3207,293.2839,309.3152,275.2734,291.3047
"DG(42:1) DG(20:1_22:0)",729.6368,689.6443,397.3676,367.3207,293.2839,323.3308,275.2734,305.3203
"DG(42:2) DG(20:1_22:1)",727.6212,687.6287,395.352,367.3207,293.2839,321.3152,275.2734,303.3047
"DG(42:3) DG(20:1_22:2)",725.6055,685.613,393.3363,367.3207,293.2839,319.2995,275.2734,301.289
"DG(42:4) DG(20:1_22:3)",723.5899,683.5974,391.3207,367.3207,293.2839,317.2839,275.2734,299.2734
"DG(42:5) DG(20:1_22:4)",721.5742,681.5817,389.305,367.3207,293.2839,315.2682,275.2734,297.2577
"DG(42:6) DG(20:1_22:5)",719.5586,679.5661,387.2894,367.3207,293.2839,313.2526,275.2734,295.2421
"DG(42:7) DG(20:1_22:6)",717.5429,677.5504,385.2737,367.3207,293.2839,311.2369,275.2734,293.2264
"DG(43:1) DG(20:1_23:0)",743.6525,703.66,411.3833,367.3207,293.2839,337.3465,275.2734,319.336
"DG(44:1) DG(20:1_24:0)",757.6681,717.6756,425.3989,367.3207,293.2839,351.3621,275.2734,333.3516
"DG(44:2) DG(20:1_24:1)",755.6525,715.66,423.3833,367.3207,293.2839,349.3465,275.2734,331.336
"DG(45:1) DG(20:1_25:0)",771.6838,731.6913,439.4146,367.3207,293.2839,365.3778,275.2734,347.3673
"DG(46:1) DG(20:1_26:0)",785.6994,745.7069,453.4302,367.3207,293.2839,379.3934,275.2734,361.3829
"DG(40:4) DG(20:2_20:2)",695.5585,655.566,365.305,365.305,291.2682,291.2682,273.2577,273.2577
"DG(40:5) DG(20:2_20:3)",693.5429,653.5504,363.2894,365.305,291.2682,289.2526,273.2577,271.2421
"DG(40:6) DG(20:2_20:4)",691.5272,651.5347,361.2737,365.305,291.2682,287.2369,273.2577,269.2264
"DG(40:7) DG(20:2_20:5)",689.5116,649.5191,359.2581,365.305,291.2682,285.2213,273.2577,267.2108
"DG(41:2) DG(20:2_21:0)",713.6055,673.613,383.352,365.305,291.2682,309.3152,273.2577,291.3047
"DG(42:2) DG(20:2_22:0)",727.6211,687.6286,397.3676,365.305,291.2682,323.3308,273.2577,305.3203
"DG(42:3) DG(20:2_22:1)",725.6055,685.613,395.352,365.305,291.2682,321.3152,273.2577,303.3047
"DG(42:4) DG(20:2_22:2)",723.5898,683.5973,393.3363,365.305,291.2682,319.2995,273.2577,301.289
"DG(42:5) DG(20:2_22:3)",721.5742,681.5817,391.3207,365.305,291.2682,317.2839,273.2577,299.2734
"DG(42:6) DG(20:2_22:4)",719.5585,679.566,389.305,365.305,291.2682,315.2682,273.2577,297.2577
"DG(42:7) DG(20:2_22:5)",717.5429,677.5504,387.2894,365.305,291.2682,313.2526,273.2577,295.2421
"DG(42:8) DG(20:2_22:6)",715.5272,675.5347,385.2737,365.305,291.2682,311.2369,273.2577,293.2264
"DG(43:2) DG(20:2_23:0)",741.6368,701.6443,411.3833,365.305,291.2682,337.3465,273.2577,319.336
"DG(44:2) DG(20:2_24:0)",755.6524,715.6599,425.3989,365.305,291.2682,351.3621,273.2577,333.3516
"DG(44:3) DG(20:2_24:1)",753.6368,713.6443,423.3833,365.305,291.2682,349.3465,273.2577,331.336
"DG(45:2) DG(20:2_25:0)",769.6681,729.6756,439.4146,365.305,291.2682,365.3778,273.2577,347.3673
"DG(46:2) DG(20:2_26:0)",783.6837,743.6912,453.4302,365.305,291.2682,379.3934,273.2577,361.3829
"DG(40:6) DG(20:3_20:3)",691.5273,651.5348,363.2894,363.2894,289.2526,289.2526,271.2421,271.2421
"DG(40:7) DG(20:3_20:4)",689.5116,649.5191,361.2737,363.2894,289.2526,287.2369,271.2421,269.2264
"DG(40:8) DG(20:3_20:5)",687.496,647.5035,359.2581,363.2894,289.2526,285.2213,271.2421,267.2108
"DG(41:3) DG(20:3_21:0)",711.5899,671.5974,383.352,363.2894,289.2526,309.3152,271.2421,291.3047
"DG(42:3) DG(20:3_22:0)",725.6055,685.613,397.3676,363.2894,289.2526,323.3308,271.2421,305.3203
"DG(42:4) DG(20:3_22:1)",723.5899,683.5974,395.352,363.2894,289.2526,321.3152,271.2421,303.3047
"DG(42:5) DG(20:3_22:2)",721.5742,681.5817,393.3363,363.2894,289.2526,319.2995,271.2421,301.289
"DG(42:6) DG(20:3_22:3)",719.5586,679.5661,391.3207,363.2894,289.2526,317.2839,271.2421,299.2734
"DG(42:7) DG(20:3_22:4)",717.5429,677.5504,389.305,363.2894,289.2526,315.2682,271.2421,297.2577
"DG(42:8) DG(20:3_22:5)",715.5273,675.5348,387.2894,363.2894,289.2526,313.2526,271.2421,295.2421
"DG(42:9) DG(20:3_22:6)",713.5116,673.5191,385.2737,363.2894,289.2526,311.2369,271.2421,293.2264
"DG(43:3) DG(20:3_23:0)",739.6212,699.6287,411.3833,363.2894,289.2526,337.3465,271.2421,319.336
"DG(44:3) DG(20:3_24:0)",753.6368,713.6443,425.3989,363.2894,289.2526,351.3621,271.2421,333.3516
"DG(44:4) DG(20:3_24:1)",751.6212,711.6287,423.3833,363.2894,289.2526,349.3465,271.2421,331.336
"DG(45:3) DG(20:3_25:0)",767.6525,727.66,439.4146,363.2894,289.2526,365.3778,271.2421,347.3673
"DG(46:3) DG(20:3_26:0)",781.6681,741.6756,453.4302,363.2894,289.2526,379.3934,271.2421,361.3829
"DG(40:8) DG(20:4_20:4)",687.4959,647.5034,361.2737,361.2737,287.2369,287.2369,269.2264,269.2264
"DG(40:9) DG(20:4_20:5)",685.4803,645.4878,359.2581,361.2737,287.2369,285.2213,269.2264,267.2108
"DG(41:4) DG(20:4_21:0)",709.5742,669.5817,383.352,361.2737,287.2369,309.3152,269.2264,291.3047
"DG(42:4) DG(20:4_22:0)",723.5898,683.5973,397.3676,361.2737,287.2369,323.3308,269.2264,305.3203
"DG(42:5) DG(20:4_22:1)",721.5742,681.5817,395.352,361.2737,287.2369,321.3152,269.2264,303.3047
"DG(42:6) DG(20:4_22:2)",719.5585,679.566,393.3363,361.2737,287.2369,319.2995,269.2264,301.289
"DG(42:7) DG(20:4_22:3)",717.5429,677.5504,391.3207,361.2737,287.2369,317.2839,269.2264,299.2734
"DG(42:8) DG(20:4_22:4)",715.5272,675.5347,389.305,361.2737,287.2369,315.2682,269.2264,297.2577
"DG(42:9) DG(20:4_22:5)",713.5116,673.5191,387.2894,361.2737,287.2369,313.2526,269.2264,295.2421
"DG(42:10) DG(20:4_22:6)",711.4959,671.5034,385.2737,361.2737,287.2369,311.2369,269.2264,293.2264
"DG(43:4) DG(20:4_23:0)",737.6055,697.613,411.3833,361.2737,287.2369,337.3465,269.2264,319.336
"DG(44:4) DG(20:4_24:0)",751.6211,711.6286,425.3989,361.2737,287.2369,351.3621,269.2264,333.3516
"DG(44:5) DG(20:4_24:1)",749.6055,709.613,423.3833,361.2737,287.2369,349.3465,269.2264,331.336
"DG(45:4) DG(20:4_25:0)",765.6368,725.6443,439.4146,361.2737,287.2369,365.3778,269.2264,347.3673
"DG(46:4) DG(20:4_26:0)",779.6524,739.6599,453.4302,361.2737,287.2369,379.3934,269.2264,361.3829
"DG(40:10) DG(20:5_20:5)",683.4647,643.4722,359.2581,359.2581,285.2213,285.2213,267.2108,267.2108
"DG(41:5) DG(20:5_21:0)",707.5586,667.5661,383.352,359.2581,285.2213,309.3152,267.2108,291.3047
"DG(42:5) DG(20:5_22:0)",721.5742,681.5817,397.3676,359.2581,285.2213,323.3308,267.2108,305.3203
"DG(42:6) DG(20:5_22:1)",719.5586,679.5661,395.352,359.2581,285.2213,321.3152,267.2108,303.3047
"DG(42:7) DG(20:5_22:2)",717.5429,677.5504,393.3363,359.2581,285.2213,319.2995,267.2108,301.289
"DG(42:8) DG(20:5_22:3)",715.5273,675.5348,391.3207,359.2581,285.2213,317.2839,267.2108,299.2734
"DG(42:9) DG(20:5_22:4)",713.5116,673.5191,389.305,359.2581,285.2213,315.2682,267.2108,297.2577
"DG(42:10) DG(20:5_22:5)",711.496,671.5035,387.2894,359.2581,285.2213,313.2526,267.2108,295.2421
"DG(42:11) DG(20:5_22:6)",709.4803,669.4878,385.2737,359.2581,285.2213,311.2369,267.2108,293.2264
"DG(43:5) DG(20:5_23:0)",735.5899,695.5974,411.3833,359.2581,285.2213,337.3465,267.2108,319.336
"DG(44:5) DG(20:5_24:0)",749.6055,709.613,425.3989,359.2581,285.2213,351.3621,267.2108,333.3516
"DG(44:6) DG(20:5_24:1)",747.5899,707.5974,423.3833,359.2581,285.2213,349.3465,267.2108,331.336
"DG(45:5) DG(20:5_25:0)",763.6212,723.6287,439.4146,359.2581,285.2213,365.3778,267.2108,347.3673
"DG(46:5) DG(20:5_26:0)",777.6368,737.6443,453.4302,359.2581,285.2213,379.3934,267.2108,361.3829
"DG(42:0) DG(21:0_21:0)",731.6525,691.66,383.352,383.352,309.3152,309.3152,291.3047,291.3047
"DG(43:0) DG(21:0_22:0)",745.6681,705.6756,397.3676,383.352,309.3152,323.3308,291.3047,305.3203
"DG(43:1) DG(21:0_22:1)",743.6525,703.66,395.352,383.352,309.3152,321.3152,291.3047,303.3047
"DG(43:2) DG(21:0_22:2)",741.6368,701.6443,393.3363,383.352,309.3152,319.2995,291.3047,301.289
"DG(43:3) DG(21:0_22:3)",739.6212,699.6287,391.3207,383.352,309.3152,317.2839,291.3047,299.2734
"DG(43:4) DG(21:0_22:4)",737.6055,697.613,389.305,383.352,309.3152,315.2682,291.3047,297.2577
"DG(43:5) DG(21:0_22:5)",735.5899,695.5974,387.2894,383.352,309.3152,313.2526,291.3047,295.2421
"DG(43:6) DG(21:0_22:6)",733.5742,693.5817,385.2737,383.352,309.3152,311.2369,291.3047,293.2264
"DG(44:0) DG(21:0_23:0)",759.6838,719.6913,411.3833,383.352,309.3152,337.3465,291.3047,319.336
"DG(45:0) DG(21:0_24:0)",773.6994,733.7069,425.3989,383.352,309.3152,351.3621,291.3047,333.3516
"DG(45:1) DG(21:0_24:1)",771.6838,731.6913,423.3833,383.352,309.3152,349.3465,291.3047,331.336
"DG(46:0) DG(21:0_25:0)",787.7151,747.7226,439.4146,383.352,309.3152,365.3778,291.3047,347.3673
"DG(47:0) DG(21:0_26:0)",801.7307,761.7382,453.4302,383.352,309.3152,379.3934,291.3047,361.3829
"DG(44:0) DG(22:0_22:0)",759.6837,719.6912,397.3676,397.3676,323.3308,323.3308,305.3203,305.3203
"DG(44:1) DG(22:0_22:1)",757.6681,717.6756,395.352,397.3676,323.3308,321.3152,305.3203,303.3047
"DG(44:2) DG(22:0_22:2)",755.6524,715.6599,393.3363,397.3676,323.3308,319.2995,305.3203,301.289
"DG(44:3) DG(22:0_22:3)",753.6368,713.6443,391.3207,397.3676,323.3308,317.2839,305.3203,299.2734
"DG(44:4) DG(22:0_22:4)",751.6211,711.6286,389.305,397.3676,323.3308,315.2682,305.3203,297.2577
"DG(44:5) DG(22:0_22:5)",749.6055,709.613,387.2894,397.3676,323.3308,313.2526,305.3203,295.2421
"DG(44:6) DG(22:0_22:6)",747.5898,707.5973,385.2737,397.3676,323.3308,311.2369,305.3203,293.2264
"DG(45:0) DG(22:0_23:0)",773.6994,733.7069,411.3833,397.3676,323.3308,337.3465,305.3203,319.336
"DG(46:0) DG(22:0_24:0)",787.715,747.7225,425.3989,397.3676,323.3308,351.3621,305.3203,333.3516
"DG(46:1) DG(22:0_24:1)",785.6994,745.7069,423.3833,397.3676,323.3308,349.3465,305.3203,331.336
"DG(47:0) DG(22:0_25:0)",801.7307,761.7382,439.4146,397.3676,323.3308,365.3778,305.3203,347.3673
"DG(48:0) DG(22:0_26:0)",815.7463,775.7538,453.4302,397.3676,323.3308,379.3934,305.3203,361.3829
"DG(44:2) DG(22:1_22:1)",755.6525,715.66,395.352,395.352,321.3152,321.3152,303.3047,303.3047
"DG(44:3) DG(22:1_22:2)",753.6368,713.6443,393.3363,395.352,321.3152,319.2995,303.3047,301.289
"DG(44:4) DG(22:1_22:3)",751.6212,711.6287,391.3207,395.352,321.3152,317.2839,303.3047,299.2734
"DG(44:5) DG(22:1_22:4)",749.6055,709.613,389.305,395.352,321.3152,315.2682,303.3047,297.2577
"DG(44:6) DG(22:1_22:5)",747.5899,707.5974,387.2894,395.352,321.3152,313.2526,303.3047,295.2421
"DG(44:7) DG(22:1_22:6)",745.5742,705.5817,385.2737,395.352,321.3152,311.2369,303.3047,293.2264
"DG(45:1) DG(22:1_23:0)",771.6838,731.6913,411.3833,395.352,321.3152,337.3465,303.3047,319.336
"DG(46:1) DG(22:1_24:0)",785.6994,745.7069,425.3989,395.352,321.3152,351.3621,303.3047,333.3516
"DG(46:2) DG(22:1_24:1)",783.6838,743.6913,423.3833,395.352,321.3152,349.3465,303.3047,331.336
"DG(47:1) DG(22:1_25:0)",799.7151,759.7226,439.4146,395.352,321.3152,365.3778,303.3047,347.3673
"DG(48:1) DG(22:1_26:0)",813.7307,773.7382,453.4302,395.352,321.3152,379.3934,303.3047,361.3829
"DG(44:4) DG(22:2_22:2)",751.6211,711.6286,393.3363,393.3363,319.2995,319.2995,301.289,301.289
"DG(44:5) DG(22:2_22:3)",749.6055,709.613,391.3207,393.3363,319.2995,317.2839,301.289,299.2734
"DG(44:6) DG(22:2_22:4)",747.5898,707.5973,389.305,393.3363,319.2995,315.2682,301.289,297.2577
"DG(44:7) DG(22:2_22:5)",745.5742,705.5817,387.2894,393.3363,319.2995,313.2526,301.289,295.2421
"DG(44:8) DG(22:2_22:6)",743.5585,703.566,385.2737,393.3363,319.2995,311.2369,301.289,293.2264
"DG(45:2) DG(22:2_23:0)",769.6681,729.6756,411.3833,393.3363,319.2995,337.3465,301.289,319.336
"DG(46:2) DG(22:2_24:0)",783.6837,743.6912,425.3989,393.3363,319.2995,351.3621,301.289,333.3516
"DG(46:3) DG(22:2_24:1)",781.6681,741.6756,423.3833,393.3363,319.2995,349.3465,301.289,331.336
"DG(47:2) DG(22:2_25:0)",797.6994,757.7069,439.4146,393.3363,319.2995,365.3778,301.289,347.3673
"DG(48:2) DG(22:2_26:0)",811.715,771.7225,453.4302,393.3363,319.2995,379.3934,301.289,361.3829
